Gene	CDD	interpro	GO	Pfam	Gene3D	SUPERFAMILY	SMART	MobiDBLite	PATHWAY	ProSiteProfiles	ProSitePatterns	PRINTS	Coils	TIGRFAM	PIRSF	Hamap	SFLD
PON25747.1	NA	IPR000195	NA	PF00566	G3DSA:1.10.472.80	SSF47923	SM00164	mobidb-lite	NA	PS50086	NA	NA	NA	NA	NA	NA	NA
PON27506.1	NA	IPR036867	GO:0003676	PF01424	G3DSA:3.30.1370.50	SSF82708	SM00393	mobidb-lite	NA	PS51061	NA	NA	NA	NA	NA	NA	NA
PON26024.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21824.1	cd06660	IPR020471	GO:0016491;GO:0055114	PF00248	G3DSA:3.20.20.100	SSF51430	NA	NA	NA	NA	PS00798	PR00069	NA	NA	PIRSF000097	NA	NA
PON25818.1	NA	IPR013087	GO:0003676	NA	G3DSA:3.30.160.60	NA	SM00355	mobidb-lite	NA	NA	PS00028	NA	Coil	NA	NA	NA	NA
PON26429.1	NA	IPR004443		PF03853	G3DSA:3.40.50.10260	SSF64153	NA	NA	MetaCyc: PWY-6938	PS51385	NA	NA	NA	TIGR00197	NA	NA	NA
PON21672.1	cd14687	IPR004827	GO:0003700;GO:0006355	PF00170	G3DSA:1.20.5.170	SSF57959	SM00338	mobidb-lite	NA	PS50217	PS00036	NA	Coil	NA	NA	NA	NA
PON22000.1	NA	IPR005101		PF03441;PF00875	G3DSA:1.10.579.10;G3DSA:1.25.40.80;G3DSA:3.40.50.620	SSF52425;SSF48173	NA	mobidb-lite	Reactome: R-HSA-400253	PS51645	NA	NA	NA	NA	NA	NA	NA
PON25199.1	NA	IPR027417	GO:0005515	PF05729;PF13637;PF12796	G3DSA:1.25.40.20;G3DSA:3.40.50.300	SSF52540;SSF48403	SM00248	NA	NA	PS50088;PS50297	NA	PR01415	NA	NA	NA	NA	NA
PON22377.1	cd18795;cd18022;cd18020	IPR004179	GO:0003676;GO:0005524	PF00271;PF02889;PF00270	G3DSA:1.10.10.2530;G3DSA:3.40.50.300;G3DSA:2.60.40.150;G3DSA:1.10.3380.10	SSF46785;SSF81296;SSF158702;SSF52540	SM00973;SM00487;SM00490;SM00382	mobidb-lite	NA	PS51192;PS51194	NA	NA	NA	NA	PIRSF039073	NA	NA
PON21772.1	cd06257	IPR036671	NA	PF05207;PF00226	G3DSA:3.10.660.10;G3DSA:1.10.287.110	SSF46565;SSF144217	SM00271	mobidb-lite	NA	PS50076;PS51074	NA	NA	NA	NA	NA	NA	NA
PON30519.1	NA	IPR012677	GO:0003676	PF00076	G3DSA:3.30.70.330	SSF54928	SM00360	mobidb-lite	NA	PS50102	NA	NA	NA	NA	NA	NA	NA
PON25869.1	NA	IPR017986	GO:0005515	NA	G3DSA:2.130.10.10	SSF50978	SM00320	NA	NA	PS50294;PS50082	PS00678	NA	NA	NA	NA	NA	NA
PON27136.1	NA	IPR016040	NA	PF13460	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24897.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30067.1	NA	NA	NA	NA	G3DSA:3.50.4.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON31092.1	NA	IPR011051	GO:0045735;GO:0033609	PF00190	G3DSA:2.60.120.10	SSF51182	SM00835	mobidb-lite	KEGG: 00630+4.1.1.2|MetaCyc: PWY-6698	NA	NA	NA	NA	TIGR03404	NA	NA	NA
PON22977.1	cd18314	IPR011333	NA	NA	NA	SSF54695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29668.1	NA	IPR003890	GO:0003723;GO:0005515	PF02854;PF02847	G3DSA:1.25.40.180	SSF48371	SM00543;SM00544	mobidb-lite	NA	PS51366	NA	NA	Coil	NA	NA	NA	NA
PON20326.1	cd14688	IPR021858	NA	PF11951	G3DSA:1.20.5.170	SSF57959	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20441.1	cd07067	IPR013078	NA	PF00300	G3DSA:3.40.50.1240	SSF53254	SM00855	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON21028.1	NA	IPR005556	NA	PF03856	NA	SSF101447	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28900.1	NA	IPR002293	GO:0016020;GO:0022857;GO:0055085	PF13520	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF006060	NA	NA
PON24608.1	NA	IPR036188	GO:0016491;GO:0055114	PF07992	G3DSA:3.50.50.60	SSF51905	NA	NA	NA	NA	NA	PR00469;PR00368	Coil	NA	NA	NA	NA
PON21266.1	NA	IPR008493		PF05603	NA	NA	NA	NA	Reactome: R-HSA-3371453	NA	NA	NA	NA	NA	NA	NA	NA
PON21896.1	NA	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	G3DSA:4.10.240.10	SSF57701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29504.1	NA	IPR018823	NA	PF13515;PF10337;PF10334	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24973.1	cd12148	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	NA	NA	SM00906	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON28949.1	cd00118	IPR018392	NA	PF06439;PF01476	G3DSA:2.60.120.560;G3DSA:3.10.350.10	SSF49899;SSF54106	SM00257	mobidb-lite	NA	PS51782	NA	NA	NA	NA	NA	NA	NA
PON20262.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24837.1	NA	IPR033118	GO:0016021;GO:0016125;GO:0047750	PF05241	NA	NA	NA	NA	NA	PS51751	NA	NA	NA	NA	NA	NA	NA
PON30833.1	NA	IPR036855	GO:0046872	PF00642	G3DSA:4.10.1000.10	SSF90229	SM00356	mobidb-lite	NA	PS50103	NA	NA	NA	NA	NA	NA	NA
PON22384.1	NA	IPR004000	NA	PF00022	G3DSA:2.30.36.70;G3DSA:3.30.420.40;G3DSA:3.90.640.10	SSF53067	SM00268	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON30150.1	cd12148;cd00067	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	G3DSA:4.10.240.10	SSF57701	SM00066;SM00906	mobidb-lite	NA	PS50048	PS00463	NA	NA	NA	NA	NA	NA
PON29256.1	NA	IPR018552	GO:0006281;GO:0051382;GO:0046982	PF09415	G3DSA:1.10.20.10	NA	NA	mobidb-lite	Reactome: R-HSA-606279|Reactome: R-HSA-6783310	NA	NA	NA	NA	NA	NA	NA	NA
PON20694.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27542.1	cd14854	IPR011012	NA	NA	NA	SSF64356	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27176.1	NA	IPR028160	GO:0000462;GO:0005730;GO:0030686;GO:0030688	PF15341	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25400.1	NA	IPR002938	GO:0071949	PF01494	G3DSA:3.50.50.60	SSF51905	NA	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA
PON24517.1	cd06661	IPR013024	NA	PF06094	G3DSA:3.10.490.10	SSF110857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23738.1	cd06223	IPR029057	GO:0009116	PF14681	G3DSA:3.40.50.2020	SSF53271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26637.1	cd17323	IPR036259	GO:0055085	PF07690	NA	SSF103473	NA	mobidb-lite	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
PON22300.1	NA	IPR021582	NA	PF11489	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26960.1	NA	IPR000254	GO:0005576;GO:0005975;GO:0030248;GO:0004553	PF00150;PF00734	G3DSA:3.20.20.80	SSF51445;SSF57180	SM00236	mobidb-lite	NA	PS51164	PS00562;PS00659	NA	NA	NA	NA	NA	NA
PON20188.1	NA	IPR000571	GO:0046872;GO:0000289;GO:0003723;GO:0006397;GO:0031251	PF18101	G3DSA:1.10.510.10	SSF56112	NA	mobidb-lite	Reactome: R-HSA-429947	PS50103	NA	NA	NA	NA	NA	MF_03181	NA
PON25206.1	cd00180	IPR011009	NA	NA	G3DSA:1.10.510.10	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22149.1	cd00377	IPR039556	GO:0003824	PF13714	G3DSA:3.20.20.60	SSF51621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25836.1	cd17327	IPR020846	GO:0055085	PF07690	G3DSA:1.20.1250.20	SSF103473	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
PON22806.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25788.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON23445.1	cd09317	IPR030185	GO:0015140;GO:0016021;GO:0071423;GO:0055085	PF03595	G3DSA:1.50.10.150	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26350.1	cd09008	IPR000845	GO:0003824;GO:0009116	PF01048	NA	SSF53167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29877.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20402.1	cd00827	IPR016039	GO:0003824;GO:0004421;GO:0008299	PF08540;PF01154	G3DSA:3.40.47.10	SSF53901	NA	NA	KEGG: 00072+2.3.3.10|KEGG: 00280+2.3.3.10|KEGG: 00650+2.3.3.10|KEGG: 00900+2.3.3.10|MetaCyc: PWY-6174|MetaCyc: PWY-7391|MetaCyc: PWY-7524|MetaCyc: PWY-7571|MetaCyc: PWY-922|Reactome: R-HSA-1989781	NA	PS01226	NA	NA	TIGR01833	NA	NA	NA
PON23252.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26132.1	cd00842	IPR012358	GO:0000298;GO:0005773;GO:0016021;GO:0016787	PF00149	G3DSA:3.60.21.10	SSF56300	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	PIRSF027093	NA	NA
PON24588.1	cd00159	IPR008936	GO:0007165	PF00620	NA	SSF48350	SM00324	mobidb-lite	Reactome: R-HSA-194840	PS50238	NA	NA	Coil	NA	NA	NA	NA
PON20784.1	cd00299;cd00570	IPR010987	GO:0004364;GO:0005737;GO:0005515	PF13417	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	SSF52833;SSF47616	NA	mobidb-lite	KEGG: 00053+1.8.5.1|KEGG: 00480+2.5.1.18+1.8.5.1|KEGG: 00980+2.5.1.18|KEGG: 00982+2.5.1.18|KEGG: 00983+2.5.1.18|MetaCyc: PWY-2261|MetaCyc: PWY-4061|MetaCyc: PWY-4202|MetaCyc: PWY-6370|MetaCyc: PWY-6842|MetaCyc: PWY-7112|MetaCyc: PWY-7533|Reactome: R-HSA-156590|Reactome: R-HSA-196836	PS50405;PS50404	NA	PR01625	NA	NA	NA	NA	SFLDS00019;SFLDG00358
PON29231.1	cd16922;cd00082;cd00156	IPR001789	GO:0000160;GO:0004672;GO:0005524;GO:0006468;GO:0000155;GO:0007165;GO:0005515;GO:0016310;GO:0016772	PF02518;PF00512;PF00072;PF13191;PF13185	G3DSA:1.10.287.130;G3DSA:1.10.510.10;G3DSA:3.30.450.40;G3DSA:3.30.565.10;G3DSA:3.40.50.2300	SSF55781;SSF52172;SSF56112;SSF55874;SSF48452;SSF47384	SM00448;SM00388;SM00065;SM00220;SM00387	mobidb-lite	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	PS50110;PS50011;PS50109	NA	PR00344	Coil	NA	NA	NA	NA
PON29515.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20648.1	cd02081	IPR001757	GO:0016021;GO:0000166;GO:0005388;GO:0005524;GO:0016020;GO:0070588	PF00689;PF00122;PF00690;PF00702	G3DSA:2.70.150.10;G3DSA:3.40.1110.10;G3DSA:3.40.50.1000;G3DSA:1.20.1110.10	SSF81653;SSF56784;SSF81660;SSF81665	NA	NA	Reactome: R-HSA-936837	NA	PS00154	PR00119;PR00121	NA	TIGR01494;TIGR01517	NA	NA	SFLDS00003;SFLDF00027
PON20170.1	NA	IPR001680	GO:0005515	PF00400	G3DSA:2.130.10.10	SSF50978	SM00320	mobidb-lite	NA	PS50082;PS50294	PS00678	NA	NA	NA	NA	NA	NA
PON30777.1	NA	IPR010730	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26951.1	NA	IPR000254	GO:0005576;GO:0005975;GO:0030248;GO:0004553;GO:0030245	PF00734;PF01341	G3DSA:3.20.20.40	SSF57180;SSF51989	SM00236	mobidb-lite	NA	PS51164	PS00562;PS00656;PS00655	PR00733	NA	NA	PIRSF001100	NA	NA
PON20735.1	cd16464	IPR008913	GO:0008270	PF13639;PF05495;PF14599	G3DSA:2.20.28.10;G3DSA:3.30.40.10	SSF161245;SSF57850;SSF161219	SM00184	mobidb-lite	Reactome: R-HSA-110320|Reactome: R-HSA-983168	PS51266;PS51270;PS50089	NA	NA	NA	NA	NA	NA	NA
PON21435.1	cd17483	IPR024671	NA	PF11700	G3DSA:1.20.1250.20	SSF103473	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22822.1	NA	IPR008721	GO:0003677;GO:0005664;GO:0006260	PF05460	NA	NA	NA	mobidb-lite	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA	NA	NA	NA	NA
PON23172.1	NA	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	PF00067	G3DSA:1.10.630.10	SSF48264	NA	NA	NA	NA	PS00086	PR00465	NA	NA	NA	NA	NA
PON23122.1	NA	IPR002347	NA	PF00106	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA
PON25448.1	NA	IPR010730	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28980.1	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	G3DSA:1.10.510.10	SSF56112	SM00220	NA	NA	PS50011	NA	NA	Coil	NA	NA	NA	NA
PON22850.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30927.1	NA	IPR017986	GO:0005515	PF00400	G3DSA:2.130.10.10	SSF50978	SM00320	mobidb-lite	NA	PS50294;PS50082	PS00678	NA	NA	NA	NA	NA	NA
PON21406.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28107.1	cd05251	IPR036291		PF05368	G3DSA:3.90.25.10;G3DSA:3.40.50.720	SSF51735	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA
PON28870.1	cd00143	IPR001932	GO:0003824	PF00481	NA	SSF81606	SM00332	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	PS51746	NA	NA	NA	NA	NA	NA	NA
PON23023.1	NA	IPR013094	GO:0016787	PF07859	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29039.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30234.1	cd01850	IPR016491	GO:0005525	PF00735	G3DSA:3.40.50.300	SSF52540	NA	NA	NA	PS51719	NA	NA	Coil	NA	PIRSF006698	NA	NA
PON30059.1	cd06660	IPR023210	GO:0016491;GO:0055114	PF00248	G3DSA:3.20.20.100	SSF51430	NA	NA	NA	NA	NA	PR00069	NA	NA	NA	NA	NA
PON21767.1	NA	IPR013328	GO:0016491;GO:0055114;GO:0050661	PF03446;PF09130	G3DSA:1.10.1040.10;G3DSA:3.40.50.720	SSF48179;SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23528.1	NA	IPR013920	NA	PF08611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22729.1	NA	IPR002836	GO:0003677	PF01984	G3DSA:1.10.8.140	SSF46950	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	PIRSF015730	NA	NA
PON20252.1	cd06223	IPR029057	GO:0016491;GO:0050660;GO:0055114;GO:0009116;GO:0004631;GO:0005737;GO:0006695;GO:0071949	PF01565;PF00156;PF04275	G3DSA:3.40.50.300;G3DSA:3.40.50.150;G3DSA:3.30.465.40;G3DSA:3.40.462.20;G3DSA:3.40.50.2020	SSF53271;SSF56176	NA	NA	KEGG: 00900+2.7.4.2|MetaCyc: PWY-7391|MetaCyc: PWY-922|Reactome: R-HSA-191273|Reactome: R-HSA-2426168	PS51387	NA	NA	NA	NA	NA	NA	NA
PON30946.1	NA	IPR010636	GO:0005576	PF06766	G3DSA:3.20.120.10	SSF101751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22273.1	NA	IPR017804	GO:0008168	PF10017	G3DSA:3.40.50.150	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	TIGR03439	PIRSF018005	NA	NA
PON26596.1	cd07042	IPR036513	GO:0008271;GO:0008272;GO:0015116;GO:0016021;GO:0016020;GO:0055085	PF00916;PF01740	G3DSA:3.30.750.24	SSF52091	NA	mobidb-lite	Reactome: R-HSA-427601	PS50801	PS01130	NA	NA	TIGR00815	NA	NA	NA
PON26208.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27364.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27253.1	NA	IPR019383	NA	PF10256	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30085.1	NA	IPR005645	NA	PF03959	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28005.1	cd18793;cd17999	IPR000330	GO:0005524	PF00176;PF00271;PF12054	G3DSA:3.40.50.300;G3DSA:1.25.10.10;G3DSA:3.40.50.10810	SSF48371;SSF52540	SM00490;SM00487	mobidb-lite	NA	PS51192;PS51194	NA	NA	NA	NA	NA	NA	NA
PON21758.1	cd02801	IPR035587	GO:0003824;GO:0008033;GO:0017150;GO:0050660;GO:0055114	PF01207	G3DSA:3.20.20.70	SSF51395	NA	mobidb-lite	NA	NA	PS01136	NA	NA	NA	NA	NA	NA
PON23369.1	cd06445	IPR014048	GO:0003824;GO:0006281	PF01035	G3DSA:1.10.10.10	SSF46767	NA	mobidb-lite	Reactome: R-HSA-5657655	NA	NA	NA	NA	TIGR00589	NA	NA	NA
PON27533.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20481.1	cd01791	IPR000626	GO:0005515	NA	G3DSA:3.10.20.90	SSF54236	SM00213	mobidb-lite	NA	PS50053	NA	NA	NA	NA	NA	NA	NA
PON29119.1	NA	IPR009057	GO:0003677;GO:0005515	PF04433	G3DSA:1.10.10.780	SSF46689	NA	mobidb-lite	NA	PS50934	NA	NA	NA	NA	NA	NA	NA
PON29576.1	cd09141;cd09138	IPR001736	GO:0003824;GO:0004630;GO:0006654;GO:0048017	PF00614	G3DSA:3.30.870.10	SSF56024	SM00155	mobidb-lite	Reactome: R-HSA-1483148	PS50035	NA	NA	NA	NA	PIRSF009376	NA	NA
PON22320.1	cd01557	IPR005786	GO:0004084;GO:0009081;GO:0003824	PF01063	G3DSA:3.30.470.10;G3DSA:3.20.10.10	SSF56752	NA	NA	KEGG: 00270+2.6.1.42|KEGG: 00280+2.6.1.42|KEGG: 00290+2.6.1.42|KEGG: 00770+2.6.1.42|KEGG: 00966+2.6.1.42|MetaCyc: PWY-5057|MetaCyc: PWY-5076|MetaCyc: PWY-5078|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-5108|MetaCyc: PWY-7767|Reactome: R-HSA-70895	NA	PS00770	NA	NA	TIGR01123	PIRSF006468	NA	NA
PON24641.1	cd17327	IPR036259	GO:0055085	PF07690	G3DSA:1.20.1250.20	SSF103473	NA	NA	NA	PS50850	NA	NA	Coil	NA	NA	NA	NA
PON22651.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA
PON30285.1	cd07813	IPR023393		PF03364	G3DSA:3.30.530.20	SSF55961	NA	NA	Reactome: R-HSA-611105	NA	NA	NA	NA	NA	NA	NA	NA
PON26239.1	NA	IPR019775	GO:0005515	PF00400	G3DSA:2.130.10.10	SSF69322	SM00320	NA	NA	PS50294;PS50082	PS00678	NA	NA	NA	NA	NA	NA
PON20675.1	NA	IPR011032	NA	NA	G3DSA:3.40.50.720;G3DSA:3.90.180.10	SSF50129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28089.1	NA	IPR013167	GO:0016021;GO:0000166	PF00702;PF00122;PF00689;PF08318;PF00690	G3DSA:2.70.150.10;G3DSA:3.40.1110.10;G3DSA:3.40.50.1000;G3DSA:1.20.1110.10;G3DSA:1.20.58.1970	SSF56784;SSF81665;SSF81653;SSF81660	SM00762;SM00831	mobidb-lite	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	NA	PS00154	PR00119	Coil	TIGR01494	NA	NA	SFLDF00027;SFLDS00003
PON30413.1	cd00060	IPR000253	GO:0005515	PF00498	G3DSA:2.60.200.20	SSF49879	SM00240	mobidb-lite	NA	PS50006	NA	NA	NA	NA	NA	NA	NA
PON21871.1	cd08760	IPR018827	NA	PF10355;PF10348	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24461.1	cd03424	IPR000086	GO:0016787	PF00293	G3DSA:3.90.79.10	SSF55811	NA	NA	Reactome: R-HSA-2393930	PS51462	PS00893	PR00502	NA	NA	NA	NA	NA
PON31066.1	NA	IPR013783	GO:0004553;GO:0005975	PF17786;PF00703;PF17753	G3DSA:2.60.40.10;G3DSA:2.60.120.260;G3DSA:3.20.20.80	SSF49303;SSF49785;SSF51445	NA	NA	KEGG: 00511+3.2.1.25|Reactome: R-HSA-6798695|Reactome: R-HSA-8853383	NA	NA	NA	NA	NA	NA	NA	NA
PON20515.1	NA	IPR013219		PF08293	NA	NA	NA	mobidb-lite	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA
PON30894.1	NA	IPR013087	GO:0003676	NA	NA	NA	SM00355	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21156.1	NA	IPR029225		PF15412;PF08743	NA	NA	NA	mobidb-lite	Reactome: R-HSA-3108214	NA	NA	NA	NA	NA	NA	NA	NA
PON28906.1	cd06558	IPR001753	GO:0003824	PF00378	G3DSA:3.90.226.10	SSF52096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24562.1	cd13645	IPR022417	GO:0004418;GO:0033014;GO:0018160	PF01379;PF03900	G3DSA:3.30.160.40;G3DSA:3.40.190.10	SSF53850;SSF54782	NA	NA	KEGG: 00860+2.5.1.61|MetaCyc: PWY-5188|MetaCyc: PWY-5189|Reactome: R-HSA-189451	NA	PS00533	PR00151	NA	TIGR00212	PIRSF001438	MF_00260	NA
PON25052.1	cd03024	IPR036249	GO:0015035	PF01323	G3DSA:3.40.30.10	SSF52833	NA	NA	Reactome: R-HSA-156590|Reactome: R-HSA-9033241	NA	NA	NA	NA	NA	NA	NA	NA
PON30627.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON27938.1	NA	IPR001849	NA	NA	NA	SSF52047	NA	mobidb-lite	NA	PS50003	NA	NA	NA	NA	NA	NA	NA
PON26402.1	cd06186	IPR039261	GO:0016491;GO:0055114	PF08022;PF01794;PF08030	G3DSA:3.40.50.80	SSF52343;SSF63380	NA	NA	NA	PS51384	NA	NA	NA	NA	NA	NA	SFLDS00052;SFLDG01168
PON23493.1	cd00067;cd12148	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	G3DSA:4.10.240.10	SSF57701	SM00066	mobidb-lite	NA	NA	PS00463	NA	Coil	NA	NA	NA	NA
PON21667.1	NA	IPR000254	GO:0005576;GO:0005975;GO:0030248;GO:0004553	PF00734;PF00150	G3DSA:3.20.20.80	SSF51445;SSF57180	SM00236	NA	NA	PS51164	PS00562	NA	NA	NA	NA	NA	NA
PON22067.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21161.1	cd00067;cd12148	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF00172;PF04082	G3DSA:4.10.240.10	SSF57701	SM00066	mobidb-lite	NA	PS50048	PS00463	NA	NA	NA	NA	NA	NA
PON22208.1	NA	IPR005352	GO:0016021	PF03694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
