Gene	interpro	GO	ProSiteProfiles	Pfam	Gene3D	MobiDBLite	SUPERFAMILY	SMART	Coils	CDD	PRINTS	ProSitePatterns	PATHWAY	PIRSF	TIGRFAM	Hamap	SFLD
PTB58512.1	IPR021858	NA	NA	PF11951	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49132.1	IPR001248	GO:0016020;GO:0022857;GO:0055085	NA	PF02133	G3DSA:1.10.4160.10	NA	NA	NA	NA	cd11482	NA	NA	NA	NA	NA	NA	NA
PTB47801.1	IPR001509	GO:0003824;GO:0050662	NA	PF01370	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB57395.1	IPR011990	GO:0005515	PS50005;PS50293	PF13432	G3DSA:1.25.40.10	mobidb-lite	SSF48452	SM00028	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58028.1	IPR004853	NA	NA	PF03151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51450.1	IPR001932	GO:0003824;GO:0043169	PS51746	PF00481	NA	mobidb-lite	SSF81606	SM00332	NA	cd00143	NA	PS01032	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	NA	NA	NA	NA
PTB48797.1	IPR002220	GO:0016829;GO:0003824	NA	PF00701	G3DSA:3.20.20.70	NA	SSF51569	SM01130	NA	cd00408	PR00146	NA	NA	PIRSF001365	NA	NA	NA
PTB53364.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB57766.1	IPR014314	GO:0000104;GO:0006099;GO:0045281;GO:0016627;GO:0016020	NA	PF01127	G3DSA:1.20.1300.10	NA	SSF81343	NA	NA	cd03499	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-71403	PIRSF000178	NA	NA	NA
PTB50209.1	IPR004709	GO:0006814;GO:0006885;GO:0015385;GO:0016021;GO:0055085;GO:0006812;GO:0015299	NA	PF00999	NA	mobidb-lite	NA	NA	NA	NA	PR01084	NA	Reactome: R-HSA-425986	NA	TIGR00840	NA	NA
PTB60879.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58164.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60656.1	IPR013183		NA	PF08227	NA	NA	NA	NA	Coil	NA	NA	NA	Reactome: R-HSA-162658	NA	NA	NA	NA
PTB53544.1	IPR020846	GO:0055085	PS50850	PF07690	G3DSA:1.20.1720.10	mobidb-lite	SSF103473	NA	NA	cd17502	NA	NA	NA	NA	NA	NA	NA
PTB55628.1	IPR001853	GO:0015035	NA	PF01323	G3DSA:3.40.30.10	NA	SSF52833	NA	NA	cd03024	NA	NA	Reactome: R-HSA-156590|Reactome: R-HSA-9033241	NA	NA	NA	NA
PTB53095.1	IPR001806	GO:0003924;GO:0005525;GO:0007264	PS51420	PF00071	G3DSA:3.40.50.300	NA	SSF52540	SM00173;SM00174;SM00175;SM00176	NA	cd01870	PR00449	NA	Reactome: R-HSA-194840	NA	TIGR00231	NA	NA
PTB51076.1	IPR021851	NA	NA	PF11937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52534.1	IPR006140	GO:0051287;GO:0055114;GO:0016616	NA	PF02826;PF00389	G3DSA:3.40.50.720	NA	SSF52283;SSF51735	NA	NA	cd12169	NA	PS00671	NA	NA	NA	NA	NA
PTB53951.1	IPR008271	GO:0004672;GO:0006468;GO:0005524	PS50011	PF00069	G3DSA:1.10.510.10	mobidb-lite	SSF56112	SM00220	Coil	cd14003	NA	PS00108;PS00107	NA	NA	NA	NA	NA
PTB61160.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB59806.1	IPR019775	GO:0005515	PS50294;PS50082	PF00400	G3DSA:2.130.10.10	mobidb-lite	SSF50978	SM00320	NA	cd00200	PR00320	PS00678	NA	NA	NA	NA	NA
PTB60825.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55147.1	IPR003347		PS51184;PS51183	PF02373	G3DSA:2.60.120.650	mobidb-lite	SSF51197	SM00558	NA	NA	NA	NA	Reactome: R-HSA-3214842	NA	NA	NA	NA
PTB57193.1	IPR036188		NA	PF00890	G3DSA:3.50.50.60;G3DSA:3.90.700.10	NA	SSF51905;SSF56425	NA	NA	NA	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-71403	NA	NA	NA	NA
PTB49839.1	IPR013094	GO:0016787	NA	PF07859	G3DSA:3.40.50.1820	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56774.1	IPR032311	GO:0004553;GO:0005975	NA	PF16355;PF02837;PF18565;PF02836;PF00703	G3DSA:3.20.20.80;G3DSA:2.60.40.10;G3DSA:2.60.120.260	NA	SSF51445;SSF49373;SSF49303;SSF49785	NA	NA	NA	PR00132	PS00608	KEGG: 00052+3.2.1.23|KEGG: 00511+3.2.1.23|KEGG: 00531+3.2.1.23|KEGG: 00600+3.2.1.23|KEGG: 00604+3.2.1.23|MetaCyc: PWY-6807	NA	NA	NA	NA
PTB53440.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60868.1	IPR001951	GO:0003677;GO:0046982	NA	NA	G3DSA:1.10.20.10	mobidb-lite	SSF47113	SM00417	NA	NA	PR00623	NA	NA	NA	NA	NA	NA
PTB47904.1	IPR013083	GO:0046872;GO:0061630	PS50089	PF00097;PF15906	G3DSA:3.30.40.10	mobidb-lite	SSF57850	SM00184	Coil	NA	NA	PS00518	Reactome: R-HSA-203754	PIRSF023577	NA	NA	NA
PTB49751.1	IPR005668	GO:0003852;GO:0009098;GO:0019752;GO:0046912;GO:0003824	PS50991	PF08502;PF00682	G3DSA:3.20.20.70;G3DSA:3.30.160.270	NA	SSF89000;SSF51569;SSF110921	SM00917	NA	cd07942	NA	PS00816;PS00815	KEGG: 00290+2.3.3.13|KEGG: 00620+2.3.3.13|MetaCyc: PWY-6871	NA	TIGR00970	MF_00572	NA
PTB51516.1	IPR029021	GO:0006470;GO:0008138;GO:0004725;GO:0016311;GO:0016791	PS50056;PS50054	PF00782	G3DSA:3.90.190.10	mobidb-lite	SSF52799	SM00195	NA	cd14521;cd14516	NA	PS00383	NA	NA	NA	NA	NA
PTB57407.1	IPR013887	NA	NA	PF08578	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59929.1	IPR016181	GO:0008080	PS51186	PF00583	G3DSA:3.40.630.30	NA	SSF55729	NA	NA	cd04301	NA	NA	NA	NA	NA	NA	NA
PTB50508.1	IPR007603		NA	PF04515	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1483191|Reactome: R-HSA-425366	NA	NA	NA	NA
PTB52580.1	IPR028889	GO:0005515;GO:0006511;GO:0036459;GO:0016579	PS50235;PS50144	PF12436;PF14533;PF00917;PF00443	G3DSA:3.90.70.10;G3DSA:2.60.210.10;G3DSA:3.10.20.90	NA	SSF54001;SSF49599	SM00061	Coil	cd03775;cd02659	NA	PS00972;PS00973	Reactome: R-HSA-5689880|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6804757|Reactome: R-HSA-8866652|Reactome: R-HSA-8948747	NA	NA	NA	NA
PTB57239.1	IPR002347	NA	NA	PF00106	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA
PTB50277.1	IPR029028	NA	NA	PF02598	G3DSA:3.40.1280.10	mobidb-lite	SSF75217;SSF50249	NA	NA	cd18086	NA	NA	NA	NA	NA	NA	NA
PTB55321.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	PF00069	G3DSA:1.10.510.10;G3DSA:3.30.200.20	mobidb-lite	SSF56112	SM00220	Coil	cd14096	NA	PS00108	NA	NA	NA	NA	NA
PTB47620.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	PF00172;PF04082	G3DSA:4.10.240.10	NA	SSF57701	SM00066	NA	cd12148;cd00067	NA	PS00463	NA	NA	NA	NA	NA
PTB52679.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53742.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB48800.1	IPR034786	GO:0018506;GO:0016491;GO:0046872;GO:0055114	NA	PF00465	G3DSA:3.40.50.1970;G3DSA:1.20.1090.10	NA	SSF56796	NA	NA	cd08177	NA	NA	KEGG: 00361+1.3.1.32|KEGG: 00362+1.3.1.32|KEGG: 00364+1.3.1.32|KEGG: 00623+1.3.1.32|MetaCyc: PWY-5487|MetaCyc: PWY-5488|MetaCyc: PWY-6041|MetaCyc: PWY-6084|MetaCyc: PWY-6087|MetaCyc: PWY-6089|MetaCyc: PWY-6093|MetaCyc: PWY-6094|MetaCyc: PWY-6107|MetaCyc: PWY-6178|MetaCyc: PWY-6193|MetaCyc: PWY-6200|MetaCyc: PWY-7002|MetaCyc: PWY-7081|MetaCyc: PWY-7772|MetaCyc: PWY-7773	NA	NA	NA	NA
PTB50970.1	IPR036397	GO:0003676;GO:0004523	PS50879	PF00075	G3DSA:3.30.420.10	NA	SSF53098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50676.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	PF00172	G3DSA:4.10.240.10	NA	SSF57701	SM00066	NA	cd00067;cd12148	NA	NA	NA	NA	NA	NA	NA
PTB50409.1	IPR000232	GO:0003700;GO:0006355;GO:0042025;GO:0043565	NA	PF00447	G3DSA:1.10.10.10	mobidb-lite	SSF46785	SM00415	Coil	NA	PR00056	NA	NA	NA	NA	NA	NA
PTB57284.1	IPR010920	GO:0000956	NA	PF01423	G3DSA:2.30.30.100	NA	SSF50182	SM00651	Coil	cd01728	NA	NA	Reactome: R-HSA-430039	NA	NA	NA	NA
PTB59214.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51084.1	IPR036236	GO:0003676	NA	NA	G3DSA:3.30.160.60	mobidb-lite	SSF57667	SM00355	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48927.1	IPR016162	GO:0016491;GO:0055114;GO:0016620	NA	PF00171	G3DSA:3.40.605.10;G3DSA:3.40.309.10	NA	SSF53720	NA	NA	cd07091	NA	PS00070	NA	NA	NA	NA	NA
PTB49853.1	IPR020683	GO:0005515	PS50088;PS50297	PF12796;PF00023	G3DSA:1.25.40.20	mobidb-lite	SSF48403	SM00248	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB56339.1	IPR015943	GO:0005515	NA	PF10282	G3DSA:2.130.10.10	NA	SSF75011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55815.1	IPR025332	NA	NA	PF14022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50430.1	IPR036291	GO:0003824;GO:0050662	NA	PF01370	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	cd05227	NA	NA	NA	NA	NA	NA	NA
PTB58094.1	IPR041504	GO:0016627;GO:0055114	NA	PF18158;PF02770;PF00441	G3DSA:1.20.140.10;G3DSA:2.40.110.20	NA	SSF47203;SSF56645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58391.1	IPR027417	NA	NA	PF17784	G3DSA:3.40.50.300	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48219.1	IPR011527	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	PS50929;PS50893	PF00005;PF00664	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	mobidb-lite	SSF90123;SSF52540	SM00382	NA	cd18578;cd18577	NA	PS00211	NA	NA	NA	NA	NA
PTB52626.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48819.1	IPR001466	NA	NA	PF00144	G3DSA:3.40.710.10	NA	SSF56601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51567.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60036.1	IPR003819	GO:0016491;GO:0055114	NA	PF02668	G3DSA:3.60.130.10	NA	SSF51197	NA	NA	NA	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA
PTB58113.1	IPR024222	GO:0016233;GO:0043047;GO:1990879	NA	PF12658	G3DSA:2.40.50.140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60440.1	IPR001494	GO:0006886;GO:0008536	PS50166	PF03810;PF08389;PF08506	G3DSA:1.25.10.10	NA	SSF48371	SM00913	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB48233.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50950.1	IPR000326	NA	NA	PF01569	G3DSA:1.20.144.10	mobidb-lite	SSF48317	SM00014	NA	cd03390	NA	NA	NA	NA	NA	NA	NA
PTB49465.1	IPR013087	GO:0003676	PS50157	NA	G3DSA:3.30.160.60	NA	NA	NA	NA	NA	NA	PS00028	NA	NA	NA	NA	NA
PTB50438.1	IPR006186	GO:0016787	NA	PF00149	NA	mobidb-lite	SSF56300	SM00156	NA	cd07415	PR00114	PS00125	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	PIRSF033096	NA	NA	NA
PTB50087.1	IPR029062		NA	PF01965	G3DSA:3.40.50.880	NA	SSF52317	NA	NA	cd03141	NA	NA	Reactome: R-HSA-3899300|Reactome: R-HSA-9613829|Reactome: R-HSA-9615710	NA	NA	NA	NA
PTB50419.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55878.1	IPR027417	GO:0005524	PS51192;PS51194	PF00176;PF00271	G3DSA:3.40.50.300;G3DSA:3.40.50.10810	mobidb-lite	SSF52540	SM00487;SM00490	NA	cd18008;cd18793	NA	NA	NA	NA	NA	NA	NA
PTB52467.1	IPR016680	GO:0006120	PS51808	PF06747	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	PIRSF017016	NA	NA	NA
PTB54472.1	IPR000462	GO:0008654;GO:0016020;GO:0016780	NA	PF01066	G3DSA:1.20.120.1760	mobidb-lite	NA	NA	NA	NA	NA	PS00379	NA	NA	NA	NA	NA
PTB51245.1	IPR002347	NA	NA	PF00106	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA
PTB54123.1	IPR036318	GO:0050660;GO:0003824;GO:0016491;GO:0055114;GO:0071949	PS51387	PF01565;PF02913	G3DSA:1.10.45.10;G3DSA:3.30.465.10;G3DSA:3.30.43.10;G3DSA:3.30.70.2740	NA	SSF56176;SSF55103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58459.1	IPR004046	GO:0005515	PS50405;PS50404	PF00043;PF13417	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	NA	SSF47616;SSF52833	NA	NA	cd03048	NA	NA	NA	NA	NA	NA	SFLDG00358;SFLDS00019
PTB52305.1	IPR027533	GO:0005783;GO:0030497;GO:0045703;GO:0016491	NA	PF00106	G3DSA:3.40.50.720	NA	SSF51735	NA	Coil	cd05356	PR00081	PS00061	KEGG: 00062+1.1.1.330|MetaCyc: PWY-5080|MetaCyc: PWY-5353|MetaCyc: PWY-6433|MetaCyc: PWY-6598|MetaCyc: PWY-6958|MetaCyc: PWY-7035|MetaCyc: PWY-7036|MetaCyc: PWY-7049|MetaCyc: PWY-7053|MetaCyc: PWY-7592|MetaCyc: PWY-7601|MetaCyc: PWY-7602|MetaCyc: PWY-7606|MetaCyc: PWY-7619|MetaCyc: PWY-7724|MetaCyc: PWY-7725|MetaCyc: PWY-7726|MetaCyc: PWY-7727|MetaCyc: PWY-7728|MetaCyc: PWY-8041	PIRSF000126	NA	MF_03107	NA
PTB59476.1	IPR037274	GO:0008270	PS51266	PF05495	NA	NA	SSF161219	NA	NA	NA	NA	NA	Reactome: R-HSA-110320|Reactome: R-HSA-983168	NA	NA	NA	NA
PTB50355.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61267.1	IPR010259		NA	PF05922	G3DSA:3.30.70.80	NA	SSF54897	NA	NA	NA	NA	NA	Reactome: R-HSA-381426|Reactome: R-HSA-8866427|Reactome: R-HSA-8957275|Reactome: R-HSA-8964038	NA	NA	NA	NA
PTB52882.1	NA	NA	NA	NA	G3DSA:3.90.550.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53813.1	IPR011059	GO:0016810;GO:0016787	PS51257	PF01979	G3DSA:2.30.40.10;G3DSA:1.20.58.520;G3DSA:3.30.110.90;G3DSA:3.40.50.10910	mobidb-lite	SSF51556;SSF51338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61054.1	NA	NA	PS51873	NA	G3DSA:1.20.120.1750	mobidb-lite	SSF57850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50768.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51931.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB51589.1	IPR001222	GO:0003676;GO:0006351;GO:0008270;GO:0042779	PS51133	PF01096;PF02150	G3DSA:2.20.25.10	NA	SSF57783	SM00440;SM00661	Coil	cd10509	NA	NA	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	PIRSF005586	NA	NA	NA
PTB55137.1	IPR016040	GO:0003824;GO:0050662	NA	PF13460;PF01370	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54364.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	PF00172;PF04082	G3DSA:4.10.240.10	mobidb-lite	SSF57701	SM00906;SM00066	Coil	cd00067;cd12148	NA	PS00463	NA	NA	NA	NA	NA
PTB56165.1	IPR000873	GO:0003824	NA	PF00501	G3DSA:3.40.50.12780	NA	SSF56801	NA	NA	cd17639;cd05969	NA	PS00455	NA	NA	NA	NA	NA
PTB48976.1	IPR036640	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	PS50929;PS50893	PF00005;PF00664	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	NA	SSF90123;SSF52540	SM00382	NA	cd03250;cd18579;cd18580	NA	PS00211	NA	NA	NA	NA	NA
PTB49206.1	IPR027417	NA	NA	PF17784	G3DSA:3.40.50.300	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60296.1	IPR003594	GO:0000155;GO:0007165;GO:0016310;GO:0016772;GO:0000160	PS50110;PS50109	PF02518;PF00512;PF00072	G3DSA:3.30.450.40;G3DSA:3.30.565.10;G3DSA:3.40.50.2300;G3DSA:1.10.287.130	mobidb-lite	SSF55781;SSF55874;SSF47384;SSF52172	SM00387;SM00448;SM00388	NA	cd16922;cd00156;cd00082	PR00344	NA	Reactome: R-HSA-70895	NA	NA	NA	NA
PTB51588.1	IPR002110	GO:0005515	PS50088;PS50297	PF12796	G3DSA:1.25.40.20	mobidb-lite	SSF48403	SM00248	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55781.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60841.1	IPR039540	NA	NA	PF13881	G3DSA:3.10.20.90	mobidb-lite	SSF54236	NA	NA	cd01814	NA	NA	NA	NA	NA	NA	NA
PTB53949.1	IPR014012	GO:0005524	PS51204;PS51192;PS51194	PF00271;PF00176	G3DSA:3.40.50.10810;G3DSA:3.40.50.300	mobidb-lite	SSF52540	SM00490;SM00487	NA	cd18003;cd18793	NA	PS00690	NA	NA	NA	NA	NA
PTB51907.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53631.1	IPR011400	GO:0003723;GO:0003743;GO:0005852;GO:0006413;GO:0031369;GO:0003676;GO:0005515	PS50102	PF08662	G3DSA:3.30.70.330;G3DSA:2.130.10.10	NA	SSF82171;SSF54928	NA	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	PIRSF036424	NA	MF_03001	NA
PTB57820.1	IPR027057	GO:0008233;GO:0071586;GO:0004222;GO:0006508	NA	PF01435;PF16491	G3DSA:3.30.2010.10	NA	NA	NA	NA	cd07343	NA	NA	KEGG: 00900+3.4.24.84	NA	NA	NA	NA
PTB48875.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56081.1	IPR022085	NA	NA	PF12311	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB60714.1	IPR038340	GO:0003735;GO:0005761;GO:0006412	NA	PF06984	G3DSA:1.20.1280.190	mobidb-lite	NA	NA	Coil	NA	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA
PTB48734.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF04082	G3DSA:4.10.240.10	NA	NA	SM00906	Coil	cd12148	NA	NA	NA	NA	NA	NA	NA
PTB54190.1	IPR001650	GO:0003676;GO:0005524	PS51195;PS51194;PS51192	PF00271;PF00270	G3DSA:3.40.50.300	mobidb-lite	SSF52540	SM00487;SM00490	NA	cd17953;cd18787	NA	PS00039	NA	NA	NA	NA	NA
PTB54896.1	IPR036378	NA	PS50213	NA	NA	NA	SSF82153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56305.1	NA	NA	NA	PF13233	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61272.1	IPR006977	GO:0016020	NA	PF04893	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58046.1	IPR008949	GO:0008299	NA	PF00348	G3DSA:1.10.600.10	NA	SSF48576	NA	NA	cd00685	NA	PS00723;PS00444	NA	NA	NA	NA	SFLDG01017;SFLDS00005
PTB60355.1	IPR036300	GO:0016020;GO:0000030;GO:0006493	PS50919	PF02366;PF16192;PF02815	G3DSA:2.80.10.50	mobidb-lite	SSF82109	SM00472	NA	NA	NA	NA	Reactome: R-HSA-5083629|Reactome: R-HSA-5083633|Reactome: R-HSA-5173105	NA	NA	NA	NA
PTB48021.1	IPR002625	GO:0005515	PS51140;PS50828	PF02845	G3DSA:3.30.1370.110;G3DSA:1.10.8.10	mobidb-lite	SSF160443	SM00463	NA	cd14279	NA	NA	NA	NA	NA	NA	NA
PTB51599.1	IPR001841	GO:0005515	PS50089;PS50908;PS50294;PS50082	PF00400	NA	mobidb-lite	SSF50978	SM00320	NA	cd16448	NA	NA	NA	NA	NA	NA	NA
PTB49235.1	IPR005025	GO:0016491;GO:0010181;GO:0003955	PS50902	PF03358	G3DSA:3.40.50.360	NA	SSF52218	NA	NA	NA	NA	NA	KEGG: 00130+1.6.5.2|MetaCyc: PWY-7731|MetaCyc: PWY-7999	NA	TIGR01755	NA	NA
PTB55418.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB56444.1	IPR014839	GO:0006357	NA	PF08728	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49825.1	NA	NA	NA	PF13376	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48006.1	IPR039261	GO:0016491;GO:0055114;GO:0016020	PS51384	PF08030;PF08022	G3DSA:3.40.50.80	NA	SSF52343;SSF63380	NA	NA	cd06186	PR00466	NA	NA	NA	NA	NA	NA
PTB53289.1	IPR012875	NA	NA	PF07896	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60427.1	IPR006103	GO:0004553;GO:0005975	NA	PF02836;PF02837;PF00703	G3DSA:3.20.20.80;G3DSA:2.60.120.260;G3DSA:2.60.40.10	NA	SSF49303;SSF51445;SSF49785	NA	NA	NA	NA	NA	Reactome: R-HSA-6798695	NA	NA	NA	NA
PTB48231.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB60500.1	IPR042099	GO:0003824	NA	PF13193;PF00501	G3DSA:3.40.50.12780;G3DSA:3.30.300.310	NA	SSF56801	NA	NA	cd05911	NA	PS00455	NA	NA	NA	NA	NA
PTB57687.1	IPR017946	GO:0006629;GO:0008081	NA	NA	G3DSA:3.20.20.190	NA	SSF51695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51870.1	IPR019626	NA	NA	PF10685	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59355.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59392.1	IPR029063	GO:0008168	NA	PF08241	G3DSA:3.40.50.150	NA	SSF53335	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA
PTB53172.1	IPR029058	NA	PS50837	PF05729	G3DSA:3.40.50.1820;G3DSA:3.40.50.300;G3DSA:1.25.40.20	NA	SSF48403;SSF53474;SSF52540;SSF140860	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB49127.1	IPR003959	GO:0005524	NA	PF00004	G3DSA:3.40.50.300	mobidb-lite	SSF52540	SM00382	NA	cd00009	NA	NA	NA	NA	NA	NA	NA
PTB47800.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53104.1	IPR036663	GO:0003824	NA	PF01557	G3DSA:3.90.850.10	NA	SSF56529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49085.1	IPR008030		NA	PF05368	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	SSF51735	NA	NA	cd05251	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA
PTB52722.1	IPR029060	GO:0032040	NA	PF04900	G3DSA:3.40.50.1010	NA	SSF88723	SM00670	Coil	cd09864	NA	NA	NA	NA	NA	NA	NA
PTB55666.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51519.1	IPR036639	GO:0004129	NA	PF02936	G3DSA:1.10.442.10	NA	SSF81406	NA	NA	cd00922	NA	NA	NA	NA	NA	NA	NA
