Gene	interpro	GO	SMART	ProSiteProfiles	Pfam	Gene3D	MobiDBLite	CDD	Coils	SUPERFAMILY	ProSitePatterns	PRINTS	PATHWAY	TIGRFAM	PIRSF	Hamap	SFLD
EHK19934.1	IPR032710	NA	NA	NA	NA	G3DSA:3.10.450.50	NA	NA	NA	SSF54427	NA	NA	NA	NA	NA	NA	NA
EHK16531.1	IPR029149		SM01285;SM01287;SM01286	NA	PF14826;PF08644;PF08512;PF00557	G3DSA:3.40.350.10;G3DSA:3.90.230.10;G3DSA:2.30.29.210;G3DSA:2.30.29.30;G3DSA:2.30.29.150	mobidb-lite	cd01091	Coil	SSF55920	NA	NA	Reactome: R-HSA-112382|Reactome: R-HSA-167152|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6804756|Reactome: R-HSA-75955	NA	NA	NA	NA
EHK23909.1	IPR001623	NA	SM00271	PS50076	PF00226	G3DSA:1.10.287.110	mobidb-lite	cd06257	Coil	SSF46565	PS00636	PR00625	NA	NA	NA	NA	NA
EHK15713.1	IPR022127	NA	NA	NA	PF12400	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26706.1	IPR023753	GO:0016491;GO:0055114	NA	NA	PF07992	G3DSA:3.50.50.60;G3DSA:3.40.50.720	NA	NA	NA	SSF51971	NA	PR00419	Reactome: R-HSA-196108|Reactome: R-HSA-211976|Reactome: R-HSA-2395516|Reactome: R-HSA-5579026	NA	PIRSF000362	NA	NA
EHK24037.1	IPR001764	GO:0004553;GO:0005975	SM01217	PS51820	PF00933;PF01915;PF14310;PF07691	G3DSA:2.60.40.10;G3DSA:3.20.20.300;G3DSA:3.40.50.1700	NA	NA	NA	SSF51445;SSF52279	NA	PR00133	NA	NA	NA	NA	NA
EHK18031.1	IPR000467	GO:0003676	SM00443	PS50174	PF01585	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK15787.1	IPR013126		NA	NA	PF00012	G3DSA:3.30.420.40;G3DSA:1.20.1270.10;G3DSA:2.60.34.10;G3DSA:3.90.640.10;G3DSA:3.30.30.30	mobidb-lite	cd10230	Coil	SSF100934;SSF53067	NA	PR00301	Reactome: R-HSA-3371453	NA	NA	NA	NA
EHK21602.1	IPR008030		NA	NA	PF05368	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA
EHK16198.1	IPR010730	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19389.1	IPR029058	GO:0003824;GO:0033961	NA	NA	PF06441	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	PR00412	Reactome: R-HSA-211945	NA	PIRSF001112	NA	NA
EHK25174.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SM00066	PS50048	PF00172	G3DSA:4.10.240.10	mobidb-lite	cd00067;cd12148	Coil	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
EHK22628.1	IPR001126	GO:0006281;GO:0003676;GO:0003684	NA	PS50173	PF00817;PF11799;PF18439	G3DSA:3.30.70.270;G3DSA:2.30.40.30;G3DSA:1.10.150.20;G3DSA:3.30.1490.100	mobidb-lite	NA	NA	SSF56672;SSF100879	PS00028	NA	Reactome: R-HSA-5656169	NA	PIRSF036603	NA	NA
EHK18307.1	IPR001806	GO:0003924;GO:0005525;GO:0007264	SM00173;SM00174;SM00175;SM00176	PS51420	PF00071	G3DSA:3.40.50.300	NA	cd01870	NA	SSF52540	NA	PR00449	Reactome: R-HSA-194840	TIGR00231	NA	NA	NA
EHK26390.1	IPR020843	GO:0016491;GO:0055114	SM00829	NA	PF00107	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	cd08249	NA	SSF50129;SSF51735	NA	NA	NA	NA	NA	NA	NA
EHK18197.1	IPR011701	GO:0055085	NA	NA	PF07690	G3DSA:1.20.1250.20	mobidb-lite	cd06174	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK23803.1	IPR003439	GO:0005524;GO:0016887;GO:0016020	SM00382	PS50893	PF01061;PF00005	G3DSA:3.40.50.300	NA	NA	NA	SSF52540	PS00211	NA	Reactome: R-HSA-1369062	NA	NA	NA	NA
EHK15193.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26983.1	IPR036928		NA	NA	PF01425	G3DSA:3.90.1300.10	NA	NA	NA	SSF75304	NA	NA	KEGG: 00970+6.3.5.7	NA	NA	NA	NA
EHK18819.1	IPR016024	GO:0005643	NA	NA	PF11894	NA	NA	NA	NA	SSF48371	NA	NA	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5619107|Reactome: R-HSA-6784531	NA	NA	NA	NA
EHK24391.1	IPR017884	GO:0003677	SM00717	PS51293	PF00249	G3DSA:1.10.10.60;G3DSA:1.20.58.1880	mobidb-lite	cd00167	Coil	SSF46689	NA	NA	NA	NA	NA	NA	NA
EHK25243.1	IPR011990	GO:0005515	SM00671	NA	PF08238	G3DSA:1.25.40.10	mobidb-lite	NA	NA	SSF81901	NA	NA	NA	NA	NA	NA	NA
EHK21975.1	IPR006162	GO:0003824;GO:0055114;GO:0031177;GO:0016740;GO:0016491	SM00825;SM00822;SM00826;SM00823;SM00827;SM00829	PS50075	PF08659;PF00698;PF00550;PF16197;PF14765;PF13602;PF08240;PF00109;PF02801;PF08242	G3DSA:3.30.70.3290;G3DSA:3.40.50.720;G3DSA:1.10.1200.10;G3DSA:3.40.50.150;G3DSA:3.10.129.110;G3DSA:3.40.47.10;G3DSA:3.30.70.250;G3DSA:3.90.180.10;G3DSA:3.40.366.10	NA	cd00833;cd02440;cd05195	NA	SSF51735;SSF53335;SSF47336;SSF55048;SSF50129;SSF53901;SSF52151	PS00012;PS00606	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	NA	NA	NA	NA
EHK17465.1	IPR021665	GO:0016592	NA	NA	PF11635	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	NA	NA
EHK20198.1	IPR001509	GO:0003824;GO:0050662	NA	NA	PF01370	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA
EHK15590.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26347.1	IPR007529	NA	NA	NA	PF04438	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20310.1	IPR016491	GO:0005525	NA	PS51719	PF00735	G3DSA:3.40.50.300	mobidb-lite	cd01850	Coil	SSF52540	NA	NA	NA	NA	PIRSF006698	NA	NA
EHK24641.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25375.1	IPR033904	GO:0004310;GO:0006696;GO:0051996;GO:0009058;GO:0016740;GO:0008610;GO:0016021;GO:0016765	NA	NA	PF00494	G3DSA:1.10.600.10	NA	cd00683	NA	SSF48576	PS01044	NA	Reactome: R-HSA-191273|Reactome: R-HSA-1989781|Reactome: R-HSA-2426168	TIGR01559	NA	NA	SFLDG01018;SFLDS00005
EHK22258.1	IPR017334	GO:0003743;GO:0005737;GO:0005852;GO:0003676	SM00360	PS50102	PF00076;PF12353	G3DSA:3.30.70.330	mobidb-lite	cd12408;cd12933	NA	SSF54928	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	PIRSF037949	MF_03006	NA
EHK27454.1	IPR036259	GO:0055085	NA	PS50850	PF07690	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	NA	cd17323	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK23352.1	IPR019180	NA	NA	NA	PF09791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK27136.1	IPR002925	GO:0016787	NA	NA	PF01738	G3DSA:3.40.50.1820	mobidb-lite	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK26020.1	IPR011990	GO:0005515	SM00165	PS50030	NA	G3DSA:1.10.287.110;G3DSA:1.25.40.10;G3DSA:1.10.8.10	mobidb-lite	NA	Coil	SSF48452;SSF46934;SSF46565	NA	NA	NA	NA	NA	NA	NA
EHK22874.1	IPR007111	NA	NA	PS50837	PF05729	G3DSA:3.40.50.300	NA	NA	Coil	SSF52540	NA	NA	NA	NA	NA	NA	NA
EHK23236.1	IPR018825	NA	NA	NA	PF10348;PF10355	NA	NA	cd08760	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21914.1	IPR029058	GO:0003824	NA	NA	PF00561	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	PR00412	NA	NA	NA	NA	NA
EHK20763.1	IPR011057	NA	NA	NA	NA	G3DSA:2.170.150.70	NA	NA	NA	SSF51316	NA	NA	NA	NA	NA	NA	NA
EHK17981.1	IPR037778	GO:0035556;GO:0004674;GO:0005524;GO:0006468;GO:0004697;GO:0009272;GO:0004672;GO:0007165	SM00109;SM00133;SM00220;SM00239;SM00742	PS51860;PS50011;PS50081;PS51285	PF00433;PF00069;PF00130;PF02185;PF00168	G3DSA:3.30.60.20;G3DSA:1.10.287.160;G3DSA:3.30.200.20;G3DSA:1.10.510.10	mobidb-lite	cd08689;cd00029;cd11620;cd05570	Coil	SSF56112;SSF57889;SSF46585;SSF49562	PS00479;PS00108;PS00107	NA	KEGG: 04070+2.7.11.13	NA	NA	NA	NA
EHK15946.1	IPR026274	GO:0008757;GO:0031591	NA	PS51684	PF02475	G3DSA:3.40.50.150	mobidb-lite	NA	NA	SSF53335	NA	NA	MetaCyc: PWY-7286	NA	PIRSF038972	NA	NA
EHK20423.1	IPR003874	GO:0006270	NA	NA	PF02724	NA	mobidb-lite	NA	Coil	NA	NA	NA	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68962|Reactome: R-HSA-69205	NA	NA	NA	NA
EHK21493.1	IPR004033	GO:0008168	NA	PS51608	PF01209	G3DSA:3.40.50.150	mobidb-lite	cd02440	NA	SSF53335	PS01184;PS01183	NA	KEGG: 00130+2.1.1.163|MetaCyc: PWY-5839|MetaCyc: PWY-5844|MetaCyc: PWY-5849|MetaCyc: PWY-5890|MetaCyc: PWY-5891|MetaCyc: PWY-5892|MetaCyc: PWY-5895|MetaCyc: PWY-7996|Reactome: R-HSA-2142789	TIGR01934	NA	MF_01813	NA
EHK17203.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26259.1	IPR000571	GO:0046872	NA	PS50103	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16997.1	IPR005336	GO:0005743;GO:0006850	NA	NA	PF03650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21219.1	IPR013968		NA	NA	PF08659	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	NA	NA	NA	NA
EHK18874.1	IPR014480	GO:0008496;GO:0016052;GO:0003824	NA	NA	PF03663	G3DSA:1.50.10.20	mobidb-lite	NA	NA	SSF48208	NA	NA	NA	NA	PIRSF016302	NA	NA
EHK22426.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK21064.1	IPR000571	GO:0046872	SM00356	PS50103	PF00642	G3DSA:4.10.1000.10	mobidb-lite	NA	NA	SSF90229	NA	NA	NA	NA	NA	NA	NA
EHK17201.1	IPR015422	GO:0003824;GO:0006520;GO:0016829	NA	NA	PF01212	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	cd06502	NA	SSF53383	NA	NA	Reactome: R-HSA-6783984	NA	PIRSF017617	NA	NA
EHK25355.1	IPR003021	GO:0000077;GO:0042025	NA	NA	PF02144	G3DSA:3.70.10.10	NA	cd00577	NA	SSF55979	NA	PR01245	Reactome: R-HSA-176187|Reactome: R-HSA-5685938|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473	NA	NA	NA	NA
EHK16969.1	IPR020683	GO:0005515	SM00248	PS50297;PS50088	PF12796	G3DSA:1.25.40.20	mobidb-lite	NA	NA	SSF48403	NA	NA	NA	NA	NA	NA	NA
EHK26136.1	IPR001948	GO:0004177;GO:0006508;GO:0008270	NA	NA	PF02127	G3DSA:3.40.630.10;G3DSA:2.30.250.10	NA	cd05658	NA	SSF101821;SSF53187	NA	PR00932	NA	NA	NA	NA	NA
EHK24243.1	IPR006076	GO:0016491;GO:0055114	NA	NA	PF01266	G3DSA:3.30.9.10;G3DSA:3.50.50.60	NA	NA	NA	SSF51905	NA	NA	NA	NA	NA	NA	NA
EHK26744.1	IPR036282	GO:0005515	NA	PS50405;PS50404	NA	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	NA	NA	NA	SSF47616;SSF52833	NA	NA	NA	NA	NA	NA	NA
EHK18339.1	IPR000073	NA	NA	NA	PF00561	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EHK19441.1	IPR036291	GO:0016491	NA	NA	PF01408	G3DSA:3.30.360.10;G3DSA:3.40.50.720	NA	NA	NA	SSF51735;SSF55347	NA	NA	NA	NA	NA	NA	NA
EHK26598.1	IPR016135	GO:0003950	SM00212	PS50127	PF00179;PF00644	G3DSA:3.10.110.10	mobidb-lite	NA	NA	SSF56399;SSF54495	NA	NA	Reactome: R-HSA-983168	NA	NA	NA	NA
EHK18462.1	IPR001199	GO:0006629;GO:0016021;GO:0016491	SM01117	PS50255	PF00487;PF00173	G3DSA:3.10.120.10	NA	cd03506	NA	SSF55856	NA	NA	NA	NA	PIRSF015921	NA	NA
EHK21369.1	IPR024761		NA	NA	PF12657;PF12660	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066	NA	NA	NA	NA
EHK15171.1	IPR001433	GO:0016491;GO:0055114	NA	PS51384	PF00175;PF00667	G3DSA:2.40.30.10;G3DSA:3.40.50.80;G3DSA:1.20.990.10	mobidb-lite	NA	NA	SSF52343;SSF63380	NA	PR00371	NA	NA	NA	NA	NA
EHK19329.1	IPR000782	NA	SM00554	PS50213	PF02469	G3DSA:2.30.180.10	NA	NA	NA	SSF82153	NA	NA	NA	NA	NA	NA	NA
EHK27101.1	IPR004358	GO:0016310;GO:0016772;GO:0000155;GO:0007165;GO:0000160	SM00387;SM00091;SM00448;SM00388	PS50109;PS50112;PS50110;PS50113	PF02518;PF00512;PF13426;PF00072	G3DSA:3.40.50.2300;G3DSA:3.30.450.20;G3DSA:3.30.565.10;G3DSA:1.10.287.130	mobidb-lite	cd16922;cd00082;cd00130;cd00156	Coil	SSF55874;SSF52172;SSF47384;SSF55785	NA	PR00344	Reactome: R-HSA-70895	TIGR00229	NA	NA	NA
EHK21404.1	IPR001223	GO:0005975;GO:0004553;GO:0008061	SM00636	NA	PF00704	G3DSA:3.20.20.80;G3DSA:3.10.50.10	mobidb-lite	NA	NA	SSF51445	PS01095	NA	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	NA	NA	NA
EHK21584.1	IPR020846	GO:0055085	NA	PS50850	PF07690	G3DSA:1.20.1250.20	mobidb-lite	cd17323	Coil	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK26446.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22650.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	SM00220	PS50011	PF00069	G3DSA:1.10.510.10	mobidb-lite	NA	NA	SSF56112	PS00107;PS00108	NA	NA	NA	NA	NA	NA
EHK26577.1	IPR041723	GO:0003824;GO:0009058	NA	NA	PF01467	G3DSA:3.40.50.620	mobidb-lite	cd02174	NA	SSF52374	NA	NA	NA	TIGR00125	NA	NA	NA
EHK18703.1	IPR027915	NA	NA	NA	PF14618	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26493.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK27471.1	IPR029063	NA	NA	NA	PF08242	G3DSA:3.40.50.150	mobidb-lite	cd02440	NA	SSF53335	NA	NA	NA	NA	PIRSF037755	NA	NA
EHK21831.1	IPR032710	NA	NA	NA	NA	G3DSA:3.10.450.50	NA	NA	NA	SSF54427	NA	NA	NA	NA	NA	NA	NA
EHK15191.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22783.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SM00906	NA	PF04082	G3DSA:4.10.240.10	NA	cd12148;cd00067	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK26251.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18349.1	IPR001680	GO:0005515	SM00320;SM01033	PS50294;PS50082	PF00400;PF08149	G3DSA:2.130.10.10	mobidb-lite	NA	Coil	SSF50978	PS00678	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA
EHK21265.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	PF00067	G3DSA:1.10.630.10	NA	NA	NA	SSF48264	PS00086	PR00385;PR00463	NA	NA	NA	NA	NA
EHK17834.1	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	NA	PF13520	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF006060	NA	NA
EHK16645.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17134.1	IPR013341	GO:0009063;GO:0008869;GO:0034194	SM00922	NA	PF02746;PF13378	G3DSA:3.20.20.120;G3DSA:3.30.390.10	NA	cd03325	NA	SSF54826;SSF51604	PS00908	NA	KEGG: 00052+4.2.1.6	NA	NA	NA	SFLDS00001;SFLDF00003
EHK17247.1	IPR010730	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23130.1	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	NA	PF00743	G3DSA:3.50.50.60	NA	NA	NA	SSF51905	NA	PR00469	NA	NA	NA	NA	NA
EHK18826.1	IPR036282	GO:0005515	NA	PS50404;PS50405	PF02798;PF14497	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	NA	NA	NA	SSF47616;SSF52833	NA	NA	NA	NA	NA	NA	SFLDG00358;SFLDS00019
EHK27224.1	IPR001650	GO:0003676;GO:0005524	SM00487;SM00490	PS51194;PS51192;PS51195	PF00271;PF00270	G3DSA:3.40.50.300	mobidb-lite	cd18787;cd17967	NA	SSF52540	PS00039	NA	NA	NA	NA	NA	NA
EHK24685.1	IPR016488		NA	NA	PF13233	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	PIRSF006643	NA	NA
EHK20762.1	IPR011057	NA	NA	NA	NA	G3DSA:2.170.150.70	NA	NA	NA	SSF51316	NA	NA	NA	NA	NA	NA	NA
EHK24594.1	IPR027410	GO:0005524;GO:0006457;GO:0051082	NA	NA	PF00118	G3DSA:3.30.260.10;G3DSA:1.10.560.10;G3DSA:3.50.7.10	NA	cd03341	NA	SSF52029;SSF54849;SSF48592	PS00750	PR00304	Reactome: R-HSA-389957|Reactome: R-HSA-389960|Reactome: R-HSA-390450|Reactome: R-HSA-390471|Reactome: R-HSA-6814122	TIGR02346	NA	NA	NA
EHK21877.1	IPR036705	NA	NA	NA	PF03747	G3DSA:1.10.4080.10;G3DSA:2.60.120.560	NA	NA	NA	SSF101478	NA	NA	NA	NA	NA	NA	NA
EHK22072.1	NA	NA	NA	NA	NA	G3DSA:2.60.20.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23697.1	IPR021860	NA	NA	NA	PF11954;PF00144	G3DSA:3.40.710.10	NA	NA	NA	SSF56601	NA	NA	NA	NA	NA	NA	NA
EHK23176.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	PF04082	NA	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24127.1	IPR006683		NA	NA	PF03061	G3DSA:3.10.129.10	NA	cd00586	NA	SSF54637	NA	NA	Reactome: R-HSA-77289	NA	NA	NA	NA
EHK21352.1	IPR002867	NA	NA	PS51873	PF01485	G3DSA:1.20.120.1750	mobidb-lite	NA	Coil	SSF57850	NA	NA	NA	NA	NA	NA	NA
EHK15122.1	IPR008610		NA	NA	PF05890	NA	mobidb-lite	NA	Coil	NA	NA	NA	Reactome: R-HSA-6791226	NA	NA	NA	NA
EHK25384.1	IPR000433	GO:0008270;GO:0005509	SM00054;SM00291	PS50222;PS50135	PF00569	G3DSA:1.10.238.10;G3DSA:3.30.60.90	mobidb-lite	cd00051;cd02340	NA	SSF47473;SSF57850	PS01357;PS00018	NA	NA	NA	NA	NA	NA
EHK22819.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SM00906;SM00066	PS50048	PF00172;PF04082	G3DSA:4.10.240.10	NA	cd00067;cd12148	NA	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
EHK27392.1	IPR003171	GO:0004489;GO:0006555;GO:0055114	NA	NA	PF02219	G3DSA:3.20.20.220	mobidb-lite	cd00537	NA	SSF51730	NA	NA	KEGG: 00670+1.5.1.20|KEGG: 00720+1.5.1.20|MetaCyc: PWY-2201|MetaCyc: PWY-3841|Reactome: R-HSA-196757	TIGR00677	NA	NA	NA
EHK20751.1	IPR003819	GO:0016491;GO:0055114	NA	NA	PF02668	G3DSA:3.60.130.10	NA	NA	NA	SSF51197	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA
EHK16718.1	IPR001926	GO:0006535	NA	NA	PF00291	G3DSA:3.40.50.1100	NA	cd01561	NA	SSF53686	PS00901	NA	Reactome: R-HSA-1614603	NA	NA	NA	NA
EHK18937.1	IPR006995	GO:0015078;GO:0015986;GO:0045263	NA	NA	PF04911	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26061.1	IPR019519	GO:0002098;GO:0033588	NA	NA	PF10483	G3DSA:3.40.50.300	mobidb-lite	NA	Coil	NA	NA	NA	Reactome: R-HSA-3214847	NA	NA	NA	NA
EHK20289.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18471.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	SM00066;SM00906	PS50048	PF04082;PF00172	G3DSA:4.10.240.10	NA	cd00067;cd12148	NA	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
EHK15470.1	IPR022057	NA	NA	NA	PF12271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21557.1	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0016021	NA	PS50850	PF00083	G3DSA:1.20.1250.20	NA	cd17356	NA	SSF103473	NA	NA	Reactome: R-HSA-189200	TIGR00879	NA	NA	NA
EHK20701.1	IPR004507	GO:0003824	NA	NA	PF02441	G3DSA:3.40.50.1950	NA	NA	NA	SSF52507	NA	NA	Reactome: R-HSA-196783	TIGR00421	NA	MF_01984	NA
EHK25113.1	IPR002110	GO:0005515;GO:0003824;GO:0009116	SM00248	PS50088;PS50837;PS50297	PF13637;PF12796;PF05729	G3DSA:1.25.40.20;G3DSA:3.40.50.300	NA	cd09008	NA	SSF52540;SSF48403;SSF53167	NA	PR01415	NA	NA	NA	NA	NA
EHK16270.1	IPR002129	GO:0016831;GO:0019752;GO:0030170;GO:0003824;GO:0006520	NA	NA	PF00282	G3DSA:3.90.1150.170;G3DSA:3.40.640.10	NA	NA	NA	SSF53383	PS00392	PR00800	NA	NA	NA	NA	NA
EHK18693.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22167.1	IPR036397	GO:0003676;GO:0004523	NA	PS50879	NA	G3DSA:3.30.420.10	NA	NA	NA	SSF53098	NA	NA	NA	NA	NA	NA	NA
EHK15762.1	IPR011990	GO:0005515	SM00671	NA	PF08238	G3DSA:1.25.40.10	mobidb-lite	NA	NA	SSF81901	NA	NA	NA	NA	NA	NA	NA
EHK15536.1	IPR000589	GO:0003735;GO:0005840;GO:0006412	SM01387	NA	PF00312	G3DSA:1.10.287.10	mobidb-lite	cd00353	NA	SSF47060	NA	NA	NA	NA	NA	NA	NA
EHK18422.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18749.1	IPR018200	GO:0006511;GO:0036459;GO:0016579	NA	PS50235	PF00443;PF12030	G3DSA:3.90.70.10	mobidb-lite	cd02659	NA	SSF54001	PS00973	NA	NA	NA	NA	NA	NA
EHK20759.1	IPR005828	GO:0016021;GO:0022857;GO:0055085	NA	PS50850	PF00083	G3DSA:1.20.1250.20	NA	cd17364	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
EHK25771.1	IPR000172	GO:0016614;GO:0050660;GO:0055114	NA	NA	PF05199;PF00732	G3DSA:3.50.50.60;G3DSA:3.30.560.10	NA	NA	NA	SSF51905;SSF54373	PS00623;PS00624	NA	Reactome: R-HSA-6798163	NA	PIRSF000137	NA	NA
EHK23681.1	IPR004037	GO:0042254;GO:1990904	NA	NA	PF01248	G3DSA:3.30.1330.210	mobidb-lite	NA	Coil	SSF55315	PS01082	PR00881;PR00882	Reactome: R-HSA-6791226	NA	NA	NA	NA
EHK25998.1	IPR010497	GO:0033961	NA	NA	PF06441	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	NA	Reactome: R-HSA-211945	NA	PIRSF001112	NA	NA
EHK15789.1	IPR011009	GO:0004672;GO:0006468;GO:0005524	SM00220	PS50011	PF00069	G3DSA:1.10.510.10	mobidb-lite	cd05117	Coil	SSF56112	PS00108;PS00107	NA	NA	NA	PIRSF000654	NA	NA
