Gene	MobiDBLite	interpro	GO	PATHWAY	Pfam	SUPERFAMILY	Gene3D	SMART	CDD	PRINTS	ProSiteProfiles	ProSitePatterns	TIGRFAM	Hamap	Coils	PIRSF	SFLD
KAF3072252.1	mobidb-lite	IPR005178	NA	NA	PF03619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3065426.1	NA	IPR032805	NA	NA	PF13813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077653.1	mobidb-lite	IPR000426	GO:0004175;GO:0006511;GO:0019773;GO:0004298;GO:0005839;GO:0051603	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PF00227	SSF56235	G3DSA:3.60.20.10	SM00948	cd03749	NA	PS51475	NA	NA	NA	NA	NA	NA
KAF3077598.1	mobidb-lite	IPR005024	GO:0007034	NA	PF03357	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3076068.1	NA	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	SSF48264	G3DSA:1.10.630.10	NA	NA	PR00463	NA	PS00086	NA	NA	NA	NA	NA
KAF3063114.1	NA	IPR010730	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077258.1	mobidb-lite	IPR012677	GO:0003676	NA	PF00076	SSF54928	G3DSA:3.30.70.330	SM00360	NA	NA	PS50102	NA	NA	NA	NA	NA	NA
KAF3075521.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3054685.1	mobidb-lite	IPR011009	GO:0004672;GO:0006468;GO:0005515;GO:0005524	NA	PF00498;PF00069	SSF56112;SSF49879	G3DSA:1.10.510.10;G3DSA:2.60.200.20	SM00220	cd00060	NA	PS50006;PS50011	PS00108;PS00107	NA	NA	NA	NA	NA
KAF3074226.1	NA	IPR001806	GO:0003924;GO:0005525;GO:0007264	Reactome: R-HSA-194840	PF00071	SSF52540	G3DSA:3.40.50.300	SM00173;SM00174;SM00175;SM00176	cd01870	PR00449	PS51420	NA	TIGR00231	NA	NA	NA	NA
KAF3063336.1	mobidb-lite	IPR020843	GO:0016491	NA	NA	SSF51735;SSF50129	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SM00829	cd08249	NA	NA	NA	NA	NA	NA	NA	NA
KAF3066183.1	NA	IPR004837	GO:0016021;GO:0055085	Reactome: R-HSA-425561	PF01699	NA	G3DSA:1.20.1420.30;G3DSA:1.20.58.1130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3071415.1	NA	IPR002347	NA	NA	PF00106	SSF51735	G3DSA:3.40.50.720	SM00822	cd05233	PR00081	NA	NA	NA	NA	NA	NA	NA
KAF3073497.1	NA	IPR036068	GO:0004514;GO:0009435	KEGG: 00760+6.3.4.21|MetaCyc: PWY-5381	PF04095;PF17767	SSF51690;SSF54675	G3DSA:3.20.140.10	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF000484	NA
KAF3075320.1	NA	IPR004007	GO:0004371;GO:0006071;GO:0005524	Reactome: R-HSA-168928|Reactome: R-HSA-70350	PF02734;PF02733	SSF101473;SSF82549	G3DSA:3.40.50.10440;G3DSA:3.30.1180.20;G3DSA:1.25.40.340	SM01120	NA	NA	PS51481;PS51480	NA	TIGR02361	NA	NA	NA	NA
KAF3076661.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3058827.1	NA	IPR011343	GO:0004139;GO:0005737;GO:0009264;GO:0016829;GO:0003824	KEGG: 00030+4.1.2.4|MetaCyc: PWY-7180|MetaCyc: PWY-8060|Reactome: R-HSA-6798695|Reactome: R-HSA-71336	PF01791	SSF51569	G3DSA:3.20.20.70	SM01133	cd00959	NA	NA	NA	TIGR00126	MF_00114	NA	PIRSF001357	NA
KAF3076675.1	mobidb-lite	IPR006168	GO:0004367;GO:0006072;GO:0009331;GO:0055114;GO:0016491;GO:0005975;GO:0016616;GO:0046168;GO:0051287;GO:0042803	KEGG: 00564+1.1.1.94|MetaCyc: PWY-5667|MetaCyc: PWY-5981|MetaCyc: PWY-7902|Reactome: R-HSA-1483166	PF07479;PF01210	SSF51735;SSF48179	G3DSA:1.10.1040.10	NA	NA	PR00077	NA	PS00957	TIGR03376	NA	NA	NA	NA
KAF3077051.1	NA	IPR000782	NA	NA	PF02469	SSF82153	G3DSA:2.30.180.10	SM00554	NA	NA	PS50213	NA	NA	NA	NA	NA	NA
KAF3072124.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3075878.1	mobidb-lite	IPR017877	NA	NA	NA	NA	NA	NA	NA	NA	PS50090	NA	NA	NA	NA	NA	NA
KAF3072034.1	mobidb-lite	IPR006140	GO:0051287;GO:0055114;GO:0016616;GO:0004617;GO:0006564	Reactome: R-HSA-977347	PF02826;PF01595;PF00389	SSF51735;SSF55021;SSF143548;SSF52283;SSF54631	G3DSA:3.40.50.720;G3DSA:3.30.1330.90;G3DSA:3.10.580.10;G3DSA:3.30.70.260	NA	cd04590;cd12173	NA	PS51371;PS51846	NA	TIGR01327	NA	NA	NA	NA
KAF3070063.1	mobidb-lite	IPR000504	GO:0003676	NA	PF00076	SSF54928	G3DSA:3.30.70.330	SM00360	cd00590	NA	PS50102	NA	NA	NA	NA	NA	NA
KAF3057877.1	mobidb-lite	IPR036259	GO:0055085	NA	PF07690	SSF103473	G3DSA:1.20.1250.20	NA	cd17352	NA	PS50850	NA	NA	NA	NA	NA	NA
KAF3072660.1	mobidb-lite	IPR007258		Reactome: R-HSA-6811440	PF04129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075946.1	NA	IPR002933	GO:0016787;GO:0006508;GO:0008237	NA	PF01546;PF07687	SSF53187;SSF55031	G3DSA:3.30.70.360;G3DSA:3.40.630.10	NA	cd05652	NA	NA	PS00759	NA	NA	NA	NA	NA
KAF3076225.1	NA	IPR013780		KEGG: 00040+3.2.1.31|KEGG: 00531+3.2.1.31|KEGG: 00860+3.2.1.31|KEGG: 00944+3.2.1.31|KEGG: 00983+3.2.1.31|MetaCyc: PWY-7247|MetaCyc: PWY-7445	PF16862	SSF51445	G3DSA:2.60.40.1180;G3DSA:3.20.20.80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3070103.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3057588.1	NA	IPR000073	GO:0003824	NA	PF00561	SSF53474	G3DSA:3.40.50.1820	NA	NA	PR00412	NA	NA	NA	NA	NA	NA	NA
KAF3076244.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3057483.1	NA	IPR007867	GO:0016614;GO:0055114;GO:0050660	Reactome: R-HSA-6798163	PF05199;PF00732	SSF51905;SSF54373	G3DSA:3.30.560.10;G3DSA:3.50.50.60	NA	NA	NA	NA	PS00624;PS00623	NA	NA	NA	PIRSF000137	NA
KAF3074935.1	NA	IPR012908	GO:0016788;GO:0005515	Reactome: R-HSA-162791	PF07819	SSF50998;SSF53474;SSF82171;SSF52540	G3DSA:2.130.10.10;G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3071862.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3068275.1	mobidb-lite	IPR001452	GO:0005515;GO:0006886	NA	PF00018;PF00790;PF03127	SSF48464;SSF50044	G3DSA:2.30.30.40;G3DSA:1.25.40.90	SM00288;SM00326	cd16978;cd11805	PR00452;PR01217	PS50330;PS50002;PS50179	NA	NA	NA	NA	NA	NA
KAF3072626.1	mobidb-lite	IPR009057	GO:0003677	Reactome: R-HSA-72163	PF13921;PF11831	SSF46689	G3DSA:1.10.10.60	SM00717	cd00167;cd11659	NA	PS51294	NA	NA	NA	Coil	NA	NA
KAF3065508.1	NA	IPR016039	GO:0003824;GO:0016740;GO:0031177;GO:0055114;GO:0016491	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	PF00698;PF02801;PF00550;PF14765;PF00107;PF16197;PF08659;PF00109;PF08240	SSF53901;SSF52151;SSF47336;SSF50129;SSF51735;SSF55048	G3DSA:3.90.180.10;G3DSA:3.40.47.10;G3DSA:3.10.129.110;G3DSA:3.40.50.720;G3DSA:3.40.366.10;G3DSA:1.10.1200.10;G3DSA:3.30.70.3290	SM00825;SM00823;SM00822;SM00826;SM00827;SM00829	cd00833;cd05195	NA	PS50075;PS51257	PS00012;PS00606	NA	NA	NA	NA	NA
KAF3073821.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3071538.1	NA	IPR003480	GO:0016747	Reactome: R-HSA-389661	PF02458	SSF52777	G3DSA:3.30.559.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3056040.1	NA	IPR017853	GO:0008061;GO:0005975	NA	PF00704	SSF51445	NA	SM00636	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3072853.1	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF00172;PF04082;PF12973	SSF51182;SSF57701	G3DSA:2.60.120.10;G3DSA:4.10.240.10	SM00906;SM00066	cd12148;cd00067	NA	PS50048	PS00463	NA	NA	NA	NA	NA
KAF3073694.1	mobidb-lite	IPR011159	GO:0004724;GO:0048037;GO:0016787	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	PF00149;PF16891	SSF56300	G3DSA:3.60.21.10	SM00156	cd07414	PR00114	NA	PS00125	NA	NA	NA	PIRSF000909	NA
KAF3074792.1	mobidb-lite	IPR006073	GO:0005525	NA	PF01926	SSF52540	G3DSA:3.40.50.300	NA	cd00882	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3059157.1	NA	IPR002347	NA	NA	PF00106	SSF51735	G3DSA:3.40.50.720	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA
KAF3056927.1	NA	IPR035980	GO:0003735;GO:0005840;GO:0006412;GO:0019843	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF00494;PF01250	SSF54995;SSF48576	G3DSA:3.30.70.60;G3DSA:1.10.600.10	NA	cd15465	NA	NA	NA	TIGR00166	NA	NA	NA	NA
KAF3058897.1	mobidb-lite	IPR036640	GO:0005524;GO:0016021;GO:0016020;GO:0022857;GO:0055085;GO:0042626;GO:0016887	Reactome: R-HSA-433137	PF00939;PF00664;PF00005;PF03105	SSF90123;SSF52540	G3DSA:3.40.50.300	SM00382	cd01115;cd14478;cd03249;cd18577;cd18578	NA	PS51382;PS50929;PS50893	PS00211	TIGR00785	NA	Coil	NA	NA
KAF3056092.1	mobidb-lite	IPR004843	GO:0016787	NA	PF00149;PF10360	SSF56300	NA	NA	cd00838	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3067861.1	NA	IPR001608		KEGG: 00473+5.1.1.1|MetaCyc: PWY-7383|MetaCyc: PWY-8040	PF01168;PF14031	SSF51419	G3DSA:3.20.20.10;G3DSA:2.40.37.20	SM01119	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3075610.1	mobidb-lite	IPR004841	GO:0016020;GO:0055085;GO:0006865;GO:0016021;GO:0022857	NA	PF00324	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	PS00218	NA	NA	NA	PIRSF006060	NA
KAF3068549.1	NA	IPR001494	GO:0006886;GO:0008536	NA	PF03810;PF08389;PF08506	SSF48371	G3DSA:1.25.10.10	SM00913	NA	NA	PS50166	NA	NA	NA	Coil	NA	NA
KAF3072629.1	mobidb-lite	IPR020846	GO:0055085;GO:0022857	NA	PF07690	SSF103473	NA	NA	cd17330	PR01035	PS50850	NA	NA	NA	NA	NA	NA
KAF3072898.1	mobidb-lite	IPR036259	GO:0055085;GO:0016021;GO:0022857	NA	PF07690	SSF103473	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	NA	cd17502	PR01036	PS50850	PS00216	NA	NA	NA	NA	NA
KAF3077219.1	NA	IPR007921	NA	NA	PF05257	SSF54001	G3DSA:3.90.1720.10	NA	NA	NA	PS50911	NA	NA	NA	NA	NA	NA
KAF3076062.1	NA	IPR025533	NA	NA	PF14388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3069266.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3074482.1	NA	IPR000182	GO:0008080	NA	PF13508	SSF55729	G3DSA:3.40.630.30	NA	cd04301	NA	PS51186	NA	NA	NA	NA	NA	NA
KAF3072617.1	mobidb-lite	IPR003903	GO:0005515	NA	PF12937	SSF81383;SSF50978	G3DSA:2.130.10.10	SM00726	NA	NA	PS50330;PS50181	NA	NA	NA	NA	NA	NA
KAF3072735.1	NA	IPR025733	GO:0016787;GO:0003993;GO:0046872	KEGG: 00730+3.1.3.2|KEGG: 00740+3.1.3.2|MetaCyc: PWY-6348	PF14008;PF00149;PF16656	SSF56300;SSF49363	G3DSA:2.60.40.380	NA	cd00839	NA	NA	NA	NA	NA	NA	PIRSF000900	NA
KAF3075183.1	NA	IPR039542	NA	NA	PF13850;PF07970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3074609.1	mobidb-lite	IPR007197	GO:0003824;GO:0051536;GO:0006777;GO:0046872;GO:0019008;GO:0051539	KEGG: 00790+4.1.99.22|MetaCyc: PWY-6823|Reactome: R-HSA-947581	PF01967;PF04055;PF06463	SSF55040;SSF102114	G3DSA:3.30.70.640;G3DSA:3.20.20.70	SM00729	cd01335;cd01420	NA	NA	PS01305	TIGR02666;TIGR00581	MF_01224_B	NA	NA	SFLDS00029;SFLDG01383
KAF3070093.1	NA	IPR000683	GO:0016491	NA	PF01408	SSF51735;SSF55347	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3076051.1	mobidb-lite	IPR000432	GO:0005524;GO:0006298;GO:0030983	NA	PF00488;PF05192;PF05190;PF05188	SSF53150;SSF48334;SSF52540	G3DSA:3.40.50.300;G3DSA:1.10.1420.10;G3DSA:3.30.420.110	SM00533;SM00534	NA	NA	NA	PS00486	NA	NA	NA	PIRSF005813	NA
KAF3057648.1	mobidb-lite	IPR022673	GO:0005524;GO:0005975;GO:0016773;GO:0001678;GO:0004396;GO:0005536	KEGG: 00010+2.7.1.1|KEGG: 00051+2.7.1.1|KEGG: 00052+2.7.1.1|KEGG: 00500+2.7.1.1|KEGG: 00520+2.7.1.1|KEGG: 00521+2.7.1.1|KEGG: 00524+2.7.1.1|Reactome: R-HSA-70171	PF03727;PF00349	SSF53067	G3DSA:3.30.420.40;G3DSA:3.40.367.20	NA	NA	PR00475	PS51748	NA	NA	NA	NA	NA	NA
KAF3060137.1	NA	IPR008493		Reactome: R-HSA-3371453	PF05603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3072278.1	mobidb-lite	IPR003960	GO:0005524	NA	PF17862;PF00004	SSF52540	G3DSA:3.40.50.300;G3DSA:1.10.8.60	SM00382	cd00009	NA	NA	PS00674	NA	NA	Coil	NA	NA
KAF3067660.1	mobidb-lite	IPR036852	GO:0004252;GO:0006508	NA	PF00082	SSF52743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3065648.1	mobidb-lite	IPR012923	GO:0005634;GO:0006974;GO:0048478	Reactome: R-HSA-5693607	PF07962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3071513.1	NA	IPR036188	NA	NA	NA	SSF51905	G3DSA:3.50.50.60	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	NA
KAF3068656.1	NA	IPR007867	GO:0016614;GO:0055114;GO:0050660	Reactome: R-HSA-6798163	PF05199;PF00732	SSF54373;SSF51905	G3DSA:3.30.560.10;G3DSA:3.50.50.60	NA	NA	NA	NA	PS00624	NA	NA	NA	NA	NA
KAF3075473.1	NA	IPR021765	GO:0043386	NA	PF11807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3060575.1	NA	IPR007274	GO:0005375;GO:0016021;GO:0035434	NA	PF04145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077094.1	NA	IPR011987	GO:0000221;GO:1902600;GO:0046961	Reactome: R-HSA-1222556|Reactome: R-HSA-167590|Reactome: R-HSA-182218|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-9639288|Reactome: R-HSA-983712	PF11698;PF03224	SSF48371	G3DSA:1.25.40.150;G3DSA:1.25.10.10	NA	NA	NA	NA	NA	NA	NA	Coil	PIRSF032184	NA
KAF3077642.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3071923.1	NA	IPR027413	GO:0005524;GO:0006457;GO:0051082	Reactome: R-HSA-389957|Reactome: R-HSA-389960|Reactome: R-HSA-390450|Reactome: R-HSA-390471|Reactome: R-HSA-5620922|Reactome: R-HSA-6798695|Reactome: R-HSA-6814122	PF00118	SSF48592;SSF54849;SSF52029	G3DSA:1.10.560.10;G3DSA:3.30.260.10;G3DSA:3.50.7.10	NA	cd03341	PR00304	NA	NA	TIGR02346	NA	NA	NA	NA
KAF3069217.1	mobidb-lite	IPR042299	GO:0006511	Reactome: R-HSA-110320|Reactome: R-HSA-5689880	PF03152	NA	G3DSA:2.40.40.50;G3DSA:3.10.330.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3055479.1	NA	IPR030400	GO:0006508;GO:0008236;GO:0004252	Reactome: R-HSA-381038	PF09286	SSF54897;SSF52743	NA	SM00944	cd04056;cd11377	NA	PS51695	NA	NA	NA	NA	NA	NA
KAF3068076.1	NA	IPR003719	GO:0003824;GO:0009058	NA	PF02567	SSF54506	G3DSA:3.10.310.10	NA	NA	NA	NA	NA	TIGR00654	NA	NA	PIRSF016184	NA
KAF3077462.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3069960.1	NA	IPR035992	NA	NA	NA	SSF50370	G3DSA:2.80.10.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3070320.1	mobidb-lite	IPR007728	GO:0005634;GO:0008270;GO:0018024;GO:0034968;GO:0005515	Reactome: R-HSA-3214841	PF05033;PF00856	SSF82199	G3DSA:2.170.270.10	SM00468;SM00317	NA	NA	PS50867;PS50280	NA	NA	NA	NA	NA	NA
KAF3075070.1	NA	IPR024084	GO:0016616;GO:0055114;GO:0003862;GO:0009098;GO:0000287;GO:0051287	Reactome: R-HSA-71403	PF00180	SSF53659	G3DSA:3.40.718.10	SM01329	NA	NA	NA	PS00470	TIGR00169	NA	NA	NA	NA
KAF3073171.1	mobidb-lite	IPR017441	GO:0005524;GO:0004672;GO:0006468;GO:0004674	NA	PF00069	SSF56112	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SM00220	cd05580	NA	PS50011;PS51285	PS00107;PS00108	NA	NA	NA	PIRSF000654	NA
KAF3069338.1	mobidb-lite	IPR028143	NA	NA	PF08690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3060263.1	NA	IPR036188	GO:0016491;GO:0055114;GO:0005509	NA	PF07992	SSF51905;SSF47473	G3DSA:3.50.50.100	SM00054	NA	NA	PS50222	PS00018	NA	NA	NA	NA	NA
KAF3077506.1	NA	IPR004136	GO:0018580;GO:0055114;GO:0003824	NA	PF03060	SSF51412	G3DSA:3.20.20.70	NA	cd04730	NA	NA	NA	NA	NA	NA	NA	NA
KAF3056921.1	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0004553;GO:0005975	NA	PF01915;PF00172;PF11951;PF00933;PF14310	SSF51445;SSF57701;SSF52279	G3DSA:2.60.40.10;G3DSA:3.40.50.1700;G3DSA:3.20.20.300;G3DSA:4.10.240.10	SM01217;SM00066	cd00067	PR00133	PS50048	PS00463	NA	NA	NA	NA	NA
KAF3076734.1	NA	IPR029058	GO:0006629	Reactome: R-HSA-426048	PF01764	SSF53474	G3DSA:3.40.50.1820	NA	cd00519	NA	NA	NA	NA	NA	NA	NA	NA
KAF3067603.1	NA	IPR032710	NA	NA	NA	SSF54427	G3DSA:3.10.450.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3063379.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3067767.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3074372.1	NA	IPR039461	NA	NA	PF03571	NA	G3DSA:1.20.120.1470	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3074448.1	NA	IPR008257	GO:0006508;GO:0016805	MetaCyc: PWY-7533|Reactome: R-HSA-2142691|Reactome: R-HSA-5423646	PF01244;PF00043	SSF47616;SSF51556	G3DSA:3.20.20.140;G3DSA:1.20.1050.10	NA	cd01301	NA	PS51365;PS50405	NA	NA	NA	NA	NA	NA
KAF3060218.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
KAF3074221.1	NA	IPR032640		Reactome: R-HSA-1445148|Reactome: R-HSA-1632852|Reactome: R-HSA-2151209|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-6804756|Reactome: R-HSA-9613354|Reactome: R-HSA-9619483	PF16561;PF05729	SSF52540;SSF48403;SSF81296	G3DSA:1.25.40.20;G3DSA:2.60.40.10;G3DSA:3.40.50.300	NA	cd02859	NA	PS50297	NA	NA	NA	NA	NA	NA
KAF3072473.1	mobidb-lite	IPR018819	NA	NA	PF10332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3076900.1	NA	IPR008949	GO:0008299	NA	PF00348	SSF48576	G3DSA:1.10.600.10	NA	cd00685	NA	NA	PS00723;PS00444	NA	NA	NA	NA	SFLDG01017;SFLDS00005
KAF3070202.1	NA	IPR001509	GO:0003824;GO:0050662	NA	PF01370	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3071424.1	mobidb-lite	IPR013087	GO:0003676;GO:0003677	NA	NA	NA	G3DSA:3.30.160.60	SM00355	NA	NA	PS50808	PS00028	NA	NA	NA	NA	NA
KAF3056825.1	NA	IPR009486	GO:0055085;GO:0003824;GO:0009116	NA	PF06516	NA	G3DSA:3.40.50.1580	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF013171	NA
KAF3074290.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3067671.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3073412.1	NA	IPR008030		Reactome: R-HSA-70635	PF05368	SSF51735	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	cd05251	NA	NA	NA	NA	NA	NA	NA	NA
KAF3074789.1	NA	IPR011050	GO:0004650;GO:0005975	NA	PF00295	SSF51126	G3DSA:2.160.20.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3074351.1	NA	IPR016040	NA	NA	PF13460	SSF51735	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3066889.1	mobidb-lite	IPR018825	NA	NA	PF10348;PF10355	NA	NA	NA	cd08760	NA	NA	NA	NA	NA	NA	NA	NA
KAF3062928.1	NA	IPR016518	GO:0004560;GO:0003824	KEGG: 00511+3.2.1.51|MetaCyc: PWY-6807	PF14498	SSF48208	G3DSA:1.50.10.10;G3DSA:2.60.40.1180;G3DSA:2.70.98.50	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF007663	NA
KAF3077070.1	NA	IPR013026	GO:0005515;GO:0043531	Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-6798695|Reactome: R-HSA-6803207|Reactome: R-HSA-8953750|Reactome: R-HSA-9627069	PF00931;PF13374;PF13424	SSF48452;SSF52540	G3DSA:3.40.50.300;G3DSA:1.25.40.10	SM00028	NA	NA	PS50293;PS50005	NA	NA	NA	NA	NA	NA
KAF3075125.1	NA	IPR002110	GO:0005515;GO:0003824;GO:0009116	NA	PF12796;PF01048	SSF48403;SSF52540;SSF53167	G3DSA:1.25.40.20;G3DSA:3.40.50.300	SM00248	cd09008	PR01415	PS50088;PS50297	NA	NA	NA	NA	NA	NA
KAF3056803.1	NA	IPR017946	GO:0006629;GO:0008081	NA	PF03009	SSF51695	G3DSA:3.20.20.190	NA	NA	NA	PS51704	NA	NA	NA	NA	NA	NA
KAF3074971.1	mobidb-lite	IPR006276	GO:0003871;GO:0008270;GO:0009086;GO:0008652	KEGG: 00270+2.1.1.14|KEGG: 00450+2.1.1.14|MetaCyc: PWY-5041|MetaCyc: PWY-6151|MetaCyc: PWY-6936|MetaCyc: PWY-702	PF08267;PF01717	SSF51726	G3DSA:3.20.20.210	NA	cd03311;cd03312	NA	NA	NA	TIGR01371	MF_00172	Coil	PIRSF000382	NA
KAF3065497.1	NA	IPR013785	GO:0003824;GO:0010181;GO:0016491;GO:0055114	NA	PF00724	SSF51395	G3DSA:3.20.20.70	NA	cd02933	NA	NA	NA	NA	NA	NA	NA	NA
KAF3074517.1	NA	IPR036663	GO:0003824	NA	PF01557	SSF56529	G3DSA:3.90.850.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
