Gene	MobiDBLite	interpro	GO	PATHWAY	Pfam	SUPERFAMILY	TIGRFAM	ProSitePatterns	Gene3D	ProSiteProfiles	Coils	CDD	SMART	PRINTS	Hamap	PIRSF	SFLD
EHK46138.1	NA	IPR008030		Reactome: R-HSA-70635	PF05368	SSF51735	NA	NA	G3DSA:3.40.50.720;G3DSA:3.90.25.10	NA	NA	cd05259	NA	NA	NA	NA	NA
EHK39342.1	mobidb-lite	IPR036318	GO:0050660;GO:0009116;GO:0071949;GO:0004631;GO:0005737;GO:0006695;GO:0016491;GO:0055114	KEGG: 00900+2.7.4.2|MetaCyc: PWY-7391|MetaCyc: PWY-922|Reactome: R-HSA-191273|Reactome: R-HSA-2426168	PF00156;PF04275;PF01565	SSF56176;SSF53335;SSF53271	NA	NA	G3DSA:3.40.50.300;G3DSA:3.40.462.20;G3DSA:3.40.50.150;G3DSA:3.40.50.2020;G3DSA:3.30.465.40	PS51387	NA	cd06223	NA	NA	NA	NA	NA
EHK46774.1	NA	IPR001509	GO:0003824;GO:0050662	NA	PF01370	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA
EHK44205.1	NA	IPR003378	GO:0016020;GO:0016757	NA	PF02434	NA	NA	NA	G3DSA:3.90.550.50;G3DSA:3.50.4.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK46349.1	NA	IPR014718	GO:0030246;GO:0003824;GO:0005975;GO:0016853	NA	PF01263	SSF74650	NA	NA	G3DSA:2.70.98.10	NA	NA	cd09019	NA	NA	NA	NA	NA
EHK50803.1	NA	IPR011042	NA	NA	NA	SSF63829	NA	NA	G3DSA:2.120.10.30	NA	NA	NA	NA	NA	NA	NA	NA
EHK41087.1	mobidb-lite	IPR003674	GO:0004576;GO:0006486;GO:0016020	NA	PF02516	NA	NA	NA	G3DSA:3.40.50.12610	NA	NA	NA	NA	NA	NA	NA	NA
EHK41685.1	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	SSF56112	NA	PS00108;PS00107	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PS50011	NA	cd07840	SM00220	NA	NA	PIRSF000654	NA
EHK42702.1	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF00172;PF04082	SSF57701	NA	PS00463	G3DSA:4.10.240.10	PS50048	Coil	cd12148;cd00067	SM00906;SM00066	NA	NA	NA	NA
EHK45989.1	NA	IPR019257		Reactome: R-HSA-1660662|Reactome: R-HSA-1663150	PF10017;PF03781;PF12867	SSF56436	TIGR03439	NA	G3DSA:3.40.50.150;G3DSA:3.90.1580.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK44432.1	NA	IPR000560	NA	NA	PF00328	SSF53254	NA	PS00616	G3DSA:3.40.50.1240	NA	NA	cd07061	NA	NA	NA	NA	NA
EHK50608.1	mobidb-lite	IPR007811	GO:0003677;GO:0005666;GO:0006383	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	PF05132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK43395.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK41142.1	mobidb-lite	IPR027973	NA	NA	PF15375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK51140.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK48005.1	NA	IPR004932	GO:0016021	NA	PF03248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF016013	NA
EHK42858.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK39463.1	mobidb-lite	IPR041178		Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73863	PF17875	NA	NA	NA	G3DSA:3.30.1490.120;G3DSA:2.40.50.1060	NA	NA	NA	NA	NA	NA	NA	NA
EHK50021.1	mobidb-lite	IPR013945	GO:0070072	NA	PF08636	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK44383.1	mobidb-lite	IPR024679		Reactome: R-HSA-6791226	PF12333	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK45882.1	NA	IPR029058	GO:0016787	NA	PF02230	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA
EHK49151.1	mobidb-lite	IPR002110	GO:0005515;GO:0003677	NA	PF13637;PF13606;PF04383	SSF48403;SSF54616	NA	NA	G3DSA:1.25.40.20;G3DSA:3.10.260.10	PS50088;PS50297;PS51299	NA	NA	SM01252;SM00248	NA	NA	NA	NA
EHK40811.1	mobidb-lite	IPR041715	GO:0004821;GO:0005524;GO:0006427	KEGG: 00970+6.1.1.21	PF13393;PF03129	SSF55681;SSF52954	TIGR00442	NA	G3DSA:3.40.50.800;G3DSA:3.30.930.10	PS50862	NA	cd00859;cd00773	NA	NA	MF_00127	NA	NA
EHK44706.1	NA	IPR025442	NA	NA	PF13810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47987.1	mobidb-lite	IPR006786	NA	NA	PF04696	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK43130.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46184.1	NA	IPR029062		Reactome: R-HSA-3899300|Reactome: R-HSA-9613829|Reactome: R-HSA-9615710	PF01965	SSF52317	NA	NA	G3DSA:3.40.50.880	NA	NA	NA	NA	NA	NA	NA	NA
EHK41214.1	NA	IPR012676	GO:0005525	KEGG: 00970+6.1.1.3	PF01926;PF02824;PF16897	SSF81271;SSF52540	TIGR00231	PS00905	G3DSA:3.10.20.30;G3DSA:3.40.50.300	PS51710	NA	cd17230;cd01896	NA	PR00326	NA	NA	NA
EHK39899.1	mobidb-lite	IPR013809	NA	NA	PF01417	SSF48464	NA	NA	G3DSA:1.25.40.90	PS50942	Coil	cd16992	SM00273	NA	NA	NA	NA
EHK46479.1	mobidb-lite	IPR016024	NA	NA	PF08161	SSF48371	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK42014.1	mobidb-lite	IPR002877	GO:0008168;GO:0032259	NA	PF01728	SSF53335	NA	NA	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	NA	NA
EHK50317.1	mobidb-lite	IPR006886	GO:0005634;GO:0006351	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	PF04801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50610.1	mobidb-lite	IPR013721	NA	NA	PF08514	SSF48371	NA	NA	G3DSA:1.25.10.10	PS51425	NA	NA	NA	NA	NA	NA	NA
EHK46958.1	NA	IPR019095	GO:0003712;GO:0006357;GO:0016592	Reactome: R-HSA-1989781|Reactome: R-HSA-381340	PF09637	NA	NA	NA	G3DSA:2.40.320.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK43479.1	NA	IPR033895	GO:0003975;GO:0006487;GO:0006488;GO:0008963;GO:0016021	KEGG: 00510+2.7.8.15|Reactome: R-HSA-446193|Reactome: R-HSA-4549356	PF00953	NA	NA	NA	NA	NA	NA	cd06855	NA	NA	NA	NA	NA
EHK45381.1	NA	IPR023198	NA	NA	NA	SSF56784	NA	NA	G3DSA:1.10.150.240;G3DSA:3.40.50.1000	NA	NA	cd02603	NA	NA	NA	NA	SFLDG01129;SFLDS00003
EHK46549.1	mobidb-lite	IPR013928	GO:0006814;GO:0015385;GO:0016020;GO:0006812;GO:0015299;GO:0016021;GO:0055085	NA	PF08619;PF00999	NA	NA	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA
EHK49266.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40834.1	mobidb-lite	IPR016024	NA	NA	PF04727;PF16457;PF11841	SSF48371	NA	NA	G3DSA:2.30.29.30;G3DSA:1.10.8.920;G3DSA:1.25.10.10	PS51335	NA	NA	NA	NA	NA	NA	NA
EHK41122.1	mobidb-lite	IPR015943	GO:0005515	NA	PF00400	SSF50978	NA	PS00678	G3DSA:2.130.10.10	PS50294;PS50082	NA	NA	SM00320	NA	NA	NA	NA
EHK47609.1	NA	IPR001466	NA	NA	PF00144	SSF56601	NA	NA	G3DSA:3.40.710.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK43198.1	NA	IPR011527	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	NA	PF00005;PF00664	SSF52540;SSF90123	NA	PS00211	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	PS50929;PS50893	NA	cd03244;cd03250;cd18579;cd18580	SM00382	NA	NA	NA	NA
EHK44461.1	NA	IPR010730	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK48041.1	NA	IPR004108	NA	NA	PF02906	SSF53920	NA	NA	G3DSA:3.40.50.1780;G3DSA:3.40.950.20	NA	NA	NA	NA	NA	NA	NA	NA
EHK42372.1	NA	IPR000941	GO:0000015;GO:0000287;GO:0004634;GO:0006096	KEGG: 00010+4.2.1.11|KEGG: 00680+4.2.1.11|MetaCyc: PWY-1042|MetaCyc: PWY-1622|MetaCyc: PWY-2221|MetaCyc: PWY-5484|MetaCyc: PWY-5723|MetaCyc: PWY-6142|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-7124|MetaCyc: PWY-7218|MetaCyc: PWY-8004	PF00113;PF03952	SSF54826;SSF51604	TIGR01060	PS00164	G3DSA:3.20.20.120;G3DSA:3.30.390.10	NA	NA	cd03313	SM01192;SM01193	PR00148	MF_00318	PIRSF001400	SFLDF00002;SFLDG00178
EHK46687.1	NA	IPR019405	GO:0005515	NA	PF10282	SSF51004	NA	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK48363.1	mobidb-lite	IPR004254	GO:0016021	NA	PF03006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40429.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50105.1	mobidb-lite	IPR022024	NA	NA	PF12223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42514.1	NA	IPR013154	GO:0055114;GO:0016491;GO:0008270	Reactome: R-HSA-71384	PF08240;PF00107	SSF50129;SSF51735	NA	PS00059	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	NA	NA	SM00829	NA	NA	NA	NA
EHK46686.1	mobidb-lite	IPR013320	GO:0004553;GO:0005975;GO:0005618;GO:0016798;GO:0071555	NA	PF00722	SSF49899	NA	NA	G3DSA:2.60.120.200	PS51762	NA	cd02183	NA	NA	NA	PIRSF037299	NA
EHK45809.1	mobidb-lite	IPR023213		Reactome: R-HSA-389661	NA	SSF52777	NA	NA	G3DSA:3.30.559.10;G3DSA:3.30.559.30	NA	NA	NA	NA	NA	NA	NA	NA
EHK48055.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40674.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK43304.1	mobidb-lite	IPR000687	GO:0004674;GO:0005524;GO:0004672;GO:0006468	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-6791226	PF01163;PF09202	SSF46785;SSF56112	NA	NA	G3DSA:1.10.510.10;G3DSA:1.10.10.10;G3DSA:3.30.200.20	NA	Coil	cd05144	SM00090	NA	NA	NA	NA
EHK45106.1	mobidb-lite	IPR001387	GO:0003677	NA	PF01381;PF08523	SSF47413	NA	NA	G3DSA:1.10.260.40	PS50943	NA	cd00093	SM00530	NA	NA	NA	NA
EHK45303.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK46623.1	mobidb-lite	IPR013087	GO:0003676;GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF00096;PF04082	SSF57667	NA	PS00028	G3DSA:3.30.160.60	PS50157	NA	cd12148	SM00355	NA	NA	NA	NA
EHK45710.1	mobidb-lite	IPR013170	NA	NA	PF08312	NA	NA	NA	NA	NA	Coil	NA	SM01115	NA	NA	NA	NA
EHK47654.1	mobidb-lite	IPR029058	GO:0006508;GO:0008236	NA	PF00930;PF00326	SSF53474;SSF82171	NA	NA	G3DSA:2.140.10.30;G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA
EHK41141.1	mobidb-lite	IPR003120	GO:0003700;GO:0005634;GO:0006355;GO:0003676	NA	PF00096;PF02200	SSF57667	NA	PS00028	G3DSA:3.30.160.60	PS50157	NA	NA	SM00424;SM00355	NA	NA	NA	NA
EHK48549.1	NA	IPR006694	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	PF04116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK45158.1	mobidb-lite	IPR018564	NA	NA	PF09444	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK49479.1	mobidb-lite	IPR025202	GO:0003824	Reactome: R-HSA-1483148|Reactome: R-HSA-1483166	PF13091	SSF56024	NA	NA	G3DSA:3.30.870.10	PS50035	NA	cd00138	NA	NA	NA	NA	NA
EHK39345.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41264.1	NA	IPR025423	NA	NA	PF13664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42776.1	mobidb-lite	IPR032741	GO:0005743	NA	PF14611	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK51102.1	NA	IPR021858	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK43946.1	NA	IPR000073	NA	NA	PF12697	SSF53474	NA	NA	NA	NA	NA	cd12809	NA	NA	NA	NA	NA
EHK45879.1	mobidb-lite	IPR036249	NA	NA	PF02114	SSF52833	NA	NA	G3DSA:3.40.30.10	NA	NA	cd02988	NA	NA	NA	NA	NA
EHK46386.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK49996.1	NA	IPR022185	NA	NA	PF12505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK43569.1	NA	IPR035994	GO:0003824;GO:0009116	NA	NA	SSF53167	NA	NA	NA	NA	NA	cd09008	NA	NA	NA	NA	NA
EHK41668.1	mobidb-lite	IPR013942	GO:0003712;GO:0006357;GO:0016592	NA	PF08633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40048.1	NA	IPR004839	GO:0009058;GO:0030170;GO:0003824	NA	PF00155	SSF53383	NA	PS00105	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	cd00609	NA	NA	NA	NA	NA
EHK45488.1	NA	IPR018204	GO:0004834;GO:0006568;GO:0000162;GO:0003824	KEGG: 00260+4.2.1.20|KEGG: 00400+4.2.1.20	PF00291;PF00290	SSF53686;SSF51366	TIGR00263;TIGR00262	PS00167;PS00168	G3DSA:3.40.50.1100;G3DSA:3.20.20.70	NA	NA	cd06446;cd04724	NA	NA	MF_00133;MF_00131	NA	NA
EHK41263.1	NA	IPR036494	GO:0016817;GO:0000723;GO:0003677;GO:0003684;GO:0005634;GO:0006303;GO:0006310;GO:0042162;GO:0043564	Reactome: R-HSA-164843|Reactome: R-HSA-1834949|Reactome: R-HSA-3270619|Reactome: R-HSA-5693571|Reactome: R-HSA-6798695	PF08785;PF02735;PF03731	SSF100939;SSF53300;SSF101420	NA	NA	G3DSA:1.25.40.240;G3DSA:2.40.290.10;G3DSA:3.40.50.410;G3DSA:1.10.1600.10	NA	NA	cd00873	SM00559	NA	NA	PIRSF016570	NA
EHK43658.1	NA	IPR001310	GO:0003824	NA	PF01230	SSF54197	NA	PS00892	G3DSA:3.30.428.10	PS51084	NA	NA	NA	PR00332	NA	NA	NA
EHK49886.1	NA	IPR000073	NA	NA	PF12697	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA
EHK40056.1	NA	IPR021148	NA	NA	PF04669	NA	NA	NA	G3DSA:1.10.3560.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK42225.1	NA	IPR041447	GO:0004553;GO:0005975	KEGG: 00511+3.2.1.25|Reactome: R-HSA-6798695|Reactome: R-HSA-8853383	PF17786;PF00703;PF18368	SSF49303;SSF49785;SSF51445	NA	NA	G3DSA:3.20.20.80;G3DSA:2.60.120.260;G3DSA:2.60.40.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK46675.1	NA	IPR002347	NA	NA	PF00106	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	PR00080;PR00081	NA	NA	NA
EHK50999.1	NA	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	SSF48264	NA	PS00086	G3DSA:1.10.630.10	NA	NA	NA	NA	PR00463;PR00385	NA	NA	NA
EHK48345.1	mobidb-lite	IPR036222	GO:0000902;GO:0003779;GO:0007010	Reactome: R-HSA-428890	PF01213;PF08603	SSF101278;SSF69340	NA	PS01088	G3DSA:2.160.20.70;G3DSA:1.25.40.330	PS51329	NA	NA	SM00673	NA	NA	NA	NA
EHK49129.1	NA	IPR007817	NA	NA	PF05141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42720.1	mobidb-lite	IPR001789	GO:0000160	NA	PF00072	SSF52172	NA	NA	G3DSA:3.40.50.2300	PS50110	NA	cd00156	SM00448	NA	NA	NA	NA
EHK48168.1	mobidb-lite	IPR016024	NA	NA	PF04064;PF04063	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50642.1	mobidb-lite	IPR040663	GO:0003677;GO:0003887;GO:0006260	Reactome: R-HSA-110314|Reactome: R-HSA-174411|Reactome: R-HSA-174414|Reactome: R-HSA-174417|Reactome: R-HSA-174437|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5651801|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183	PF18018;PF04042	NA	NA	NA	G3DSA:3.60.21.50;G3DSA:2.40.50.430	NA	NA	NA	NA	NA	NA	NA	NA
EHK40900.1	NA	IPR000760	GO:0046855	NA	PF00459	SSF56655	NA	PS00629	G3DSA:3.40.190.80;G3DSA:3.30.540.10	NA	NA	cd01517	NA	NA	NA	NA	NA
EHK44568.1	NA	IPR036514	NA	NA	PF13472	SSF52266	NA	NA	G3DSA:3.40.50.1110	NA	NA	cd01833	NA	NA	NA	NA	NA
EHK51099.1	NA	IPR024607	GO:0003824;GO:0008484	NA	PF00884	SSF53649	NA	PS00149	G3DSA:3.30.1120.10;G3DSA:3.40.720.10	NA	NA	cd16025	NA	NA	NA	NA	NA
EHK42891.1	mobidb-lite	IPR017452	GO:0016021	NA	PF11710	SSF81321	NA	NA	G3DSA:1.20.1070.10	PS50262	NA	cd00637	NA	NA	NA	NA	NA
EHK43839.1	NA	IPR041698	NA	NA	PF13649	SSF53335	NA	NA	G3DSA:3.40.50.150	NA	NA	cd02440	NA	NA	NA	NA	NA
EHK51123.1	NA	IPR027443	GO:0016491;GO:0055114	NA	PF03171;PF14226	SSF51197	NA	NA	G3DSA:2.60.120.330	PS51471	NA	NA	NA	NA	NA	NA	NA
EHK43449.1	mobidb-lite	IPR013087	GO:0003676	NA	NA	SSF101447	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40224.1	NA	IPR001114	GO:0004019;GO:0005525;GO:0006164	KEGG: 00230+6.3.4.4|KEGG: 00250+6.3.4.4|MetaCyc: PWY-7219|Reactome: R-HSA-73817	PF00709	SSF52540	TIGR00184	PS01266	G3DSA:1.10.300.10;G3DSA:3.40.440.10;G3DSA:3.90.170.10	NA	NA	cd03108	SM00788	NA	MF_00011	NA	NA
EHK43879.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK39361.1	NA	IPR002347	NA	NA	PF00106	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	NA	cd05233	SM00822	PR00081	NA	NA	NA
EHK42639.1	mobidb-lite	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PF00172	SSF57701	NA	PS00463	G3DSA:4.10.240.10	PS50048	NA	cd00067	SM00066	NA	NA	NA	NA
EHK46867.1	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	PF04082	NA	NA	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA
EHK47880.1	NA	IPR009939	GO:0016977	KEGG: 00520+3.2.1.132	PF07335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40587.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK40242.1	NA	IPR036259	NA	NA	NA	SSF103473	NA	NA	G3DSA:1.20.1250.20	NA	NA	cd17330	NA	NA	NA	NA	NA
EHK42263.1	NA	IPR029052	GO:0016787	NA	PF00149	SSF56300	NA	NA	G3DSA:3.60.21.10	NA	NA	cd07379	NA	NA	NA	NA	NA
EHK49155.1	NA	IPR036259	NA	NA	NA	SSF103473	NA	NA	G3DSA:1.20.1250.20	PS50850	NA	cd17333	NA	NA	NA	NA	NA
EHK50463.1	NA	IPR029032		Reactome: R-HSA-5628897	NA	SSF69118	NA	NA	G3DSA:1.20.1290.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK45458.1	NA	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	SSF48264	NA	PS00086	G3DSA:1.10.630.10	NA	NA	NA	NA	PR00385;PR00463	NA	NA	NA
EHK40465.1	mobidb-lite	IPR018791		Reactome: R-HSA-1632852	PF10186	NA	NA	NA	NA	NA	Coil	cd06503	NA	NA	NA	NA	NA
EHK44909.1	NA	IPR016181	GO:0008080	NA	NA	SSF55729	NA	NA	G3DSA:3.40.630.30	PS51186	NA	NA	NA	NA	NA	NA	NA
EHK47228.1	NA	IPR029058	NA	NA	PF00561	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA
EHK40298.1	mobidb-lite	IPR001841	GO:0005515	NA	PF13445;PF10607	SSF57850	NA	NA	G3DSA:3.30.40.10	PS50897;PS51867;PS50896	NA	cd16652	SM00184;SM00757;SM00668	NA	NA	NA	NA
EHK51087.1	NA	IPR007867	GO:0016614;GO:0055114;GO:0050660	Reactome: R-HSA-6798163	PF05199;PF00732	SSF54373;SSF51905	NA	PS00624	G3DSA:3.50.50.60;G3DSA:3.30.560.10	NA	NA	NA	NA	NA	NA	PIRSF000137	NA
EHK41802.1	mobidb-lite	IPR000426	GO:0004175;GO:0006511;GO:0019773;GO:0004298;GO:0005839;GO:0051603	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PF00227;PF10584	SSF56235	NA	PS00388	G3DSA:3.60.20.10	PS51475	NA	cd03749	SM00948	NA	NA	NA	NA
EHK40460.1	mobidb-lite	IPR027417	GO:0005524	NA	PF00004	SSF52540	NA	NA	G3DSA:3.40.50.300	NA	NA	cd00009	SM00382	NA	NA	NA	NA
EHK42994.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK45609.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK40199.1	NA	IPR017853	GO:0004553	NA	PF14587	SSF51445	NA	NA	G3DSA:3.20.20.80	NA	NA	NA	NA	NA	NA	NA	NA
EHK48326.1	NA	IPR018955	GO:0016310;GO:0016772	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	PF10436;PF02518	SSF69012;SSF55874	NA	NA	G3DSA:1.20.140.20	PS50109	NA	cd16929	SM00387	PR00344	NA	NA	NA
EHK50172.1	NA	IPR011701	GO:0055085	NA	PF07690	SSF103473	NA	NA	G3DSA:1.20.1250.20	PS50850	NA	cd17476	NA	NA	NA	NA	NA
EHK47545.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK48113.1	mobidb-lite	IPR000340	GO:0008138;GO:0016311;GO:0016791;GO:0004725;GO:0006470	NA	PF00782;PF14671	SSF52799	NA	PS00383	G3DSA:3.90.190.10	PS50056	NA	cd17657;cd14499	SM00195;SM00404	NA	NA	NA	NA
EHK39889.1	NA	IPR019465	GO:0006891;GO:0017119	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	PF10392	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK46135.1	NA	IPR036663	GO:0003824	NA	PF01557	SSF56529	NA	NA	G3DSA:3.90.850.10	NA	NA	NA	NA	NA	NA	NA	NA
