Gene	MobiDBLite	CDD	interpro	GO	Pfam	SMART	PATHWAY	Gene3D	ProSiteProfiles	SUPERFAMILY	ProSitePatterns	Coils	PIRSF	PRINTS	TIGRFAM	SFLD	Hamap
OTA08569.1	NA	NA	IPR008162	GO:0000287;GO:0004427;GO:0005737;GO:0006796	PF00719	NA	KEGG: 00190+3.6.1.1|MetaCyc: PWY-7805|MetaCyc: PWY-7807|Reactome: R-HSA-71737	G3DSA:3.90.80.10	NA	SSF50324	PS00387	NA	NA	NA	NA	NA	NA
OTA06035.1	NA	cd03285	IPR007695	GO:0005524;GO:0006298;GO:0030983	PF01624;PF05192;PF05188;PF00488;PF05190	SM00534;SM00533	Reactome: R-HSA-5632928	G3DSA:3.40.50.300;G3DSA:1.10.1420.10;G3DSA:3.40.1170.10;G3DSA:3.30.420.110	NA	SSF53150;SSF52540;SSF48334	PS00486	Coil	PIRSF005813	NA	NA	NA	NA
OTA03035.1	NA	NA	IPR002123	GO:0016746	NA	SM00563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00517.1	NA	cd07489	IPR023827	GO:0004252;GO:0006508;GO:0005618;GO:0016020	PF06280;PF00082	NA	NA	G3DSA:2.60.40.10;G3DSA:3.40.50.200	NA	SSF52743	PS00136;PS00138;PS00137	NA	NA	PR00723	NA	NA	NA
OTA05472.1	mobidb-lite	NA	IPR001876	GO:0003676	PF01585;PF00641	SM00443;SM00547	NA	G3DSA:4.10.1060.10	PS50199;PS50174	NA	PS00028;PS01358	NA	NA	NA	NA	NA	NA
OTA00490.1	mobidb-lite	cd00009	IPR003593	GO:0004176;GO:0004252;GO:0006508;GO:0006515;GO:0005524	PF02190;PF05362;PF00004	SM00382;SM00464	Reactome: R-HSA-390471|Reactome: R-HSA-9033241	G3DSA:1.10.8.60;G3DSA:2.30.130.40;G3DSA:1.20.58.1480;G3DSA:3.30.230.10	PS51786;PS51787	SSF54211;SSF88697;SSF52540	NA	Coil	PIRSF001174	PR00830	NA	NA	MF_03121
OTA04249.1	mobidb-lite	NA	IPR007718	NA	PF05022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02217.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA00757.1	NA	cd00610	IPR005814	GO:0008483;GO:0030170;GO:0003867;GO:0009448;GO:0003824	PF00202	NA	KEGG: 00250+2.6.1.19|KEGG: 00410+2.6.1.19|KEGG: 00640+2.6.1.19|KEGG: 00650+2.6.1.19|MetaCyc: PWY-4321|MetaCyc: PWY-5022|MetaCyc: PWY-6535|MetaCyc: PWY-6536|MetaCyc: PWY-6537|Reactome: R-HSA-916853	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	SSF53383	PS00600	NA	PIRSF000521	NA	TIGR00699	NA	NA
OTA03409.1	NA	cd02660	IPR001394	GO:0016579;GO:0036459;GO:0008270;GO:0006511	PF00443	NA	NA	G3DSA:3.30.40.10;G3DSA:3.90.70.10	PS50271;PS50235	SSF54001;SSF57850	PS00973	NA	NA	NA	NA	NA	NA
OTA01960.1	mobidb-lite	cd00009	IPR027417	GO:0006270;GO:0051301	PF13191;PF17872;PF09079	SM00382	Reactome: R-HSA-1362277|Reactome: R-HSA-176187|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69017|Reactome: R-HSA-69205	G3DSA:1.10.8.60;G3DSA:1.10.10.10;G3DSA:3.40.50.300	NA	SSF52540	NA	NA	PIRSF001767	NA	NA	NA	NA
OTA02424.1	NA	cd05233	IPR002347	NA	PF00106	SM00822	NA	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	PR00081	NA	NA	NA
OTA03666.1	mobidb-lite	cd11385	IPR006762	GO:0005525	PF04670	NA	Reactome: R-HSA-1632852|Reactome: R-HSA-165159|Reactome: R-HSA-166208|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-8943724|Reactome: R-HSA-9639288	G3DSA:3.30.450.190;G3DSA:3.40.50.300	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA
OTA08136.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05514.1	mobidb-lite	cd00067;cd12148	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF00172;PF04082	SM00066	NA	G3DSA:4.10.240.10	PS50048	SSF57701	PS00463	NA	NA	PR00755	NA	NA	NA
OTA06954.1	mobidb-lite	NA	IPR001382	GO:0004571;GO:0005509;GO:0016020;GO:0003824	PF01532	NA	NA	G3DSA:1.50.10.10	NA	SSF48225	NA	NA	NA	PR00747	NA	NA	NA
OTA02525.1	NA	NA	IPR008979	NA	NA	NA	NA	G3DSA:2.60.120.260	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03603.1	NA	cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01946.1	mobidb-lite	cd07589;cd00160	IPR000219	GO:0005085	PF00621	SM00325	NA	G3DSA:1.20.900.10;G3DSA:1.20.1270.60	PS50010	SSF103657;SSF48065	NA	Coil	NA	NA	NA	NA	NA
OTA08726.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA01320.1	mobidb-lite	cd03684;cd04591	IPR001807	GO:0005247;GO:0006821;GO:0016020;GO:0055085	PF00654	NA	Reactome: R-HSA-2672351	G3DSA:3.90.1280.20;G3DSA:3.10.580.20;G3DSA:1.10.3080.10	NA	SSF81340;SSF54631	NA	NA	NA	PR00762	NA	NA	NA
OTA05872.1	mobidb-lite	cd03524	IPR018856	NA	PF10451	NA	NA	G3DSA:2.40.50.140	NA	SSF50249	NA	Coil	NA	NA	NA	NA	NA
OTA01641.1	mobidb-lite	cd12372	IPR012677	GO:0003676	NA	SM00360	NA	G3DSA:3.30.70.330	PS50102	SSF54928	NA	NA	NA	NA	NA	NA	NA
OTA06592.1	mobidb-lite	cd00067	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	SM00066	NA	G3DSA:4.10.240.10	PS50048	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
OTA01563.1	NA	cd00012	IPR004001	NA	PF00022	SM00268	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.10	NA	SSF53067	PS00432;PS01132;PS00406	NA	NA	PR00190	NA	NA	NA
OTA02584.1	mobidb-lite	NA	IPR006693	GO:0006629	PF04083	NA	Reactome: R-HSA-6809371	G3DSA:3.40.50.1820	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
OTA06188.1	mobidb-lite	cd12909	IPR035782	GO:0005515	PF08513;PF00622;PF10607	SM00449;SM00667;SM00668;SM00757	Reactome: R-HSA-8851805	G3DSA:2.60.120.920	PS50897;PS50896;PS50188	SSF49899	NA	NA	NA	NA	NA	NA	NA
OTA04149.1	NA	cd05913	IPR042099	NA	NA	NA	NA	G3DSA:3.40.50.12780	NA	SSF56801	NA	NA	NA	NA	NA	NA	NA
OTA07314.1	NA	cd01833	IPR036514	NA	PF13472	NA	NA	G3DSA:3.40.50.1110	NA	SSF52266	NA	NA	NA	NA	NA	NA	NA
OTA06988.1	NA	cd01868	IPR027417	GO:0003924;GO:0005525	PF00071	SM00173;SM00175;SM00174;SM00176	NA	G3DSA:3.40.50.300	PS51419	SSF52540	NA	NA	NA	PR00449	TIGR00231	NA	NA
OTA07700.1	NA	cd02537	IPR029044	GO:0016757	PF01501	NA	NA	G3DSA:3.90.550.10	NA	SSF53448	NA	NA	NA	NA	NA	NA	NA
OTA06021.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04911.1	mobidb-lite	NA	IPR007034	GO:0005634;GO:0042254	PF04950;PF08142	SM00785;SM01362	Reactome: R-HSA-6791226	NA	PS51714	NA	NA	NA	NA	NA	NA	NA	NA
OTA04482.1	NA	cd05325	IPR036291	GO:0016491	PF00106	NA	NA	G3DSA:3.40.50.720	NA	SSF51735	PS00061	NA	NA	PR00081	NA	NA	NA
OTA01105.1	mobidb-lite	NA	IPR012292	GO:0019825;GO:0020037	PF11563	NA	NA	G3DSA:1.10.490.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08554.1	NA	cd11008	IPR001384	GO:0004222;GO:0006508;GO:0008237	PF02102	NA	NA	G3DSA:2.60.40.2970;G3DSA:3.40.390.10	NA	SSF55486	NA	NA	NA	PR00768	NA	NA	NA
OTA02767.1	NA	cd00717	IPR000257	GO:0004853;GO:0006779	PF01208	NA	KEGG: 00860+4.1.1.37|MetaCyc: PWY-5531|MetaCyc: PWY-7159|MetaCyc: PWY-7766|Reactome: R-HSA-189451	G3DSA:3.20.20.210	NA	SSF51726	PS00906;PS00907	NA	NA	NA	TIGR01464	NA	MF_00218
OTA06372.1	mobidb-lite	NA	IPR021894	GO:0005515	PF12014;PF12937	SM00256	NA	G3DSA:1.20.1280.50	PS50181	SSF81383	NA	NA	NA	NA	NA	NA	NA
OTA05108.1	NA	NA	IPR029070	GO:0005975	PF00704	NA	NA	G3DSA:3.10.50.10;G3DSA:3.20.20.80	NA	SSF54556;SSF51445	NA	NA	NA	NA	NA	NA	NA
OTA03270.1	mobidb-lite	NA	IPR010036	GO:0016791	PF12689	NA	NA	NA	NA	SSF56784	NA	NA	NA	NA	TIGR01685;TIGR01681	SFLDG01129;SFLDG01131	NA
OTA06551.1	NA	NA	IPR022036	NA	PF12239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05464.1	NA	NA	IPR001494	GO:0006886;GO:0008536	PF03810;PF13513	SM00913	NA	G3DSA:1.25.10.10	PS50166;PS50077	SSF48371	NA	NA	NA	NA	NA	NA	NA
OTA07662.1	NA	NA	IPR016024		PF12612	NA	Reactome: R-HSA-389977	NA	NA	SSF48371	NA	Coil	NA	NA	NA	NA	NA
OSZ99978.1	NA	cd14792	IPR002241	GO:0004553;GO:0005975;GO:0003824	PF17801;PF16499	NA	KEGG: 00052+3.2.1.22|KEGG: 00561+3.2.1.22|KEGG: 00600+3.2.1.22|KEGG: 00603+3.2.1.22|MetaCyc: PWY-6527	G3DSA:3.20.20.70;G3DSA:2.60.40.1180	NA	SSF51445;SSF51011	PS00512	NA	NA	PR00740	NA	NA	NA
OTA07397.1	mobidb-lite	NA	IPR023398	GO:0003723;GO:0003743;GO:0006413	PF01652	NA	NA	G3DSA:3.30.760.10	NA	SSF55418	NA	NA	NA	NA	NA	NA	NA
OTA08429.1	mobidb-lite	cd17352	IPR011701	GO:0055085	PF07690	NA	NA	G3DSA:1.20.1250.20	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA02932.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00892.1	mobidb-lite	NA	IPR005599	GO:0016757	PF03901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01304.1	mobidb-lite	NA	IPR020683	GO:0005515	PF12796;PF00023	SM00248	NA	G3DSA:1.25.40.20	PS50297;PS50088	SSF48403	NA	Coil	NA	PR01415	NA	NA	NA
OTA04702.1	mobidb-lite	NA	IPR014844	NA	PF08733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08288.1	NA	NA	IPR032477		PF16483	NA	KEGG: 00500+3.2.1.39	G3DSA:3.30.920.50;G3DSA:2.60.110.10	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08438.1	mobidb-lite	NA	IPR007204	GO:0005856;GO:0005885;GO:0030833;GO:0034314	PF04062	NA	Reactome: R-HSA-2029482|Reactome: R-HSA-3928662|Reactome: R-HSA-5663213|Reactome: R-HSA-8856828	G3DSA:1.10.1760.10	NA	SSF69060	NA	NA	PIRSF016315	NA	NA	NA	NA
OTA07388.1	mobidb-lite	NA	IPR019434	NA	PF10338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01371.1	NA	cd04105	IPR019009		PF09439	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-381038	G3DSA:3.40.50.300	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA
OTA05746.1	mobidb-lite	NA	IPR000504	GO:0003676	PF00076	SM00360	NA	G3DSA:3.30.70.330	PS50102	SSF54928	NA	NA	NA	NA	NA	NA	NA
OSZ99858.1	NA	cd04301	IPR016181	GO:0008080	PF00583;PF18014	NA	NA	G3DSA:3.40.630.30	PS51186	SSF55729	NA	NA	NA	NA	NA	NA	NA
OTA02172.1	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.30.70.1730	NA	SSF160369	NA	NA	NA	NA	NA	NA	NA
OTA06676.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06835.1	NA	NA	NA	NA	PF13398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07009.1	NA	cd00336	IPR001063	GO:0003735;GO:0005840;GO:0006412;GO:0015934	PF00237	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	G3DSA:3.90.470.10	NA	SSF54843	PS00464	NA	NA	NA	TIGR01038	NA	NA
OTA00093.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07544.1	mobidb-lite	cd00293	IPR006016	NA	PF00582	NA	NA	NA	NA	SSF52402	NA	NA	NA	PR01438	NA	NA	NA
OTA01074.1	NA	cd17327	IPR011701	GO:0055085	PF07690	NA	NA	G3DSA:1.20.1250.20	PS50850	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA04823.1	NA	NA	IPR003953	GO:0016491;GO:0055114;GO:0006099;GO:0016627;GO:0050660;GO:0022900	PF00890;PF02910	NA	Reactome: R-HSA-611105|Reactome: R-HSA-71403	G3DSA:3.50.50.60;G3DSA:4.10.80.40;G3DSA:3.90.700.10;G3DSA:1.20.58.100	NA	SSF51905;SSF56425;SSF46977	PS00504	NA	PIRSF000171	NA	TIGR01816;TIGR01812	NA	NA
OTA05482.1	mobidb-lite	NA	IPR035213	NA	PF17254	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA05380.1	NA	cd00200	IPR001680	GO:0005515	PF00400	SM00320	NA	G3DSA:2.130.10.10	PS50082;PS50294	SSF50978	PS00678	NA	NA	PR00320	NA	NA	NA
OTA03730.1	mobidb-lite	NA	IPR014756	NA	NA	NA	NA	G3DSA:2.60.40.10	NA	SSF81296	NA	NA	NA	NA	NA	NA	NA
OTA07551.1	mobidb-lite	NA	IPR036388	GO:0000814;GO:0071985	PF05871	NA	Reactome: R-HSA-917729	G3DSA:1.10.10.10;G3DSA:1.10.10.570	NA	SSF46785	NA	NA	NA	NA	NA	NA	NA
OTA01140.1	NA	cd08283	IPR036291	GO:0008270;GO:0016491;GO:0055114	PF13823;PF08240	NA	Reactome: R-HSA-71384	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	SSF51735;SSF50129	PS00059	NA	NA	NA	NA	NA	NA
OTA04219.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA03208.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SSF81995	NA	NA	NA	NA	NA	NA	NA
OTA08791.1	NA	cd07394	IPR028661	GO:0030904;GO:0042147	PF12850	NA	Reactome: R-HSA-3238698	G3DSA:3.60.21.10	NA	SSF56300	NA	NA	NA	NA	TIGR00040	NA	NA
OTA08603.1	NA	cd06097	IPR033121	GO:0004190;GO:0006508	PF00026	NA	NA	G3DSA:2.40.70.10	PS51767	SSF50630	PS00141	NA	NA	PR00792	NA	NA	NA
OTA02134.1	NA	cd14824;cd15867	IPR010908	GO:0016021;GO:0016192	PF13774;PF00957	SM01270	Reactome: R-HSA-204005	G3DSA:3.30.450.50;G3DSA:1.20.5.110	PS50859;PS50892	SSF64356;SSF58038	NA	NA	NA	PR00219	NA	NA	NA
OTA05798.1	NA	NA	IPR014908		PF08801;PF03177	NA	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5619107|Reactome: R-HSA-6784531	G3DSA:1.25.40.440;G3DSA:1.20.58.1780;G3DSA:1.25.40.450;G3DSA:1.20.120.1880	NA	SSF50969	NA	Coil	NA	NA	NA	NA	NA
OTA08841.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06555.1	mobidb-lite	NA	IPR008967	GO:0003700;GO:0006355;GO:0003677	PF05224	NA	NA	G3DSA:2.60.40.1390	PS51517	SSF49417	NA	NA	NA	NA	NA	NA	NA
OTA07715.1	NA	NA	IPR000612	GO:0016021	PF01679	NA	NA	NA	NA	NA	PS01309	NA	NA	NA	NA	NA	NA
OTA08079.1	mobidb-lite	cd01897	IPR006073	GO:0005525;GO:0005730	PF08155;PF06858;PF17835	NA	NA	G3DSA:1.20.120.1190;G3DSA:3.40.50.300	PS51710	SSF52540	NA	Coil	PIRSF038919	PR00326	NA	NA	NA
OTA01012.1	mobidb-lite	cd00009	IPR008269	GO:0004176;GO:0004252;GO:0006508;GO:0005524;GO:0006515	PF05362;PF00004;PF02190	SM00464;SM00382	NA	G3DSA:2.30.130.40;G3DSA:3.30.230.10;G3DSA:1.10.8.60;G3DSA:3.40.50.300;G3DSA:1.20.58.1480	PS51787;PS51786	SSF54211;SSF88697;SSF52540	PS01046	Coil	NA	PR00830	TIGR00763	NA	MF_03120
OTA05197.1	NA	cd05233	IPR002347	NA	PF00106	NA	NA	G3DSA:3.40.50.720	NA	SSF51735	NA	NA	NA	PR00081;PR00080	NA	NA	NA
OTA04571.1	mobidb-lite	cd17300;cd03334	IPR027409	GO:0016307;GO:0046488;GO:0046872;GO:0005524	PF01504;PF01363;PF00118	SM00330;SM00064	NA	G3DSA:3.50.7.10;G3DSA:3.30.40.10;G3DSA:3.30.800.10;G3DSA:1.20.58.1870	PS51455;PS50178	SSF56104;SSF57903;SSF52029	NA	Coil	NA	NA	NA	NA	NA
OTA00845.1	mobidb-lite	NA	IPR037231	GO:0005634;GO:0006334	PF00956	NA	NA	G3DSA:3.30.1120.90	NA	SSF143113	NA	Coil	NA	NA	NA	NA	NA
OTA07653.1	mobidb-lite	NA	IPR013087	GO:0003676	PF00096	SM00355	NA	G3DSA:3.30.160.60	PS50157	SSF57667	PS00028	NA	NA	NA	NA	NA	NA
OTA01988.1	mobidb-lite	cd07978	IPR009072	GO:0046982;GO:0006366	PF02269	NA	NA	NA	NA	SSF47113	NA	NA	NA	NA	NA	NA	NA
OTA02789.1	NA	cd00877	IPR001806	GO:0003924;GO:0005525;GO:0006913	PF00071	SM00176;SM00173;SM00174;SM00175	Reactome: R-HSA-165054|Reactome: R-HSA-1655829|Reactome: R-HSA-168333|Reactome: R-HSA-180746|Reactome: R-HSA-203927|Reactome: R-HSA-5578749|Reactome: R-HSA-6784531	G3DSA:3.40.50.300	PS51418	SSF52540	NA	NA	NA	PR00627	TIGR00231	NA	NA
OTA00247.1	NA	cd00577	IPR000730	GO:0003677;GO:0006275;GO:0030337	PF02747;PF00705	NA	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-1362277|Reactome: R-HSA-174411|Reactome: R-HSA-174414|Reactome: R-HSA-174417|Reactome: R-HSA-174437|Reactome: R-HSA-4615885|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6804114|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183|Reactome: R-HSA-69205|Reactome: R-HSA-8866654	G3DSA:3.10.150.10;G3DSA:3.10.150.20	NA	SSF55979	PS01251;PS00293	NA	NA	PR00339	TIGR00590	NA	MF_00317
OTA04491.1	NA	NA	IPR012942	NA	PF07985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01752.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03189.1	mobidb-lite	cd06891	IPR015404	GO:0035091;GO:0015031;GO:0030904;GO:0042147	PF09325;PF00787	SM00312	NA	G3DSA:1.20.1270.60;G3DSA:3.30.1520.10	NA	SSF64268	NA	Coil	PIRSF011791	NA	NA	NA	NA
OTA08882.1	NA	NA	IPR023509	GO:0002161;GO:0005737;GO:0051499	PF02580	NA	NA	G3DSA:3.50.80.10	NA	SSF69500	NA	NA	NA	NA	TIGR00256	NA	NA
OTA02344.1	mobidb-lite	cd02181	IPR000757	GO:0004553;GO:0005975	PF00722	NA	NA	G3DSA:2.60.120.200	PS51762	SSF49899	NA	NA	NA	NA	NA	NA	NA
OTA03548.1	NA	NA	IPR002293	GO:0016020;GO:0022857;GO:0055085	PF13520	NA	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	PIRSF006060	NA	NA	NA	NA
OTA00889.1	mobidb-lite	NA	IPR011009	NA	NA	NA	NA	NA	NA	SSF56112	NA	Coil	NA	NA	NA	NA	NA
OTA05219.1	NA	cd00570;cd00299	IPR036282	GO:0005515	PF13417;PF00043	NA	NA	G3DSA:3.40.30.110	PS50405;PS50404	SSF47616;SSF52833	NA	Coil	NA	NA	NA	NA	NA
OTA03136.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA06815.1	mobidb-lite	cd17758	IPR041562	GO:0003677;GO:0003678;GO:0005524;GO:0006270;GO:0042555;GO:0006260	PF17855;PF00493;PF17207;PF14551	SM00382;SM00350	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69052	G3DSA:3.40.50.300;G3DSA:2.20.28.10;G3DSA:2.40.50.140	PS50051	SSF50249;SSF52540	PS00847	NA	NA	PR01663;PR01657	NA	NA	NA
OTA05249.1	NA	NA	IPR015168	NA	PF09084	NA	NA	G3DSA:3.40.190.10	NA	SSF53850	NA	NA	NA	NA	NA	NA	NA
OTA05899.1	NA	NA	IPR007248	GO:0016021	PF04117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07415.1	mobidb-lite	cd05123	IPR000961	GO:0004674;GO:0005524;GO:0006468;GO:0004672	PF00069;PF00433	SM00133;SM00220	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	PS51285;PS50011	SSF56112	PS00108	NA	NA	NA	NA	NA	NA
OTA06229.1	NA	cd01862	IPR001806	GO:0003924;GO:0005525	PF00071	SM00175;SM00173;SM00176;SM00174	NA	G3DSA:3.40.50.300	PS51419	SSF52540	NA	NA	NA	PR00449	TIGR00231	NA	NA
OTA07376.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05413.1	mobidb-lite	cd15466	IPR033646	GO:0048312;GO:0005515	PF13374;PF12807;PF15044;PF13424;PF13236	NA	NA	G3DSA:1.25.40.10	PS51823;PS50293;PS50005	SSF48452;SSF103107	NA	Coil	NA	NA	NA	NA	MF_03013
OTA04410.1	mobidb-lite	NA	IPR000571	GO:0046872	NA	NA	NA	NA	PS50103	NA	NA	Coil	NA	NA	NA	NA	NA
OTA00312.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03234.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04550.1	mobidb-lite	cd00067;cd12148	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	PF04082;PF00172	SM00066;SM00906	NA	G3DSA:4.10.240.10	PS50048	SSF57701	NA	Coil	NA	NA	NA	NA	NA
OTA05604.1	NA	cd05674	IPR036264	GO:0004181;GO:0006508;GO:0008237;GO:0016787	PF01546;PF07687	NA	NA	G3DSA:3.40.630.10	NA	SSF55031;SSF53187	PS00758	NA	PIRSF037217	NA	NA	NA	NA
OTA03435.1	mobidb-lite	NA	IPR022257	GO:0016020	PF12621;PF02714;PF14703;PF13967	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA02306.1	mobidb-lite	cd00093	IPR010982	GO:0003677	PF01381;PF08523	SM00530	NA	G3DSA:1.10.260.40	PS50943	SSF47413	NA	NA	NA	NA	NA	NA	NA
OTA03464.1	mobidb-lite	cd00051	IPR002048	GO:0005509	PF13499	SM00054	NA	G3DSA:1.10.238.10	PS50222	SSF47473	PS00018	NA	NA	NA	NA	NA	NA
OTA05414.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA00723.1	NA	NA	IPR039470	NA	PF15891	NA	NA	G3DSA:3.40.50.450	NA	SSF52309	NA	NA	NA	NA	NA	NA	NA
OTA02931.1	NA	NA	IPR015168	NA	PF09084	NA	NA	G3DSA:3.40.190.10	NA	SSF53850	NA	NA	NA	NA	NA	NA	NA
OTA05230.1	NA	NA	IPR014718	GO:0030246;GO:0003824	PF07971;PF17678	NA	NA	G3DSA:2.70.98.10;G3DSA:3.30.2080.10;G3DSA:1.20.1610.10;G3DSA:1.20.1050.60	NA	SSF48208	NA	NA	NA	NA	TIGR01180	NA	NA
