Gene	interpro	GO	SUPERFAMILY	SMART	MobiDBLite	Gene3D	ProSiteProfiles	Pfam	PATHWAY	ProSitePatterns	PRINTS	CDD	PIRSF	Coils	TIGRFAM	Hamap	SFLD
KKO97794.1	IPR003604	GO:0003676;GO:0008270;GO:0005634	SSF57667	SM00451;SM00355	mobidb-lite	G3DSA:3.30.160.60	PS50171	PF16837;PF12171;PF12108;PF11931	Reactome: R-HSA-72163	PS00028	NA	NA	NA	NA	NA	NA	NA
KKO98837.1	IPR009991	GO:0005869;GO:0061640	NA	NA	NA	NA	NA	PF07426	Reactome: R-HSA-2132295|Reactome: R-HSA-2565942|Reactome: R-HSA-3371497|Reactome: R-HSA-380259|Reactome: R-HSA-380270|Reactome: R-HSA-380284|Reactome: R-HSA-380320|Reactome: R-HSA-5620912|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436|Reactome: R-HSA-8854518	NA	NA	NA	NA	Coil	NA	NA	NA
KKP03099.1	IPR039535	NA	NA	NA	mobidb-lite	NA	NA	PF14269	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06050.1	IPR036612	GO:0003723;GO:0003676	SSF54791	SM00322	mobidb-lite	G3DSA:3.30.1370.10	PS50084	PF00013	NA	NA	NA	cd02394;cd00105	NA	Coil	NA	NA	NA
KKP06947.1	IPR001849	NA	SSF50729	SM00233	mobidb-lite	G3DSA:2.30.29.30;G3DSA:1.20.1270.60	PS50003	NA	NA	NA	NA	cd13311	NA	NA	NA	NA	NA
KKO96818.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO96883.1	IPR032805	NA	NA	NA	NA	NA	NA	PF13813	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98582.1	IPR027443	NA	SSF51197	NA	NA	G3DSA:2.60.120.330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99921.1	IPR011042	NA	SSF63829	NA	NA	G3DSA:2.120.10.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP00140.1	IPR001199	GO:0042128;GO:0016491;GO:0055114;GO:0020037;GO:0030151	SSF52343;SSF56524;SSF63380;SSF55856;SSF81296	SM01117	mobidb-lite	G3DSA:3.90.420.10;G3DSA:2.40.30.10;G3DSA:2.60.40.650;G3DSA:3.40.50.80;G3DSA:3.10.120.10	PS50255;PS51384	PF00970;PF00174;PF00175;PF03404;PF00173	Reactome: R-HSA-1237044	PS00191	PR00371;PR00407;PR00406;PR00363	cd06183	NA	NA	NA	NA	NA
KKP03298.1	IPR035985	GO:0008641	SSF69572	NA	NA	G3DSA:3.40.50.720	NA	PF00899	NA	NA	NA	cd00755	NA	NA	NA	NA	NA
KKP07303.1	IPR000639	GO:0003824	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	PF12697	NA	NA	PR00412	NA	NA	NA	NA	NA	NA
KKP02388.1	IPR039261	GO:0016491;GO:0055114	SSF52343	NA	mobidb-lite	G3DSA:3.40.50.80	PS51384;PS51257	PF08022;PF01794;PF08030	NA	NA	NA	cd06186	NA	NA	NA	NA	SFLDG01168;SFLDS00052
KKP05760.1	IPR000254	GO:0005576;GO:0005975;GO:0030248	SSF57180	SM00236	mobidb-lite	G3DSA:2.70.50.70	PS51164	PF00734;PF03443	KEGG: 00500+3.2.1.4|MetaCyc: PWY-6788	PS00562	NA	NA	NA	NA	NA	NA	NA
KKO99963.1	IPR036291	NA	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO96704.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP07286.1	IPR004000	NA	SSF53067	SM00268	mobidb-lite	G3DSA:3.30.420.40;G3DSA:3.90.640.10	NA	PF00022	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKO96773.1	IPR019832	GO:0004784;GO:0006801;GO:0046872;GO:0055114	SSF54719;SSF46609	NA	NA	G3DSA:2.40.500.20;G3DSA:1.10.287.990	NA	PF02777	MetaCyc: PWY-6854|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-8862803|Reactome: R-HSA-8950505|Reactome: R-HSA-9615017	NA	NA	NA	NA	NA	NA	NA	NA
KKO96603.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP01187.1	IPR029063	GO:0008168;GO:0032259	SSF53335	NA	mobidb-lite	NA	NA	PF01728	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97504.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	SM00906	mobidb-lite	NA	NA	PF04082	NA	NA	NA	cd12148	NA	NA	NA	NA	NA
KKP03396.1	IPR010730	NA	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06289.1	IPR018303	GO:0000166;GO:0016021	SSF81665;SSF81653;SSF56784;SSF81660	SM00831	mobidb-lite	G3DSA:1.20.1110.10;G3DSA:3.40.1110.10;G3DSA:2.70.150.10;G3DSA:3.40.50.1000	NA	PF00702;PF00122;PF00690;PF00689	Reactome: R-HSA-936837	PS00154	PR00119	NA	NA	NA	TIGR01494	NA	SFLDF00027;SFLDS00003
KKP06760.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	SSF56112	SM00220	mobidb-lite	G3DSA:3.30.200.20;G3DSA:1.10.510.10	PS50011	PF00069	NA	PS00107;PS00108	NA	cd05578	NA	NA	NA	NA	NA
KKP01303.1	IPR023213		NA	NA	NA	G3DSA:3.30.559.10	NA	NA	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA	NA
KKP03994.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP04156.1	IPR016864	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	PIRSF028035	NA	NA	NA	NA
KKP04406.1	IPR036249	GO:0005515	SSF52833	NA	NA	G3DSA:3.40.30.10	PS50404	PF02798	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97145.1	IPR000210	GO:0005515	SSF54695	NA	mobidb-lite	NA	PS50097	PF00651	NA	NA	NA	cd18186	NA	NA	NA	NA	NA
KKP05180.1	IPR035587	GO:0008033;GO:0017150;GO:0050660;GO:0055114;GO:0003824	SSF51395	NA	NA	G3DSA:3.20.20.70	NA	PF01207	NA	PS01136	NA	cd02801	NA	NA	NA	NA	NA
KKO96657.1	IPR003807	NA	NA	NA	mobidb-lite	NA	NA	PF02656	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06831.1	IPR018606	GO:0031047;GO:0033167	NA	NA	mobidb-lite	NA	NA	PF09692	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP06325.1	IPR001345	GO:0003824	SSF53254	SM00855	NA	G3DSA:3.40.50.1240	NA	PF00300	NA	PS00175	NA	cd07067	NA	NA	NA	NA	NA
KKP00616.1	IPR001251	NA	SSF46938;SSF52087	SM00516	mobidb-lite	G3DSA:3.40.525.10	PS50191	PF03765;PF00650	NA	NA	NA	cd00170	NA	NA	NA	NA	NA
KKO97950.1	IPR007577	NA	SSF53448	NA	NA	G3DSA:3.90.550.20	NA	PF04488	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP07129.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKO98734.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05412.1	IPR036770	GO:0005515	SSF48403	SM00248	NA	G3DSA:1.25.40.20	PS50088;PS50297	PF12796;PF00023;PF13637	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05756.1	IPR020846	GO:0016020;GO:0022857;GO:0055085;GO:0016021	SSF103473	NA	NA	G3DSA:1.20.1250.20	PS50850	PF00083	Reactome: R-HSA-189200	PS00217	PR00171	cd17356	NA	NA	TIGR00879	NA	NA
KKP00366.1	IPR001401	GO:0003924;GO:0005525	SSF52540	SM00302;SM00053	mobidb-lite	G3DSA:1.20.120.1240;G3DSA:3.40.50.300	PS51388;PS51718	PF02212;PF01031;PF00350	NA	PS00410	PR00195	cd08771	NA	NA	NA	NA	NA
KKP05069.1	IPR010730	NA	NA	NA	mobidb-lite	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01005.1	IPR002180	GO:0009231;GO:0009349;GO:0000906	SSF52121	NA	NA	G3DSA:3.40.50.960	NA	PF00885	KEGG: 00740+2.5.1.78|MetaCyc: PWY-6167|MetaCyc: PWY-6168	NA	NA	cd09209	NA	NA	TIGR00114	NA	NA
KKP00675.1	IPR036188	GO:0016491;GO:0055114	SSF51905	NA	NA	G3DSA:3.50.50.60	NA	PF07992	NA	NA	PR00469;PR00368	NA	NA	NA	NA	NA	NA
KKP07673.1	IPR029064	GO:0003735;GO:0005840;GO:0006412	SSF55315	NA	mobidb-lite	G3DSA:3.30.1330.30	NA	PF01248	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PS01189	PR00972	NA	NA	NA	NA	NA	NA
KKO97723.1	IPR000182	GO:0008080	SSF55729	NA	NA	G3DSA:3.40.630.30	PS51186	PF13302	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO98384.1	IPR012340	GO:0003723;GO:0003746;GO:0006452;GO:0043022;GO:0045901;GO:0045905	SSF50249;SSF50104	NA	mobidb-lite	G3DSA:2.40.50.140;G3DSA:2.30.30.30	NA	PF01287	NA	NA	NA	cd04469	NA	NA	NA	NA	NA
KKP01805.1	IPR011008	NA	SSF54909	NA	NA	NA	NA	PF07110	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05375.1	IPR009571	GO:0005886	NA	NA	NA	NA	NA	PF06687	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP00634.1	IPR002225	GO:0003854;GO:0006694;GO:0016616;GO:0055114	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	PF01073	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03851.1	IPR036812	NA	SSF51430	NA	NA	G3DSA:3.20.20.100	NA	PF00248	NA	NA	NA	cd06660	NA	NA	NA	NA	NA
KKP01455.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	SSF57701	SM00066	mobidb-lite	G3DSA:4.10.240.10	PS50048	PF04082;PF00172	NA	PS00463	NA	cd12148;cd00067	NA	NA	NA	NA	NA
KKP04387.1	IPR002048	GO:0005509;GO:0005515;GO:0003779	SSF47473	SM00027	mobidb-lite	G3DSA:1.10.238.10	PS50222;PS50031	PF12763;PF02205	NA	NA	NA	cd00052	NA	Coil	NA	NA	NA
KKP06388.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP07747.1	IPR005593	GO:0005975;GO:0016832;GO:0003824	SSF52518	NA	NA	G3DSA:3.40.50.920;G3DSA:3.40.50.970	NA	PF03894;PF09364;PF09363	NA	PS60003;PS60002	NA	cd02011	PIRSF017245	NA	NA	MF_01403	NA
KKP00828.1	IPR004147	NA	SSF56112	NA	NA	NA	NA	PF03109	NA	NA	NA	cd13969	NA	NA	NA	NA	NA
KKO96860.1	IPR006094	GO:0016491;GO:0050660;GO:0055114;GO:0003824;GO:0071949	SSF56176;SSF55103	NA	mobidb-lite	G3DSA:3.30.70.2740;G3DSA:3.30.465.40;G3DSA:1.10.45.10	PS51387	PF01565;PF02913	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01852.1	IPR005225	GO:0005525;GO:0006886	SSF52540	SM00178;SM00177	NA	G3DSA:3.40.50.300	PS51422	PF00025	NA	NA	PR00328	cd00879	NA	NA	TIGR00231	NA	NA
KKP07775.1	IPR014840	NA	NA	NA	mobidb-lite	NA	NA	PF08729	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06107.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKO99087.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO96922.1	IPR002935	GO:0008171	SSF53335	NA	NA	G3DSA:3.40.50.150	PS51682	PF01596	NA	NA	NA	cd02440	NA	NA	NA	NA	NA
KKP01853.1	IPR018853	NA	NA	NA	mobidb-lite	NA	NA	PF10446	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP06128.1	IPR019325	GO:0007034;GO:0030001	NA	NA	mobidb-lite	NA	NA	PF10176	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01792.1	IPR036249	GO:0005515	SSF52833;SSF47616	NA	NA	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	PS50404	PF13417	NA	NA	NA	cd03194;cd03043	NA	NA	NA	NA	SFLDS00019
KKO98746.1	IPR020843	GO:0016491;GO:0055114;GO:0008270	SSF50129;SSF51735	SM00829	NA	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	PF00107;PF08240	Reactome: R-HSA-71384	PS00059	NA	cd05283	NA	NA	NA	NA	NA
KKP03762.1	IPR014436	GO:0008270;GO:0016701;GO:0055114;GO:0006725;GO:0008198;GO:0016491	SSF53213	NA	NA	G3DSA:3.40.830.10	NA	PF02900	NA	NA	NA	cd07363	PIRSF006157	NA	NA	NA	NA
KKP00130.1	IPR000073	NA	SSF53474	NA	NA	G3DSA:3.40.50.1820	NA	PF12697	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99625.1	IPR005176		NA	NA	mobidb-lite	G3DSA:1.10.238.10;G3DSA:1.10.8.10	PS51229	PF03556;PF14555	Reactome: R-HSA-8951664	NA	NA	NA	NA	NA	NA	NA	NA
KKO96434.1	IPR005829	GO:0016021;GO:0022857;GO:0055085;GO:0016020	SSF103473	NA	NA	G3DSA:1.20.1250.20	PS50850	PF00083	Reactome: R-HSA-189200	PS00216;PS00217	PR00171	cd17356	NA	NA	TIGR00879	NA	NA
KKP04929.1	IPR016040	NA	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	PF13460	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06574.1	IPR013507	GO:0005524;GO:0006298;GO:0030983;GO:0005515;GO:0022904	SSF118116;SSF55874;SSF50978;SSF54211	SM01340;SM00320;SM00853	mobidb-lite	G3DSA:3.30.230.10;G3DSA:2.130.10.10;G3DSA:3.30.1370.100;G3DSA:3.30.565.10;G3DSA:2.30.42.20	PS50082;PS50294	PF13589;PF04716;PF01119;PF00400;PF08676	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	PS00058	NA	cd16926;cd03484	NA	NA	TIGR00585	NA	NA
KKP03284.1	IPR002328	GO:0008270;GO:0016491;GO:0055114	SSF51735;SSF50129	NA	NA	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	PF08240	Reactome: R-HSA-71384	PS00059	NA	cd08283	NA	NA	NA	NA	NA
KKO98487.1	IPR002562	GO:0003676;GO:0006139;GO:0008408	SSF53098	NA	NA	G3DSA:3.30.420.10	NA	PF01612	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP01668.1	IPR012340	GO:0003735;GO:0006412;GO:0015935;GO:0005840	SSF50249	NA	mobidb-lite	G3DSA:2.40.50.140	NA	PF00164	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	PR01034	cd03368	NA	NA	TIGR00981	NA	NA
KKP06501.1	IPR020902	NA	SSF53067	SM00268	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.10	NA	PF00022	NA	PS01132;PS00406;PS00432	PR00190	cd00012	NA	NA	NA	NA	NA
KKO98101.1	IPR020568	GO:0003735;GO:0005840;GO:0006412	SSF54211	NA	NA	G3DSA:3.30.230.10	NA	PF00380	NA	PS00360	NA	NA	NA	NA	NA	NA	NA
KKP06586.1	IPR015797	GO:0016787	SSF55811	NA	mobidb-lite	G3DSA:3.90.79.10	PS51462	PF00293	Reactome: R-HSA-2393930	PS00893	PR00502	NA	NA	NA	NA	NA	NA
KKP06342.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06526.1	IPR022694	GO:0003857;GO:0006631;GO:0055114;GO:0070403;GO:0016491	SSF48179;SSF51735	NA	NA	G3DSA:3.40.50.720;G3DSA:1.10.1040.50	NA	PF00725;PF02737	KEGG: 00062+4.2.1.17+1.1.1.35|KEGG: 00071+4.2.1.17+1.1.1.35|KEGG: 00280+4.2.1.17+1.1.1.35|KEGG: 00281+4.2.1.17+1.1.1.35|KEGG: 00310+4.2.1.17+1.1.1.35|KEGG: 00360+4.2.1.17|KEGG: 00362+4.2.1.17+1.1.1.35|KEGG: 00380+4.2.1.17+1.1.1.35|KEGG: 00410+4.2.1.17|KEGG: 00592+4.2.1.17|KEGG: 00623+1.1.1.35|KEGG: 00627+4.2.1.17|KEGG: 00640+4.2.1.17|KEGG: 00650+4.2.1.17+1.1.1.35|KEGG: 00720+4.2.1.17+1.1.1.35|KEGG: 00903+4.2.1.17|KEGG: 00930+4.2.1.17+1.1.1.35|MetaCyc: PWY-1361|MetaCyc: PWY-5109|MetaCyc: PWY-5136|MetaCyc: PWY-5138|MetaCyc: PWY-5177|MetaCyc: PWY-5789|MetaCyc: PWY-6435|MetaCyc: PWY-6583|MetaCyc: PWY-6863|MetaCyc: PWY-6883|MetaCyc: PWY-6944|MetaCyc: PWY-6945|MetaCyc: PWY-6946|MetaCyc: PWY-7007|MetaCyc: PWY-7046|MetaCyc: PWY-7094|MetaCyc: PWY-7216|MetaCyc: PWY-735|MetaCyc: PWY-7401|MetaCyc: PWY-7606|MetaCyc: PWY-7654|MetaCyc: PWY-7656|MetaCyc: PWY-7726|MetaCyc: PWY-7778|MetaCyc: PWY-7779|MetaCyc: PWY-8002	PS00067	NA	NA	PIRSF000105	NA	NA	NA	NA
KKP01860.1	IPR023418	GO:0006144;GO:0033971	SSF49472	NA	NA	G3DSA:2.60.40.180	NA	PF00576	Reactome: R-HSA-2453864|Reactome: R-HSA-2453902|Reactome: R-HSA-3000171|Reactome: R-HSA-6798695|Reactome: R-HSA-975634|Reactome: R-HSA-977225	PS00768;PS00769	NA	cd05822	NA	NA	TIGR02962	NA	NA
KKO99408.1	IPR011701	GO:0055085	SSF103473	NA	mobidb-lite	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	PS50850	PF07690	NA	NA	PR01036	cd17502	NA	NA	NA	NA	NA
KKP04246.1	IPR029055	GO:0004175;GO:0006511;GO:0019773;GO:0004298;GO:0005839;GO:0051603;GO:0043161	SSF56235	SM00948	NA	G3DSA:3.60.20.10	PS51475	PF10584;PF00227	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	cd03753	NA	NA	NA	NA	NA
KKP06235.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97208.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06600.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05763.1	IPR029063	NA	SSF53335	NA	NA	G3DSA:3.40.50.150	NA	PF13649	NA	NA	NA	cd02440	NA	NA	NA	NA	NA
KKP00692.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP03103.1	IPR001849	GO:0007165	SSF50729;SSF48350	SM00324;SM00233	mobidb-lite	G3DSA:2.30.29.30;G3DSA:1.10.555.10	PS50003;PS50238	PF00620;PF00169	Reactome: R-HSA-194840	NA	NA	cd13277;cd04400	NA	Coil	NA	NA	NA
KKO98314.1	IPR009003	NA	SSF50494	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06589.1	IPR011613	GO:0003824	SSF48208	NA	NA	G3DSA:1.50.10.10	NA	PF00723	Reactome: R-HSA-70221	NA	NA	NA	NA	NA	NA	NA	NA
KKO99114.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99697.1	IPR007109	NA	NA	SM00879	mobidb-lite	NA	PS50833	PF04427	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKO97923.1	IPR013927	GO:0003714	NA	NA	mobidb-lite	NA	NA	PF08618	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP01851.1	IPR011009	GO:0004672;GO:0005524;GO:0006468	SSF56112	SM00220	mobidb-lite	G3DSA:1.10.510.10	PS50011	PF00069	NA	PS00107;PS00108	NA	NA	NA	Coil	NA	NA	NA
KKO96801.1	IPR036291		SSF51735	NA	NA	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	PF05368	Reactome: R-HSA-70635	NA	NA	cd05259	NA	NA	NA	NA	NA
KKO96847.1	IPR006083	GO:0005524;GO:0016301	SSF52540	NA	NA	G3DSA:3.40.50.300	NA	PF00485	Reactome: R-HSA-73614	NA	NA	NA	NA	NA	NA	NA	NA
KKP04798.1	IPR004136	GO:0018580;GO:0055114;GO:0003824	SSF51412	NA	NA	G3DSA:3.20.20.70	NA	PF03060	NA	NA	NA	cd04730	NA	NA	NA	NA	NA
KKP05571.1	IPR036188	GO:0016491;GO:0055114	SSF51905	NA	NA	G3DSA:3.50.50.100	NA	PF07992	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP05803.1	IPR010730	GO:0005515	SSF48403	SM00248	mobidb-lite	G3DSA:1.25.40.20	PS50088;PS50297	PF06985;PF12796	NA	NA	PR01415	NA	NA	Coil	NA	NA	NA
KKP05241.1	IPR023299	GO:0000166;GO:0000287;GO:0005524;GO:0015914;GO:0016021;GO:0140326	SSF81660;SSF81665;SSF56784;SSF81653	NA	mobidb-lite	G3DSA:3.40.50.1000;G3DSA:2.70.150.10;G3DSA:3.40.1110.10	NA	PF16212;PF13246;PF00122;PF16209	Reactome: R-HSA-936837	PS00154	PR00119	cd02073	NA	NA	TIGR01652;TIGR01494	NA	SFLDG00002;SFLDF00027
KKO97080.1	IPR006797	NA	NA	NA	NA	NA	PS50904	PF04707	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP04808.1	IPR009582	GO:0005787;GO:0006465;GO:0008233;GO:0016021	NA	NA	NA	NA	NA	PF06703	Reactome: R-HSA-1799339|Reactome: R-HSA-381771|Reactome: R-HSA-400511|Reactome: R-HSA-422085	NA	NA	NA	NA	NA	NA	NA	NA
KKP04314.1	IPR002347	NA	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	PF00106	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO96581.1	IPR000587	GO:0016787;GO:0070006	SSF53092;SSF55920	NA	NA	G3DSA:3.40.350.10;G3DSA:3.90.230.10	NA	PF01321;PF16188;PF00557;PF16189	NA	PS00491	NA	cd01085	NA	NA	NA	NA	NA
KKO98071.1	IPR032710	NA	SSF54427	NA	mobidb-lite	G3DSA:3.10.450.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO99272.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP03287.1	IPR002347	NA	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA
KKP03006.1	IPR000056	GO:0005975;GO:0016857;GO:0004750;GO:0006098;GO:0003824	SSF51366	NA	NA	G3DSA:3.20.20.70	NA	PF00834	KEGG: 00030+5.1.3.1|KEGG: 00040+5.1.3.1|KEGG: 00710+5.1.3.1|MetaCyc: PWY-1861|MetaCyc: PWY-5723|Reactome: R-HSA-71336	PS01086;PS01085	NA	cd00429	PIRSF001461	NA	NA	NA	NA
KKP02071.1	IPR004839	GO:0009058;GO:0030170;GO:0003824	SSF53383	NA	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	PF00155	NA	NA	PR00753	cd00609	NA	NA	NA	NA	NA
KKP04247.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	SM00066	mobidb-lite	G3DSA:4.10.240.10	PS50048	PF00172;PF11951	NA	PS00463	NA	cd00067	NA	NA	NA	NA	NA
KKP00516.1	IPR005024	GO:0007034	NA	NA	mobidb-lite	NA	NA	PF03357	NA	NA	NA	NA	NA	Coil	NA	NA	NA
KKP07324.1	IPR000182	GO:0008080	SSF55729	NA	NA	G3DSA:3.40.630.30	NA	PF00583	NA	NA	NA	cd04301	NA	NA	NA	NA	NA
KKO96990.1	IPR000644	NA	SSF54631	SM00116	mobidb-lite	G3DSA:3.10.580.10	PS51371	PF00571	NA	NA	NA	cd02205	NA	NA	NA	NA	NA
KKP05067.1	IPR002905	GO:0003723;GO:0004809;GO:0008033	SSF53335	NA	mobidb-lite	G3DSA:3.30.56.70	PS51626	PF02005	MetaCyc: PWY-6829	NA	NA	NA	NA	NA	NA	NA	NA
KKO96672.1	IPR017853	GO:0004553;GO:0005975;GO:0003824	SSF51445	NA	NA	G3DSA:3.20.20.70	NA	PF16499	KEGG: 00052+3.2.1.22|KEGG: 00561+3.2.1.22|KEGG: 00600+3.2.1.22|KEGG: 00603+3.2.1.22|MetaCyc: PWY-6527	NA	NA	cd14792	NA	NA	NA	NA	NA
KKP00555.1	IPR036318	GO:0050660;GO:0016491;GO:0055114;GO:0071949	SSF56176	NA	NA	G3DSA:3.30.465.40;G3DSA:3.40.462.20	PS51387	PF01565	NA	NA	NA	NA	NA	NA	NA	NA	NA
