Gene	interpro	Gene3D	SUPERFAMILY	Pfam	PRINTS	MobiDBLite	Coils	CDD	GO	PATHWAY	ProSitePatterns	SMART	ProSiteProfiles	PIRSF	TIGRFAM	Hamap	SFLD
PTB64886.1	IPR002472	G3DSA:3.40.50.1820	SSF53474	PF02089	PR00414	NA	NA	NA	GO:0098599	Reactome: R-HSA-75105	NA	NA	NA	NA	NA	NA	NA
PTB66096.1	IPR036908	G3DSA:2.40.40.10	SSF50685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62452.1	IPR013734	NA	NA	PF08528	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69884.1	IPR031781	G3DSA:2.60.40.2690	SSF57667	PF16835;PF12874	NA	NA	NA	NA	GO:0003676;GO:0008270;GO:0005634	Reactome: R-HSA-72163	NA	SM00451;SM01050	PS50171	NA	NA	NA	NA
PTB62392.1	NA	NA	NA	PF08700	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63190.1	IPR029058	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67643.1	IPR036400	G3DSA:3.10.120.10	SSF55856	PF00173	NA	NA	NA	NA	NA	NA	NA	SM01117	NA	NA	NA	NA	NA
PTB62357.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62110.1	IPR016160	G3DSA:3.40.309.10;G3DSA:3.40.605.10	SSF53720	PF00171	NA	mobidb-lite	NA	cd07085	GO:0016491;GO:0055114;GO:0004491;GO:0016620	KEGG: 00280+1.2.1.27|KEGG: 00640+1.2.1.27|MetaCyc: PWY-5642|Reactome: R-HSA-70895	PS00070	NA	NA	NA	TIGR01722	NA	NA
PTB69722.1	IPR036864	G3DSA:4.10.240.10	SSF57701	PF00172	NA	mobidb-lite	NA	cd00067	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	PS00463	SM00066	PS50048	NA	NA	NA	NA
PTB70453.1	IPR002994	NA	NA	PF02104	NA	mobidb-lite	NA	cd06662	GO:0016020	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	NA	NA	PS50895	NA	NA	NA	NA
PTB62733.1	IPR001753	G3DSA:3.90.226.10	SSF52096	PF00378	NA	NA	NA	cd06558	GO:0003824	NA	NA	NA	NA	NA	NA	NA	NA
PTB65719.1	IPR036770	G3DSA:1.25.40.20;G3DSA:3.40.50.300;G3DSA:3.40.50.1580	SSF53167;SSF52540;SSF48403	PF01048;PF12796	NA	NA	NA	cd09008;cd17933	GO:0005515;GO:0003824;GO:0009116	NA	NA	SM00248	PS50088;PS50297	NA	NA	NA	NA
PTB67970.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66280.1	IPR012334	G3DSA:2.160.20.10	SSF51126	PF12708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70584.1	IPR002528	G3DSA:3.30.870.10;G3DSA:3.30.870.20	SSF56024	PF01554;PF06087	NA	mobidb-lite	NA	cd09123;cd09194;cd13132	GO:0015297;GO:0016020;GO:0042910;GO:0055085;GO:0005634;GO:0006281;GO:0008081	Reactome: R-HSA-425366	NA	NA	NA	NA	TIGR00797	NA	NA
PTB64805.1	IPR027815	NA	NA	PF14703;PF12621;PF13967;PF02714	NA	mobidb-lite	NA	NA	GO:0016020	NA	NA	NA	NA	NA	NA	NA	NA
PTB64598.1	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63899.1	IPR029000	G3DSA:2.40.100.10	SSF50891	PF00160	PR00153	mobidb-lite	Coil	cd01925	GO:0000413;GO:0003755;GO:0006457	NA	PS00170	NA	PS50072	NA	NA	NA	NA
PTB63147.1	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64546.1	IPR008928	G3DSA:1.50.10.10	SSF48208	PF00723	NA	NA	Coil	NA	GO:0003824	Reactome: R-HSA-70221	NA	NA	NA	NA	NA	NA	NA
PTB65510.1	IPR035971	G3DSA:3.20.20.80	SSF57180;SSF51445	PF00734;PF00704	NA	NA	NA	cd02877	GO:0005576;GO:0005975;GO:0030248	NA	PS00562	SM00236	PS51164	NA	NA	NA	NA
PTB62575.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65571.1	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66843.1	IPR002933	G3DSA:3.40.630.10	SSF53187;SSF55031	PF01546;PF07687	NA	NA	NA	cd05674	GO:0016787;GO:0004181;GO:0006508;GO:0008237	NA	PS00758	NA	NA	PIRSF037217	NA	NA	NA
PTB69680.1	IPR019775	G3DSA:2.130.10.10	SSF50998;SSF50978	PF00400	PR00320	mobidb-lite	NA	NA	GO:0005515	NA	PS00678	SM00320	PS50294;PS50082	NA	NA	NA	NA
PTB70161.1	IPR018523	G3DSA:3.20.20.60	SSF51621	PF13714	NA	NA	NA	cd00377	GO:0003824	NA	PS00161	NA	NA	NA	NA	NA	NA
PTB63575.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64326.1	NA	G3DSA:1.20.58.340	SSF144083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67978.1	IPR004001	G3DSA:3.90.640.10;G3DSA:3.30.420.40	SSF53067	PF00022	PR00190	NA	NA	cd00012	NA	NA	PS00432;PS00406;PS01132	SM00268	NA	NA	NA	NA	NA
PTB65991.1	IPR013536	NA	NA	PF08325	NA	mobidb-lite	Coil	cd07344	NA	NA	PS01358	NA	PS51397	NA	NA	NA	NA
PTB70695.1	IPR011009	G3DSA:3.20.200.10	SSF56112	PF02816	NA	NA	NA	cd17509	GO:0004674;GO:0005524;GO:0006468	NA	NA	SM00811	PS51158	NA	NA	NA	NA
PTB61778.1	IPR027417	G3DSA:3.40.50.300	SSF52540	PF00071	PR00449	NA	NA	cd01868	GO:0003924;GO:0005525	NA	NA	SM00173;SM00175;SM00174;SM00176	PS51419	NA	TIGR00231	NA	NA
PTB64702.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65933.1	IPR038922	NA	NA	NA	NA	mobidb-lite	NA	cd14361	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65778.1	IPR019325	NA	NA	PF10176	NA	mobidb-lite	NA	NA	GO:0007034;GO:0030001	NA	NA	NA	NA	NA	NA	NA	NA
PTB66362.1	IPR013633	G3DSA:1.25.40.10	SSF48452	PF08424	NA	mobidb-lite	NA	NA	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA
PTB68736.1	IPR002347	G3DSA:3.40.50.720	SSF51735	PF13561	PR00080;PR00081	NA	NA	cd05233	GO:0016491	NA	PS00061	NA	NA	NA	NA	NA	NA
PTB70318.1	IPR002347	G3DSA:3.40.50.720	SSF51735	PF13561	PR00080;PR00081	NA	NA	NA	GO:0016491	NA	PS00061	SM00822	NA	NA	NA	NA	NA
PTB61434.1	IPR036691	G3DSA:3.60.10.10	SSF56219	PF03372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63275.1	IPR017853	G3DSA:3.20.20.80	SSF51445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66351.1	IPR006689	G3DSA:3.40.50.300	SSF52540	PF00025	PR00328	NA	NA	cd00879	GO:0005525;GO:0006886	NA	NA	SM00178;SM00177	PS51422	NA	TIGR00231	NA	NA
PTB67604.1	IPR016848	G3DSA:2.30.30.210	SSF101744	PF01868	NA	mobidb-lite	NA	NA	GO:0003723;GO:0004540;GO:0006396;GO:0030677;GO:0008033	Reactome: R-HSA-6784531	NA	SM00538	NA	PIRSF027081	NA	NA	NA
PTB67502.1	IPR001844	G3DSA:1.10.560.10;G3DSA:3.50.7.10;G3DSA:3.30.260.10	SSF52029;SSF48592	PF00118	PR00298	NA	NA	cd03344	GO:0042026;GO:0005524;GO:0006457	Reactome: R-HSA-1268020|Reactome: R-HSA-8869496	PS00296	NA	NA	NA	NA	NA	NA
PTB65325.1	IPR019166	NA	NA	PF09769	NA	NA	NA	NA	GO:0042407;GO:0061617	Reactome: R-HSA-8949613	NA	NA	NA	NA	NA	NA	NA
PTB66018.1	IPR007219	NA	NA	PF04082	NA	mobidb-lite	NA	cd12148	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	SM00906	NA	NA	NA	NA	NA
PTB67395.1	IPR005599	NA	NA	PF03901	NA	NA	NA	NA	GO:0016757	NA	NA	NA	NA	NA	NA	NA	NA
PTB69601.1	IPR001680	G3DSA:2.130.10.10	SSF50969;SSF50978	PF00400	NA	mobidb-lite	NA	NA	GO:0005515	NA	NA	SM00320	PS50294;PS50082	NA	NA	NA	NA
PTB69077.1	NA	G3DSA:2.120.10.70	SSF89372	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66363.1	IPR002347	G3DSA:3.40.50.720	SSF51735	PF00106	PR00081	NA	NA	cd08939	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65620.1	IPR030393	G3DSA:3.40.50.300	SSF52540	PF01926	NA	NA	NA	NA	GO:0005525	NA	NA	NA	PS51706	NA	NA	NA	NA
PTB66139.1	IPR013083	G3DSA:3.30.40.10	SSF57850	PF12906	NA	mobidb-lite	NA	cd16702	GO:0008270	MetaCyc: PWY-7511	NA	SM00744	PS51292	NA	NA	NA	NA
PTB63258.1	IPR013525	G3DSA:3.40.50.300	SSF52540	PF01061;PF00005	NA	NA	NA	cd17316	GO:0016020;GO:0005524;GO:0016887	Reactome: R-HSA-1369062	NA	SM00382	PS50893	NA	NA	NA	NA
PTB63830.1	IPR018108	G3DSA:1.50.40.10	SSF103506	PF00153	NA	NA	NA	NA	NA	NA	NA	NA	PS50920	NA	NA	NA	NA
PTB68133.1	IPR036291	G3DSA:3.30.360.10;G3DSA:3.40.50.720	SSF51735;SSF55347	PF01408	NA	NA	NA	NA	GO:0016491	NA	NA	NA	NA	NA	NA	NA	NA
PTB62151.1	IPR002110	G3DSA:1.25.40.20;G3DSA:1.25.40.960	SSF48403	PF13606;PF13857;PF12796	PR01415	NA	NA	NA	GO:0005515	NA	NA	SM00248	PS50297;PS50088	NA	NA	NA	NA
PTB67270.1	IPR006219	G3DSA:3.20.20.70	SSF51569	PF00793	NA	NA	NA	NA	GO:0003849;GO:0009073;GO:0003824;GO:0009058	KEGG: 00400+2.5.1.54|MetaCyc: PWY-6164	NA	NA	NA	PIRSF001361	TIGR00034	NA	NA
PTB62330.1	IPR036259	NA	SSF103473	PF00083	NA	mobidb-lite	NA	cd17364	GO:0016021;GO:0022857;GO:0055085;GO:0005315;GO:0006817	NA	PS00217;PS00216	NA	PS50850	NA	TIGR00887	NA	NA
PTB68914.1	IPR012340	G3DSA:2.40.50.140	SSF50249	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69458.1	IPR002048	G3DSA:3.20.20.190;G3DSA:1.10.238.10;G3DSA:2.60.40.150;G3DSA:2.30.29.30	SSF50729;SSF47473;SSF51695;SSF49562	PF00388;PF00387	PR00390	mobidb-lite	NA	cd16207;cd13360;cd08598;cd00275	GO:0005509;GO:0006629;GO:0008081;GO:0004435;GO:0007165;GO:0035556	KEGG: 00562+3.1.4.11|KEGG: 04070+3.1.4.11|MetaCyc: PWY-6351|MetaCyc: PWY-6367|MetaCyc: PWY-7039|MetaCyc: PWY-8052|Reactome: R-HSA-1855204	NA	SM00148;SM00149;SM00239	PS50222;PS50008;PS50004;PS50007	NA	NA	NA	NA
PTB65692.1	IPR001138	G3DSA:4.10.240.10	SSF57701	NA	NA	mobidb-lite	Coil	cd00067;cd12148	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PS00463	SM00066;SM00906	NA	NA	NA	NA	NA
PTB64767.1	IPR000639	G3DSA:3.40.50.1820	SSF53474	PF00561	PR00412	NA	NA	NA	GO:0003824	NA	NA	NA	NA	NA	NA	NA	NA
PTB62344.1	IPR004000	G3DSA:3.30.420.40;G3DSA:3.90.640.10	SSF53067	PF00022	NA	NA	NA	NA	NA	NA	NA	SM00268	NA	NA	NA	NA	NA
PTB65083.1	IPR017986	G3DSA:3.30.40.10;G3DSA:2.130.10.10	SSF57850;SSF50978	PF00400;PF08606	NA	mobidb-lite	NA	cd16656	GO:0005515;GO:0004842;GO:0016567	MetaCyc: PWY-7511	NA	SM00320;SM00504	PS50294;PS51698;PS50082	NA	NA	NA	NA
PTB70860.1	IPR001019	G3DSA:3.40.50.300;G3DSA:1.10.400.10	SSF47895;SSF52540	PF00503	PR01241;PR00318	mobidb-lite	NA	cd00066	GO:0003924;GO:0007186;GO:0019001;GO:0031683;GO:0001664;GO:0005525;GO:0005834;GO:0007165	NA	NA	SM00275	NA	NA	NA	NA	NA
PTB61499.1	IPR003593	G3DSA:3.40.50.300	SSF52540	PF00005	NA	NA	NA	cd03244	GO:0005524;GO:0016887	NA	NA	SM00382	PS50893	NA	NA	NA	NA
PTB68520.1	IPR001936	G3DSA:1.10.506.10;G3DSA:2.60.40.150	SSF49562;SSF48350	PF00616;PF00168	NA	mobidb-lite	NA	cd05137	GO:0043087;GO:0007165	NA	PS00509	SM00239;SM00323	PS50018	NA	NA	NA	NA
PTB66241.1	IPR001138	G3DSA:4.10.240.10	SSF57701	PF00172;PF04082	NA	mobidb-lite	NA	cd12148;cd00067	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PS00463	SM00066;SM00906	PS50048	NA	NA	NA	NA
PTB62062.1	IPR002871	G3DSA:3.90.1010.10	SSF82649	PF01592	NA	mobidb-lite	NA	cd06664	GO:0005506;GO:0016226;GO:0051536	Reactome: R-HSA-1362409	NA	NA	NA	NA	TIGR01999	NA	NA
PTB68273.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61381.1	IPR000719	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF56112	PF00069	NA	mobidb-lite	NA	NA	GO:0004672;GO:0005524;GO:0006468	NA	PS00107	NA	PS50011	NA	NA	NA	NA
PTB67804.1	IPR029044	NA	SSF53448	PF11051	NA	NA	NA	NA	GO:0006486;GO:0016757	NA	NA	NA	NA	NA	NA	NA	NA
PTB61733.1	IPR008963	G3DSA:2.60.40.380;G3DSA:3.60.21.10	SSF49363;SSF56300	PF00149;PF14008;PF16656	NA	NA	NA	cd00839	GO:0003993;GO:0046872;GO:0016787	NA	NA	NA	NA	NA	NA	NA	NA
PTB70087.1	IPR011701	G3DSA:1.20.1250.20	SSF103473	PF07690	NA	NA	NA	cd06178	GO:0055085	NA	NA	NA	NA	NA	NA	NA	NA
PTB62945.1	IPR013094	G3DSA:3.40.50.1820	SSF53474	PF07859	NA	mobidb-lite	NA	NA	GO:0016787	NA	NA	NA	NA	NA	NA	NA	NA
PTB62317.1	IPR016160	G3DSA:3.40.605.10;G3DSA:3.40.309.10	SSF53720	PF00171	NA	NA	NA	cd07114	GO:0016491;GO:0055114;GO:0016620	NA	PS00070;PS00687	NA	NA	NA	NA	NA	NA
PTB63741.1	IPR021950	NA	NA	PF12090	NA	mobidb-lite	Coil	NA	GO:0000124;GO:0003712	NA	NA	NA	NA	NA	NA	NA	NA
PTB65011.1	IPR007484	G3DSA:3.40.630.10	SSF53187	PF04389	NA	NA	NA	cd03879	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61913.1	IPR001841	G3DSA:3.30.40.10	SSF57850	PF13639	NA	mobidb-lite	NA	NA	NA	NA	NA	SM00184	PS50089	NA	NA	NA	NA
PTB70917.1	IPR000719	G3DSA:1.10.510.10	SSF56112	PF00069	NA	mobidb-lite	NA	NA	GO:0004672;GO:0005524;GO:0006468	NA	NA	SM00220	PS50011	NA	NA	NA	NA
PTB65631.1	IPR011717	G3DSA:1.25.40.1040;G3DSA:1.25.40.1010	SSF48452	PF07721;PF12569;PF13181	NA	mobidb-lite	Coil	NA	GO:0042802;GO:0005515	NA	NA	SM00028	PS50005;PS50293	PIRSF000422	NA	NA	NA
PTB62692.1	IPR015797	G3DSA:3.90.79.10	SSF55811	PF00293	NA	NA	NA	cd03424	GO:0016787	NA	NA	NA	NA	NA	NA	NA	NA
PTB65556.1	IPR009097	G3DSA:3.90.1140.10	SSF55144	PF08975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70088.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62960.1	IPR038305	G3DSA:1.20.120.1020;G3DSA:1.10.510.10	SSF56112	PF14479	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70156.1	IPR034163	G3DSA:2.40.70.10	SSF50630	PF00026	PR00792	mobidb-lite	NA	cd06097	GO:0004190;GO:0006508	NA	PS00141	NA	PS51767	NA	NA	NA	NA
PTB65753.1	IPR006461	NA	NA	PF04749	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01571	NA	NA
PTB70262.1	IPR013705	G3DSA:3.40.50.150	SSF53335	PF08498;PF08241	NA	NA	NA	cd02440	GO:0006694;GO:0008168	NA	NA	NA	PS51685	NA	NA	NA	NA
PTB65583.1	IPR004882	NA	NA	PF03194	NA	NA	Coil	NA	GO:0003729;GO:0005685;GO:0006376	NA	NA	NA	NA	NA	NA	NA	NA
PTB69720.1	IPR038765	G3DSA:3.90.1720.10	SSF54001	PF05257	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	PS50911	NA	NA	NA	NA
PTB70918.1	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64863.1	IPR020841	G3DSA:1.10.1200.10;G3DSA:3.40.47.10;G3DSA:3.10.129.110;G3DSA:3.30.70.3320;G3DSA:3.30.70.3290;G3DSA:3.40.366.10;G3DSA:3.30.70.250	SSF55048;SSF52151;SSF53901;SSF47336	PF00550;PF02801;PF00698;PF16073;PF00109	NA	mobidb-lite	Coil	cd00833	GO:0031177;GO:0003824;GO:0016740	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	PS00012;PS00606	SM00825;SM00823;SM00827	PS50075	NA	TIGR04532	NA	NA
PTB68547.1	IPR036864	G3DSA:4.10.240.10	SSF57701	PF00172;PF11951	NA	NA	NA	cd00067	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	SM00066	PS50048	NA	NA	NA	NA
PTB62749.1	IPR000608	G3DSA:3.10.110.10	SSF54495	PF00179	NA	mobidb-lite	NA	cd00195		Reactome: R-HSA-983168	NA	SM00212	PS50127	NA	NA	NA	NA
PTB67143.1	IPR001806	G3DSA:3.40.50.300	SSF52540	PF00071	PR00627	NA	NA	cd00877	GO:0003924;GO:0005525;GO:0006913	Reactome: R-HSA-165054|Reactome: R-HSA-1655829|Reactome: R-HSA-168333|Reactome: R-HSA-180746|Reactome: R-HSA-203927|Reactome: R-HSA-5578749|Reactome: R-HSA-6784531	NA	SM00176;SM00173;SM00174;SM00175	PS51418	NA	TIGR00231	NA	NA
PTB66009.1	IPR005829	G3DSA:1.20.1250.20	SSF103473	PF00083	PR00171	mobidb-lite	NA	cd17356	GO:0016021;GO:0022857;GO:0055085;GO:0016020	Reactome: R-HSA-189200	PS00217	NA	PS50850	NA	TIGR00879	NA	NA
PTB68095.1	IPR024312	NA	NA	PF12709	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61356.1	NA	G3DSA:3.30.420.40	SSF53067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69696.1	IPR015932	G3DSA:3.40.1060.10;G3DSA:3.30.499.10;G3DSA:3.20.19.10	SSF52016;SSF53732	PF00694;PF00330	PR00415	NA	NA	NA		KEGG: 00020+4.2.1.3|KEGG: 00630+4.2.1.3|KEGG: 00720+4.2.1.3|Reactome: R-HSA-1268020|Reactome: R-HSA-71403	NA	NA	NA	NA	NA	NA	NA
PTB62032.1	IPR007111	G3DSA:1.25.10.10;G3DSA:3.40.50.1820;G3DSA:3.40.50.300	SSF48371;SSF53474;SSF52540	PF13646;PF05729;PF17776	NA	NA	NA	NA	NA	NA	NA	SM00382	PS50837	NA	NA	NA	NA
PTB70183.1	IPR036864	G3DSA:4.10.240.10	SSF57701	PF00172	NA	mobidb-lite	NA	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	SM00066	PS50048	NA	NA	NA	NA
PTB61536.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65491.1	IPR000743	G3DSA:2.160.20.10	SSF51126	PF00295	NA	NA	NA	NA	GO:0004650;GO:0005975	NA	NA	SM00710	NA	NA	NA	NA	NA
PTB66572.1	IPR036291	G3DSA:3.40.50.720;G3DSA:3.90.110.10	SSF51735;SSF56327	PF02866;PF00056	NA	NA	NA	cd01337	GO:0003824;GO:0005975;GO:0016616;GO:0055114;GO:0006099;GO:0030060;GO:0006108;GO:0016615;GO:0016491;GO:0019752	KEGG: 00020+1.1.1.37|KEGG: 00270+1.1.1.37|KEGG: 00620+1.1.1.37|KEGG: 00630+1.1.1.37|KEGG: 00680+1.1.1.37|KEGG: 00710+1.1.1.37|KEGG: 00720+1.1.1.37|MetaCyc: PWY-1622|MetaCyc: PWY-5392|MetaCyc: PWY-561|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7115|MetaCyc: PWY-7383|Reactome: R-HSA-70263|Reactome: R-HSA-71403	PS00068	NA	NA	PIRSF000102	TIGR01772	NA	NA
PTB66666.1	IPR035969	G3DSA:1.10.8.270;G3DSA:1.10.472.80;G3DSA:1.10.10.750	SSF47923	PF00566	NA	mobidb-lite	Coil	NA	NA	NA	NA	SM00164	PS50086	NA	NA	NA	NA
PTB61387.1	IPR008271	G3DSA:1.10.510.10	SSF56112	PF00069	NA	mobidb-lite	NA	NA	GO:0004672;GO:0006468;GO:0005524	NA	PS00108	SM00220	PS50011	NA	NA	NA	NA
PTB61676.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69776.1	IPR002110	G3DSA:1.25.40.20	SSF48403	PF12796	NA	NA	NA	NA	GO:0005515	NA	NA	SM00248	PS50088;PS50297	NA	NA	NA	NA
PTB63895.1	IPR011022	NA	NA	PF02752	NA	NA	NA	NA	NA	NA	NA	SM01017	NA	NA	NA	NA	NA
PTB61852.1	IPR011009	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF56112	PF00069	NA	mobidb-lite	Coil	NA	GO:0004672;GO:0006468;GO:0005524	NA	PS00108	SM00220	PS50011	NA	NA	NA	NA
PTB63890.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69101.1	IPR014001	G3DSA:3.40.50.300;G3DSA:3.40.50.10810	SSF52540	PF00271;PF00176	NA	mobidb-lite	Coil	cd18793;cd18008	GO:0005524	NA	NA	SM00487;SM00490	PS51192;PS51194	NA	NA	NA	NA
PTB69208.1	IPR007528	G3DSA:1.20.58.670	NA	PF04437	NA	NA	Coil	NA	GO:0005783;GO:0048193	Reactome: R-HSA-6811434	NA	NA	PS51386	NA	NA	NA	NA
PTB64854.1	IPR005887	G3DSA:1.20.1610.10;G3DSA:3.30.2080.10;G3DSA:1.20.1050.60;G3DSA:2.70.98.10	SSF48208	PF17678;PF07971	NA	NA	NA	NA	GO:0003824;GO:0030246	NA	NA	NA	NA	NA	TIGR01180	NA	NA
PTB70557.1	IPR039204	G3DSA:2.40.128.330;G3DSA:1.20.58.340	NA	PF01544	NA	NA	NA	cd12823	GO:0016020;GO:0030001;GO:0046873;GO:0055085	Reactome: R-HSA-5223345	NA	NA	NA	NA	NA	NA	NA
PTB70425.1	IPR001138	NA	NA	NA	NA	mobidb-lite	NA	cd00067	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	NA	NA	NA	NA	NA
PTB62201.1	IPR001077	G3DSA:1.10.10.10;G3DSA:3.40.50.150	SSF53335;SSF46785	PF00891	NA	NA	NA	NA	GO:0008171;GO:0008168	NA	NA	NA	PS51683	NA	NA	NA	NA
PTB69481.1	IPR007191	NA	NA	PF04048	NA	mobidb-lite	Coil	NA	GO:0000145;GO:0006904	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	NA	NA	NA	NA	NA	NA	NA
PTB61970.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62096.1	IPR000743	G3DSA:2.160.20.10	SSF51126	PF00295	NA	NA	NA	NA	GO:0004650;GO:0005975	NA	PS00502	SM00710	NA	NA	NA	NA	NA
PTB66672.1	IPR015338	G3DSA:3.90.550.10	SSF53448	PF09258	NA	NA	NA	NA	GO:0016021;GO:0016757	NA	NA	NA	NA	NA	NA	NA	NA
PTB64062.1	IPR004813	NA	NA	PF03169	NA	mobidb-lite	NA	NA	GO:0055085	NA	NA	NA	NA	NA	TIGR00728	NA	NA
PTB70535.1	IPR005123	G3DSA:2.60.120.620	NA	PF13640	NA	mobidb-lite	NA	NA	GO:0016491;GO:0055114;GO:0005506;GO:0016705;GO:0031418	NA	NA	SM00702	PS51471	NA	NA	NA	NA
PTB68946.1	IPR022085	NA	NA	PF12311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62174.1	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63873.1	IPR005120	G3DSA:3.30.70.330	SSF54928	PF03467;PF00076	NA	mobidb-lite	NA	cd12455	GO:0003676	Reactome: R-HSA-9010553|Reactome: R-HSA-975957	NA	NA	PS50102	NA	NA	NA	NA
PTB67084.1	IPR024930	NA	SSF111384	PF12352	NA	mobidb-lite	Coil	NA	GO:0000139;GO:0005801;GO:0006888;GO:0016021	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438	NA	NA	NA	PIRSF027109	NA	NA	NA
PTB66762.1	IPR036396	G3DSA:1.10.630.10	SSF48264	PF00067	PR00463;PR00385	NA	NA	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PS00086	NA	NA	NA	NA	NA	NA
PTB66627.1	IPR031728	G3DSA:3.20.20.80	SSF51445	PF16862	NA	NA	NA	NA		KEGG: 00040+3.2.1.31|KEGG: 00531+3.2.1.31|KEGG: 00860+3.2.1.31|KEGG: 00944+3.2.1.31|KEGG: 00983+3.2.1.31|MetaCyc: PWY-7247|MetaCyc: PWY-7445	NA	NA	NA	NA	NA	NA	NA
PTB62430.1	IPR013929	NA	NA	PF08620;PF08621	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
