Gene	interpro	GO	SMART	ProSiteProfiles	SUPERFAMILY	CDD	Gene3D	Pfam	MobiDBLite	PATHWAY	ProSitePatterns	Coils	PRINTS	TIGRFAM	PIRSF	SFLD	Hamap
PTB45356.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB47173.1	IPR006114	GO:0004616;GO:0006098;GO:0055114;GO:0050661;GO:0016491	SM01350	NA	SSF51735;SSF48179	NA	G3DSA:1.20.5.320;G3DSA:3.40.50.720;G3DSA:1.10.1040.10	PF00393;PF03446	NA	KEGG: 00030+1.1.1.44|KEGG: 00480+1.1.1.44|Reactome: R-HSA-71336	PS00461	NA	PR00076	TIGR00873	PIRSF000109	NA	NA
PTB39371.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB37660.1	IPR010730	NA	NA	NA	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB38724.1	IPR017853	NA	NA	NA	SSF51445	NA	G3DSA:3.20.20.80	PF11790	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37824.1	IPR029063	NA	NA	NA	SSF53335	NA	G3DSA:3.40.50.150	PF13489	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB39748.1	IPR009071	NA	SM00398	PS50118	SSF47095	NA	G3DSA:1.10.30.10	PF00505	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB39022.1	IPR019734	GO:0005515	SM00028	NA	SSF48452	NA	G3DSA:1.25.40.10	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB45896.1	IPR035979	GO:0003676;GO:0005515;GO:0006396	SM00361;SM00360;SM00386	PS50102	SSF54928;SSF48452	cd12299;cd12297;cd00590	G3DSA:3.30.70.330;G3DSA:1.25.40.10	PF00076;PF16842	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB42148.1	NA	NA	NA	NA	NA	NA	NA	PF05205	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB44647.1	IPR036388	GO:0003743;GO:0005852;GO:0006446;GO:0043022;GO:0005737	NA	PS50250	SSF48371;SSF46785	NA	G3DSA:1.10.10.10;G3DSA:1.25.40.250	PF10075	NA	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	NA	NA	NA	NA	MF_03010
PTB42631.1	IPR019757	GO:0008236;GO:0016021;GO:0006508;GO:0016020	NA	NA	SSF51306	cd06530	G3DSA:2.10.109.10	PF00717	NA	NA	PS00760	NA	PR00727	NA	NA	NA	NA
PTB35401.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	SM00220	PS50011	SSF56112	cd07836	G3DSA:3.30.200.20;G3DSA:1.10.510.10	PF00069	NA	NA	PS00108;PS00107	NA	NA	NA	PIRSF000654	NA	NA
PTB38262.1	NA	NA	NA	NA	NA	NA	G3DSA:3.30.160.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46358.1	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0004674	SM00220	PS50011	SSF56112;SSF103243	cd14334;cd14079	G3DSA:1.10.510.10;G3DSA:3.30.310.80	PF16579;PF00069;PF08587	mobidb-lite	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-1632852|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-6804756|Reactome: R-HSA-9619483	PS00108;PS00107	NA	NA	NA	NA	NA	NA
PTB40990.1	IPR012337	NA	SM00479	NA	SSF53098	cd06145	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB37213.1	IPR013154	GO:0055114;GO:0016491;GO:0008270	SM00829	NA	SSF50129;SSF51735	cd05283	G3DSA:3.90.180.10;G3DSA:3.40.50.720	PF08240	NA	Reactome: R-HSA-71384	PS00065;PS00059	NA	NA	NA	NA	NA	NA
PTB39462.1	IPR032710	NA	NA	NA	SSF54427	NA	G3DSA:3.10.450.50	PF12680	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB38050.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB45471.1	IPR009445	NA	NA	NA	NA	NA	NA	PF06417	mobidb-lite	NA	NA	NA	NA	NA	PIRSF017207	NA	NA
PTB44929.1	IPR013149	GO:0055114;GO:0016491	SM00829	NA	SSF50129;SSF51735	cd08249	G3DSA:3.90.180.10;G3DSA:3.40.50.720	PF00107	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42068.1	IPR018108	NA	NA	PS50920	SSF103506	NA	G3DSA:1.50.40.10	PF00153	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB41336.1	IPR036291	GO:0008460;GO:0009225	NA	NA	SSF51735	cd05246	G3DSA:3.40.50.720;G3DSA:3.90.25.10	PF16363	NA	KEGG: 00521+4.2.1.46|KEGG: 00523+4.2.1.46|KEGG: 00525+4.2.1.46|MetaCyc: PWY-6808|MetaCyc: PWY-6942|MetaCyc: PWY-6953|MetaCyc: PWY-6973|MetaCyc: PWY-6974|MetaCyc: PWY-6976|MetaCyc: PWY-7104|MetaCyc: PWY-7301|MetaCyc: PWY-7312|MetaCyc: PWY-7315|MetaCyc: PWY-7316|MetaCyc: PWY-7318|MetaCyc: PWY-7413|MetaCyc: PWY-7414|MetaCyc: PWY-7440|MetaCyc: PWY-7657|MetaCyc: PWY-7688|MetaCyc: PWY-7814	NA	NA	NA	NA	NA	NA	NA
PTB41586.1	IPR000592	GO:0003735;GO:0005840;GO:0006412	NA	NA	SSF57829	NA	G3DSA:2.20.25.640	PF01667	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	MF_00371
PTB40372.1	IPR004839	GO:0009058;GO:0030170;GO:0003824	NA	NA	SSF53383	cd00609	G3DSA:3.40.640.10	PF00155	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB41706.1	IPR013130	GO:0016491;GO:0055114	NA	PS51384	SSF63380	cd06186	G3DSA:3.40.50.80	PF01794;PF08030;PF08022	NA	NA	NA	NA	NA	NA	NA	SFLDG01168;SFLDS00052	NA
PTB45559.1	IPR022577		NA	NA	SSF48371	NA	NA	PF12612	NA	Reactome: R-HSA-389977	NA	Coil	NA	NA	NA	NA	NA
PTB45922.1	IPR011040		NA	NA	SSF50939	cd15482	G3DSA:2.120.10.10	PF13088	NA	KEGG: 00511+3.2.1.18|KEGG: 00600+3.2.1.18|Reactome: R-HSA-1660662|Reactome: R-HSA-4085001	NA	NA	NA	NA	NA	NA	NA
PTB41335.1	IPR009836	NA	NA	NA	NA	NA	NA	PF07173	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB44752.1	IPR000504	GO:0003676	SM00360	PS50102	SSF54928	cd12387	G3DSA:3.30.70.330	PF00076	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB41247.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB37290.1	IPR001189	GO:0004784;GO:0006801;GO:0046872;GO:0055114	NA	NA	SSF54719;SSF46609	NA	G3DSA:1.10.287.990;G3DSA:2.40.500.20	PF00081;PF02777	NA	MetaCyc: PWY-6854|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-8862803|Reactome: R-HSA-8950505|Reactome: R-HSA-9615017	PS00088	NA	PR01703	NA	PIRSF000349	NA	NA
PTB37963.1	IPR020801	GO:0016740;GO:0004312;GO:0005835;GO:0006633;GO:0055114;GO:0004318;GO:0003824	SM00827	NA	SSF51395;SSF52151;SSF54637	cd03447	G3DSA:3.10.129.50;G3DSA:1.20.1050.120;G3DSA:3.30.70.3320;G3DSA:1.20.930.70;G3DSA:3.40.366.10;G3DSA:3.30.1120.100;G3DSA:3.10.129.10;G3DSA:3.20.20.70;G3DSA:3.30.70.3330	PF00698;PF08354;PF16073;PF01575;PF17828;PF13452;PF17951	NA	KEGG: 00061+2.3.1.39+4.2.1.59+1.3.1.9+3.1.2.14|KEGG: 00780+4.2.1.59|MetaCyc: PWY-4381|MetaCyc: PWY-5142|MetaCyc: PWY-5147|MetaCyc: PWY-5366|MetaCyc: PWY-5367|MetaCyc: PWY-5966|MetaCyc: PWY-5971|MetaCyc: PWY-5973|MetaCyc: PWY-5989|MetaCyc: PWY-5994|MetaCyc: PWY-6113|MetaCyc: PWY-6282|MetaCyc: PWY-6519|MetaCyc: PWY-6799|MetaCyc: PWY-7388|MetaCyc: PWY-7663|MetaCyc: PWY-7664|MetaCyc: PWY-7723|MetaCyc: PWY-7746|MetaCyc: PWY-7858|MetaCyc: PWY-8012|MetaCyc: PWY-8047|MetaCyc: PWY-8049|MetaCyc: PWYG-321	NA	NA	PR01483	NA	PIRSF005562	NA	NA
PTB41001.1	IPR029058	NA	NA	NA	SSF53474	NA	G3DSA:1.10.10.800;G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB39632.1	IPR014752	NA	SM01017	NA	SSF81296	NA	G3DSA:2.60.40.640	PF00339	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB39645.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB39749.1	IPR019786	NA	SM00249	NA	SSF57903	NA	G3DSA:3.30.40.10	PF00628	mobidb-lite	NA	PS01359	Coil	NA	NA	NA	NA	NA
PTB42550.1	IPR000182	GO:0008080	NA	PS51186	SSF55729	NA	G3DSA:3.40.630.30	PF13302	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42019.1	IPR036534	GO:0008017	NA	PS51460	SSF143575	NA	G3DSA:3.30.920.20	PF02187	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB47140.1	IPR007305	GO:0016192	NA	NA	NA	NA	NA	PF04178	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB41986.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB41057.1	IPR024388	NA	NA	NA	NA	NA	NA	PF12824	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35901.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	SM00220	PS50011	SSF56112	NA	G3DSA:1.10.510.10	PF00069	mobidb-lite	NA	PS00108	NA	NA	NA	NA	NA	NA
PTB43571.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35003.1	IPR037523	NA	NA	PS51819	SSF54593	cd07257	G3DSA:3.10.180.10	PF00903	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB35716.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB36234.1	IPR000453	GO:0004107;GO:0009073	NA	NA	SSF103263	cd07304	G3DSA:3.60.150.10	PF01264	NA	KEGG: 00400+4.2.3.5|MetaCyc: PWY-6163	PS00788;PS00789	NA	NA	TIGR00033	PIRSF001456	NA	MF_00300
PTB44478.1	IPR013949	GO:0000462;GO:0030515;GO:0005515;GO:0006396	SM00386	NA	SSF48452	NA	G3DSA:1.25.40.10	PF08640	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA
PTB37859.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SM00906;SM00066	PS50048	SSF57701	cd00067;cd12148	G3DSA:4.10.240.10	PF00172;PF04082	mobidb-lite	NA	PS00463	NA	NA	NA	NA	NA	NA
PTB42709.1	IPR011583	GO:0008061;GO:0004553;GO:0005975	SM00636	NA	SSF51445	cd02871	G3DSA:3.20.20.80	PF00704	NA	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	PS01095	NA	NA	NA	NA	NA	NA
PTB43580.1	IPR021719	NA	NA	NA	NA	NA	G3DSA:3.30.10.10	PF11720	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45920.1	IPR001425	GO:0005216;GO:0006811;GO:0016020	SM01021	NA	SSF81321	cd15239	G3DSA:1.20.1070.10	PF01036	NA	NA	NA	NA	PR00251	NA	NA	NA	NA
PTB41757.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB40890.1	IPR001737	GO:0000154;GO:0000179;GO:0008649;GO:0006364	SM00650	PS51689	SSF53335	cd02440	G3DSA:1.10.8.480;G3DSA:3.40.50.150	PF00398	mobidb-lite	NA	NA	NA	NA	TIGR00755	NA	NA	NA
PTB38224.1	IPR011051	NA	NA	NA	SSF51182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB41326.1	IPR000254	GO:0005576;GO:0005975;GO:0030248;GO:0046373;GO:0046556	SM00236	PS51164;PS51257	SSF57180;SSF75005	cd08987	G3DSA:2.115.10.20	PF00734;PF03664	NA	KEGG: 00520+3.2.1.55	NA	NA	NA	NA	NA	NA	NA
PTB41524.1	IPR019603		NA	NA	NA	NA	NA	PF10642	NA	Reactome: R-HSA-1268020|Reactome: R-HSA-5205685	NA	NA	NA	NA	NA	NA	NA
PTB39322.1	IPR002347	NA	NA	NA	SSF51735	NA	G3DSA:3.40.50.720	PF00106	NA	NA	NA	NA	PR00081	NA	NA	NA	NA
PTB43512.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB38974.1	IPR036852	GO:0004252;GO:0006508	NA	NA	SSF52743	cd07491	G3DSA:3.40.50.200	PF00082	NA	NA	NA	NA	PR00723	NA	NA	NA	NA
PTB41499.1	IPR029058	GO:0003824	NA	NA	SSF53474	NA	G3DSA:3.40.50.1820	PF00561	NA	NA	NA	NA	PR00412	NA	NA	NA	NA
PTB35035.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SM00906;SM00066	PS50048	SSF57701	cd00067;cd12148	G3DSA:4.10.240.10	PF04082;PF00172	NA	NA	PS00463	NA	NA	NA	NA	NA	NA
PTB45391.1	IPR034652	GO:0003723;GO:0005047;GO:0005786;GO:0006614;GO:0008312;GO:0030942	NA	NA	NA	cd15481	G3DSA:1.10.3450.40	PF16969	mobidb-lite	Reactome: R-HSA-1799339	NA	NA	NA	NA	PIRSF038995	NA	NA
PTB35932.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB42569.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SM00066	PS50048	SSF57701	cd00067	G3DSA:4.10.240.10	PF00172	mobidb-lite	NA	PS00463	NA	NA	NA	NA	NA	NA
PTB39190.1	IPR036259	GO:0055085	NA	PS50850	SSF103473	cd17476	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	PF07690	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB43636.1	IPR021109	GO:0004190;GO:0006508	NA	PS51767	SSF50630	cd06097	G3DSA:2.40.70.10	PF00026	NA	NA	PS00141	NA	PR00792	NA	NA	NA	NA
PTB41865.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB38130.1	IPR021840	NA	NA	NA	NA	NA	NA	PF11915	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35963.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB36897.1	IPR007275	GO:0003723;GO:0003676	SM00360	PS50882	SSF54928	NA	G3DSA:3.10.590.10;G3DSA:3.30.70.330	PF04146	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35238.1	IPR014729	NA	NA	NA	NA	NA	G3DSA:3.40.50.620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB46300.1	IPR009053	GO:0006457;GO:0016272;GO:0051082	NA	NA	SSF46579	NA	G3DSA:1.10.287.370	PF01920	mobidb-lite	Reactome: R-HSA-389957	NA	Coil	NA	NA	PIRSF016477	NA	NA
PTB39536.1	IPR027417	GO:0005524;GO:0016887	SM00382	NA	SSF52540;SSF48403	cd00009	G3DSA:3.40.50.300;G3DSA:1.25.40.20	PF07728	NA	NA	NA	NA	PR00300	NA	NA	NA	NA
PTB44060.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB40908.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	SSF48264	NA	G3DSA:1.10.630.10	PF00067	NA	NA	NA	Coil	PR00463;PR00385	NA	NA	NA	NA
PTB39195.1	IPR014756	GO:0005094;GO:0005737	NA	NA	SSF81296	NA	G3DSA:2.70.50.30	PF02115	mobidb-lite	Reactome: R-HSA-194840	NA	NA	PR00492	NA	NA	NA	NA
PTB38566.1	IPR004882	GO:0003729;GO:0005685;GO:0006376	NA	NA	NA	NA	NA	PF03194	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB35367.1	IPR025714	NA	NA	NA	SSF53335	cd02440	G3DSA:3.40.50.150	PF13847	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB36242.1	IPR038271	GO:0016021;GO:0022857;GO:0055085;GO:0016020	NA	NA	NA	NA	G3DSA:1.10.4160.10	PF02133	NA	NA	NA	NA	NA	NA	PIRSF002744	NA	NA
PTB40407.1	IPR002641	GO:0006629	NA	PS51635	SSF52151	cd07199	G3DSA:3.40.1090.10	PF01734	NA	NA	PS00518	NA	NA	NA	NA	NA	NA
PTB38525.1	IPR008322	NA	NA	NA	NA	cd15488	G3DSA:3.40.50.12020;G3DSA:3.40.50.12030	PF06792	NA	NA	NA	Coil	NA	NA	PIRSF033271	NA	NA
PTB39746.1	IPR007255	GO:0017119	NA	NA	NA	NA	NA	PF04124	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	NA	NA	NA	NA	NA	NA	NA
PTB46397.1	IPR000569	GO:0004842;GO:0005515;GO:0006511;GO:0061630	SM00119;SM00239;SM00456	PS50020;PS50004;PS50237	SSF49562;SSF51045;SSF56204	cd00201;cd00078	G3DSA:3.30.2160.10;G3DSA:2.20.70.10;G3DSA:3.90.1750.10;G3DSA:3.30.2410.10;G3DSA:2.60.40.150	PF00397;PF00632;PF00168	mobidb-lite	MetaCyc: PWY-7511|Reactome: R-HSA-983168	PS01159	NA	NA	NA	PIRSF001569	NA	NA
PTB43503.1	IPR003721	GO:0004592;GO:0015940	NA	NA	SSF52374	cd00560	G3DSA:3.40.50.620;G3DSA:3.30.1300.10	PF02569	NA	KEGG: 00410+6.3.2.1|KEGG: 00770+6.3.2.1	NA	NA	NA	TIGR00018	NA	NA	MF_00158
PTB38209.1	IPR003819	GO:0016491;GO:0055114	NA	NA	SSF51197	NA	G3DSA:3.60.130.10	PF02668	NA	Reactome: R-HSA-71262	NA	NA	NA	NA	NA	NA	NA
PTB43779.1	IPR000322	GO:0004553;GO:0005975;GO:0003824;GO:0030246	NA	NA	SSF51011;SSF51445;SSF74650	cd14752;cd06602	G3DSA:2.60.40.1760;G3DSA:2.60.40.1180;G3DSA:3.20.20.80	PF01055;PF16863;PF13802	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB36631.1	IPR000182	GO:0008080	NA	NA	SSF55729	NA	G3DSA:3.40.630.30	PF13302	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB45629.1	IPR007197	GO:0003824;GO:0051536;GO:0008033;GO:0051539;GO:0010181	NA	PS50902	SSF52218;SSF102114	cd01335	G3DSA:3.20.20.70;G3DSA:3.40.50.360	PF04055;PF00258;PF08608	mobidb-lite	MetaCyc: PWY-7285|MetaCyc: PWY-7286|Reactome: R-HSA-6782861	NA	NA	NA	NA	NA	SFLDF00284;SFLDG01071	NA
PTB42175.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB42234.1	IPR013935		NA	NA	SSF51735	NA	NA	PF08626;PF00106	mobidb-lite	Reactome: R-HSA-204005|Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA
PTB46768.1	IPR036867	GO:0003676;GO:0003700;GO:0005634;GO:0006355;GO:0008270	SM00438;SM00393	PS51061	SSF82708	cd06008	G3DSA:3.30.1370.50	PF01424;PF01422	mobidb-lite	NA	PS01359	NA	NA	NA	NA	NA	NA
PTB42964.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB42816.1	IPR020084	GO:0016787	NA	PS51462	SSF55811	NA	G3DSA:3.90.79.10	PF00293	mobidb-lite	Reactome: R-HSA-2393930	PS00893	NA	PR00502	NA	NA	NA	NA
PTB44320.1	IPR000504	GO:0003676	SM00360	PS50102	SSF54928	NA	G3DSA:3.30.70.330	PF00076	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35917.1	IPR001031	GO:0009058;GO:0016788	NA	NA	SSF53474	NA	G3DSA:3.40.50.1820	PF00975	mobidb-lite	Reactome: R-HSA-75105	NA	NA	NA	NA	NA	NA	NA
PTB39064.1	IPR016477		NA	NA	SSF56112	NA	G3DSA:3.90.1200.10	PF03881	NA	Reactome: R-HSA-163841	NA	NA	NA	NA	NA	NA	NA
PTB44779.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PTB41123.1	IPR008984	GO:0005515	NA	PS50006	SSF49879	cd00060	G3DSA:2.60.200.20	PF00498	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB37462.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB37523.1	IPR024382	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	cd12148	G3DSA:4.10.240.10	PF12955	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB45344.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB43384.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB42380.1	IPR003819	GO:0016491;GO:0055114	NA	NA	SSF51197	NA	G3DSA:3.60.130.10	PF02668	NA	Reactome: R-HSA-71262	NA	NA	NA	NA	NA	NA	NA
PTB36143.1	IPR023213	GO:0016747;GO:0003824	NA	PS50075	SSF56801	cd04433;cd05938	G3DSA:3.30.559.10;G3DSA:3.40.50.12780;G3DSA:1.10.1200.10	PF02458;PF00501;PF00550;PF05141	mobidb-lite	Reactome: R-HSA-389661	PS00455	NA	NA	NA	NA	NA	NA
PTB44759.1	IPR006255	GO:0004149;GO:0006099;GO:0045252;GO:0016746	NA	PS50968	SSF52777;SSF51230	cd06849	G3DSA:2.40.50.100;G3DSA:3.30.559.10	PF00364;PF00198	mobidb-lite	KEGG: 00020+2.3.1.61|KEGG: 00310+2.3.1.61|KEGG: 00380+2.3.1.61|MetaCyc: PWY-5084|Reactome: R-HSA-389661|Reactome: R-HSA-71064|Reactome: R-HSA-71403	PS00189	NA	NA	TIGR01347	NA	NA	NA
PTB35527.1	IPR037550	GO:0030127;GO:0090114;GO:0006886;GO:0006888;GO:0008270	NA	NA	SSF81995;SSF81811;SSF82919;SSF53300;SSF82754	cd11287;cd01478	G3DSA:3.40.50.410;G3DSA:1.20.120.730;G3DSA:2.60.40.1670;G3DSA:3.40.20.10;G3DSA:2.30.30.380	PF04810;PF04815;PF00626;PF08033;PF04811	NA	Reactome: R-HSA-1655829|Reactome: R-HSA-204005|Reactome: R-HSA-2132295|Reactome: R-HSA-5694530|Reactome: R-HSA-983170	NA	NA	NA	NA	NA	NA	NA
PTB42321.1	IPR027795	NA	NA	NA	SSF55021	NA	G3DSA:3.30.2130.10	PF13840	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB44595.1	IPR036259	GO:0055085	NA	PS50850	SSF103473	cd17327	G3DSA:1.20.1250.20	PF07690	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB34748.1	NA	NA	NA	PS51257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB38909.1	IPR000456	GO:0003735;GO:0005840;GO:0006412	NA	NA	SSF64263	NA	G3DSA:3.90.1030.10	PF01196	mobidb-lite	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PS01167	NA	NA	TIGR00059	NA	NA	NA
PTB36102.1	IPR002129	GO:0016831;GO:0019752;GO:0030170;GO:0006520;GO:0003824	NA	NA	SSF53383	NA	G3DSA:3.90.1150.170;G3DSA:3.40.640.10	PF00282	NA	NA	NA	NA	PR00800	NA	NA	NA	NA
PTB39343.1	IPR000182	GO:0008080	NA	PS51186	SSF55729	cd04301	G3DSA:3.40.630.30	PF00583	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB44286.1	IPR008812	NA	NA	NA	NA	NA	NA	PF05508	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA
PTB42445.1	IPR009100	GO:0016627;GO:0055114	NA	NA	SSF56645;SSF47203	NA	G3DSA:2.40.110.10;G3DSA:1.20.140.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB42261.1	IPR013057	NA	NA	NA	NA	NA	NA	PF01490	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB34785.1	IPR036865	NA	SM00516;SM01100	PS50191	SSF46938;SSF52087	cd00170	G3DSA:3.40.525.10	PF03765;PF00650	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PTB44603.1	IPR002934	GO:0016779	NA	NA	SSF81301;SSF81631	cd05402	G3DSA:1.10.1410.10;G3DSA:3.30.460.10	PF01909;PF03828	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB35099.1	IPR000514	GO:0004553;GO:0005975	NA	NA	SSF51445	NA	G3DSA:3.20.20.80	PF01229	NA	Reactome: R-HSA-2024096|Reactome: R-HSA-2024101|Reactome: R-HSA-2206302	NA	NA	NA	NA	NA	NA	NA
PTB42266.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB40133.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
PTB38109.1	IPR012334	GO:0030599;GO:0042545	NA	NA	SSF51126	NA	G3DSA:2.160.20.10	PF01095	NA	KEGG: 00040+3.1.1.11|MetaCyc: PWY-7246|MetaCyc: PWY-7248	NA	NA	NA	NA	NA	NA	NA
PTB39113.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
