Gene	MobiDBLite	interpro	SMART	GO	PRINTS	Gene3D	CDD	ProSitePatterns	ProSiteProfiles	SUPERFAMILY	Pfam	Coils	PIRSF	PATHWAY	Hamap	TIGRFAM	SFLD
EGR50563.1	NA	IPR002891	NA	GO:0000103;GO:0004020;GO:0005524	NA	G3DSA:3.40.50.300	cd02027	NA	NA	SSF52540	PF01583	NA	NA	KEGG: 00230+2.7.1.25|KEGG: 00920+2.7.1.25|MetaCyc: PWY-5340|Reactome: R-HSA-174362|Reactome: R-HSA-2408550	MF_00065	TIGR00455	NA
EGR50250.1	NA	IPR009053	NA	GO:0006457;GO:0016272;GO:0051082	NA	G3DSA:1.10.287.370	NA	NA	NA	SSF46579	PF01920	Coil	NA	Reactome: R-HSA-389957	NA	NA	NA
EGR45096.1	NA	IPR009799	NA	NA	NA	NA	NA	NA	NA	SSF54909	PF07110	NA	NA	NA	NA	NA	NA
EGR50213.1	NA	IPR014001	SM00487;SM00490	GO:0003676;GO:0005524	NA	G3DSA:3.40.50.300	cd18046;cd18787	PS00039	PS51194;PS51192;PS51195	SSF52540	PF00270;PF00271	NA	NA	NA	NA	NA	NA
EGR44444.1	mobidb-lite	IPR027417	SM00129	GO:0003777;GO:0005524;GO:0007018;GO:0008017	PR00380	G3DSA:3.40.850.10	NA	PS00411	PS50067	SSF52540	PF00225	Coil	NA	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	NA	NA	NA
EGR50044.1	mobidb-lite	IPR001680	SM00320	GO:0005515	PR00320	G3DSA:2.130.10.10	NA	PS00678	PS50082;PS50294	SSF50978	PF00400	NA	NA	NA	NA	NA	NA
EGR52725.1	mobidb-lite	IPR000530	NA	GO:0003735;GO:0005840;GO:0006412	PR00972	G3DSA:3.30.1330.30	NA	PS01189	NA	SSF55315	PF01248	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA
EGR52622.1	mobidb-lite	IPR037237	NA	GO:0003824	NA	G3DSA:3.50.30.80	NA	PS00886	NA	SSF143975;SSF52016	PF00920	Coil	NA	KEGG: 00290+4.2.1.9|KEGG: 00770+4.2.1.9|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-7111	NA	NA	NA
EGR45334.1	NA	IPR008427	SM00747	NA	NA	NA	NA	NA	NA	NA	PF05730	NA	NA	NA	NA	NA	NA
EGR52080.1	mobidb-lite	IPR018562	NA	NA	NA	NA	NA	NA	NA	NA	PF09441	NA	NA	NA	NA	NA	NA
EGR45365.1	NA	IPR029058	NA	GO:0016787	NA	NA	NA	NA	NA	SSF53474	PF07859	NA	NA	NA	NA	NA	NA
EGR48393.1	NA	IPR020683	NA	GO:0005515	NA	G3DSA:1.25.40.20	NA	NA	PS50297;PS50088	SSF48403	NA	NA	NA	NA	NA	NA	NA
EGR50082.1	NA	IPR026891	SM01217	GO:0004553;GO:0005975	PR00133	G3DSA:2.60.40.10;G3DSA:3.40.50.1700;G3DSA:3.20.20.300	NA	NA	NA	SSF52279;SSF51445	PF14310;PF01915;PF00933	NA	NA	NA	NA	NA	NA
EGR48152.1	mobidb-lite	IPR015424	NA	GO:0004351;GO:0006536;GO:0030170;GO:0016831;GO:0019752;GO:0003824	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.160	NA	NA	NA	SSF53383	PF00282	NA	NA	KEGG: 00250+4.1.1.15|KEGG: 00410+4.1.1.15|KEGG: 00430+4.1.1.15|KEGG: 00650+4.1.1.15|MetaCyc: PWY-4321	NA	TIGR01788	NA
EGR48584.1	mobidb-lite	NA	NA	NA	NA	G3DSA:2.60.120.620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47355.1	mobidb-lite	IPR011598	SM00353	GO:0046983;GO:0032933;GO:0045944	NA	G3DSA:4.10.280.10	cd00083	NA	PS50888	SSF47459	PF00010;PF09427	Coil	NA	NA	NA	NA	NA
EGR44778.1	NA	IPR002347	SM00822	NA	PR00081	G3DSA:3.40.50.720	cd05233	NA	NA	SSF51735	PF00106	NA	NA	NA	NA	NA	NA
EGR51225.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51854.1	mobidb-lite	IPR001849	SM00233	GO:0005515;GO:0005543;GO:0005938;GO:0032065	NA	NA	cd06503;cd13365	NA	PS50003	SSF50729	PF12814	Coil	NA	NA	NA	NA	NA
EGR49233.1	mobidb-lite	IPR036465	SM00327		NA	G3DSA:3.40.50.410	NA	NA	PS50234	SSF53300;SSF51294	PF14623;PF00092;PF14624	NA	NA	Reactome: R-HSA-373080|Reactome: R-HSA-5358346|Reactome: R-HSA-5362798|Reactome: R-HSA-5632681|Reactome: R-HSA-5632684|Reactome: R-HSA-5635838|Reactome: R-HSA-5658034	NA	NA	NA
EGR46662.1	mobidb-lite	IPR002999	SM00333;SM00318	GO:0016442;GO:0031047	NA	G3DSA:2.40.50.90;G3DSA:2.30.30.140	cd00175;cd04508	NA	PS50304;PS50830	SSF50199;SSF63748	PF00567;PF00565	Coil	PIRSF017179	Reactome: R-HSA-6802952	NA	NA	NA
EGR47638.1	mobidb-lite	IPR036259	NA	NA	NA	G3DSA:1.20.1250.20	cd17483	NA	NA	SSF103473	PF11700	NA	NA	NA	NA	NA	NA
EGR49692.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49463.1	NA	IPR025733	NA	GO:0003993;GO:0046872;GO:0016787	NA	G3DSA:2.60.40.380;G3DSA:3.60.21.10	cd00839	NA	NA	SSF56300;SSF49363	PF14008;PF16656;PF00149	NA	NA	NA	NA	NA	NA
EGR44274.1	NA	IPR014013	SM00491;SM00488	GO:0005524;GO:0003677;GO:0003678;GO:0005634;GO:0006289;GO:0016818;GO:0003676;GO:0004386;GO:0006139	PR00852	G3DSA:3.40.50.300	cd18788;cd17969	NA	PS51193	SSF52540	PF06777;PF13307;PF06733	Coil	NA	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167246|Reactome: R-HSA-2564830|Reactome: R-HSA-427413|Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-72086|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-73863|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-77075	NA	TIGR00604	NA
EGR52927.1	NA	IPR011333	SM00225	GO:0005515	NA	G3DSA:3.30.710.10	cd18186	NA	PS50097	SSF54695	PF00651	Coil	NA	NA	NA	NA	NA
EGR51698.1	NA	IPR011048	NA	GO:0005515	NA	G3DSA:2.130.10.10	NA	NA	NA	SSF51004	PF10282	NA	NA	NA	NA	NA	NA
EGR50700.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44417.1	NA	IPR020946	NA	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	G3DSA:3.50.50.60	NA	NA	NA	SSF51905	PF00743	NA	NA	NA	NA	NA	NA
EGR46706.1	mobidb-lite	IPR007502	SM00847;SM00487;SM00490	GO:0004386;GO:0003676;GO:0005524	NA	G3DSA:3.40.50.300;G3DSA:1.20.120.1080	cd18791;cd17917	NA	PS51192;PS51194	SSF52540	PF04408;PF00271;PF07717;PF00270	Coil	NA	NA	NA	NA	NA
EGR51370.1	NA	IPR004827	NA	GO:0003700;GO:0006355	NA	NA	cd14688	PS00036	NA	SSF57959	NA	Coil	NA	NA	NA	NA	NA
EGR51979.1	NA	IPR011171	SM00102	GO:0034316;GO:0071933;GO:0003779	NA	G3DSA:3.40.20.10	cd11283	NA	PS51263	SSF55753	PF00241	NA	NA	NA	NA	NA	NA
EGR50067.1	NA	IPR015131	NA	GO:0005576;GO:0009405	NA	G3DSA:3.30.430.10	NA	NA	NA	SSF55221	PF09044	NA	NA	NA	NA	NA	NA
EGR52550.1	NA	IPR004001	SM00268	NA	PR00190	G3DSA:3.90.640.10;G3DSA:3.30.420.40	cd00012	PS00432;PS00406;PS01132	NA	SSF53067	PF00022	NA	NA	NA	NA	NA	NA
EGR48956.1	mobidb-lite	IPR037520	NA	NA	NA	NA	NA	NA	PS51834	NA	PF11704	Coil	NA	NA	NA	NA	NA
EGR45667.1	NA	IPR002347	NA	NA	PR00080;PR00081	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	PF00106	NA	NA	NA	NA	NA	NA
EGR45697.1	mobidb-lite	IPR011016	SM00744	GO:0008270	NA	G3DSA:3.30.40.10	cd16702	NA	PS51292	SSF57850	PF12906	NA	NA	MetaCyc: PWY-7511	NA	NA	NA
EGR44388.1	mobidb-lite	IPR034922	SM00479	NA	NA	NA	cd06145	NA	NA	SSF53098	NA	Coil	NA	NA	NA	NA	NA
EGR45999.1	mobidb-lite	IPR013087	SM00355	GO:0003676	PR01217	G3DSA:3.30.160.60	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52716.1	NA	IPR001910	NA	NA	NA	G3DSA:3.90.245.10	NA	NA	NA	SSF53590	PF01156	NA	NA	NA	NA	NA	NA
EGR51921.1	mobidb-lite	IPR001752	SM00129	GO:0003777;GO:0005524;GO:0007018;GO:0008017	PR00380	G3DSA:3.40.850.10	cd01369	PS00411	PS50067	SSF52540	PF00225	Coil	NA	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	NA	NA	NA
EGR48562.1	NA	IPR006689	SM00178;SM00177	GO:0005525;GO:0006886	PR00328	G3DSA:3.40.50.300	cd00879	NA	PS51422	SSF52540	PF00025	NA	NA	NA	NA	TIGR00231	NA
EGR49776.1	NA	IPR007219	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	cd12148	NA	NA	NA	PF04082	Coil	NA	NA	NA	NA	NA
EGR52038.1	NA	IPR016158	SM00182;SM00884	GO:0006511;GO:0031461;GO:0031625	NA	G3DSA:1.10.10.2620;G3DSA:1.20.1310.10;G3DSA:1.10.10.10	NA	PS01256	PS50069	SSF75632;SSF74788;SSF46785	PF00888;PF10557	Coil	NA	Reactome: R-HSA-8951664	NA	NA	NA
EGR49703.1	NA	IPR013783	SM01217	GO:0004553;GO:0005975	PR00133	G3DSA:2.60.40.10;G3DSA:3.40.50.1700;G3DSA:3.20.20.300	NA	NA	NA	SSF51445;SSF52279	PF00933;PF01915;PF14310	NA	NA	NA	NA	NA	NA
EGR46200.1	NA	IPR013149	SM00829	GO:0055114;GO:0016491	NA	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	NA	NA	SSF50129;SSF51735	PF00107	NA	NA	NA	NA	NA	NA
EGR50172.1	NA	IPR019842	NA	GO:0004846;GO:0006144;GO:0055114	PR00093	G3DSA:3.10.270.10	cd00445	PS00366	NA	SSF55620	PF01014	NA	PIRSF000241	KEGG: 00230+1.7.3.3|KEGG: 00232+1.7.3.3|MetaCyc: PWY-5691	NA	TIGR03383	NA
EGR45013.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47039.1	NA	IPR004841	NA	GO:0016020;GO:0055085;GO:0022857	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	PF00324	NA	PIRSF006060	NA	NA	NA	NA
EGR47562.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45222.1	mobidb-lite	IPR021858	NA	NA	NA	NA	NA	NA	NA	NA	PF11951	NA	NA	NA	NA	NA	NA
EGR45926.1	mobidb-lite	IPR032675	NA	NA	NA	G3DSA:3.80.10.10	NA	NA	NA	SSF52047	NA	Coil	NA	NA	NA	NA	NA
EGR46258.1	mobidb-lite	IPR016715	NA	GO:0003847;GO:0016042	NA	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	PF03403	NA	PIRSF018169	KEGG: 00565+3.1.1.47	NA	NA	NA
EGR52196.1	NA	IPR007676	NA	GO:0004579;GO:0005783;GO:0006486;GO:0016021	NA	NA	NA	NA	NA	NA	PF04597	NA	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-446203	NA	NA	NA
EGR53057.1	NA	IPR001494	SM00913	GO:0006886;GO:0008536	NA	G3DSA:1.25.10.10	NA	NA	PS50166;PS50077	SSF48371	PF03810;PF13513	NA	NA	NA	NA	NA	NA
EGR48433.1	NA	IPR000845	NA	GO:0003824;GO:0009116	NA	NA	cd09008	NA	NA	SSF53167	PF01048	NA	NA	NA	NA	NA	NA
EGR51393.1	NA	IPR017141	NA	GO:0004181;GO:0016787;GO:0006508;GO:0008237	NA	G3DSA:3.40.630.10	cd05674	PS00758	NA	SSF53187;SSF55031	PF01546;PF07687	NA	PIRSF037217	NA	NA	NA	NA
EGR49755.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR52662.1	mobidb-lite	IPR007219	SM00906	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	G3DSA:4.10.240.10	cd00067;cd12148	NA	NA	NA	PF04082	Coil	NA	NA	NA	NA	NA
EGR52974.1	NA	IPR012334	NA	NA	NA	G3DSA:2.160.20.10	NA	NA	NA	SSF51126	PF12708	NA	NA	NA	NA	NA	NA
EGR47759.1	NA	IPR016295	NA	GO:0004298;GO:0004175;GO:0005839;GO:0051603	NA	G3DSA:3.60.20.10	cd03760	PS00854	PS51476	SSF56235	PF00227	NA	PIRSF001213	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA
EGR47884.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	SSF103481	NA	NA	NA	NA	NA	NA	NA
EGR52423.1	NA	IPR002872	NA		NA	G3DSA:3.20.20.220	NA	NA	NA	SSF51730	PF01619	NA	NA	KEGG: 00330+1.5.5.2|MetaCyc: PWY-5737|MetaCyc: PWY-6922|Reactome: R-HSA-70688	NA	NA	NA
EGR51618.1	mobidb-lite	IPR011990	SM00671	GO:0005515	NA	G3DSA:1.25.40.10	NA	NA	NA	SSF81901	PF08238	NA	NA	NA	NA	NA	NA
EGR49501.1	NA	IPR036188	NA	GO:0016491;GO:0055114	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.10	NA	NA	NA	SSF51905	PF01266	NA	NA	NA	NA	NA	NA
EGR46611.1	mobidb-lite	IPR029058	NA	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA
EGR49109.1	mobidb-lite	IPR022210	NA	NA	NA	NA	NA	NA	NA	NA	PF12550	Coil	NA	NA	NA	NA	NA
EGR49697.1	NA	IPR017972	NA	GO:0016705;GO:0055114;GO:0005506;GO:0020037	PR00385;PR00463	G3DSA:1.10.630.10	NA	PS00086	NA	SSF48264	PF00067	NA	NA	NA	NA	NA	NA
EGR48019.1	mobidb-lite	IPR002642	SM00022	GO:0004620;GO:0009395	NA	G3DSA:3.40.1090.10	cd00147	NA	PS51210	SSF52151	PF01735	Coil	NA	Reactome: R-HSA-1482788|Reactome: R-HSA-1482801|Reactome: R-HSA-1482839|Reactome: R-HSA-1482922|Reactome: R-HSA-1483115	NA	NA	NA
EGR48839.1	mobidb-lite	IPR029004	NA	NA	NA	G3DSA:3.30.390.110	NA	NA	NA	NA	PF01778	NA	NA	NA	NA	NA	NA
EGR52898.1	NA	IPR036188	NA	GO:0071949	PR00420	G3DSA:3.30.9.30;G3DSA:3.50.50.60	NA	NA	NA	SSF51905	PF01494	NA	NA	NA	NA	NA	NA
EGR50192.1	mobidb-lite	IPR020915	NA	NA	NA	G3DSA:2.40.160.20	NA	NA	NA	NA	PF11578	NA	NA	NA	NA	NA	NA
EGR45418.1	mobidb-lite	IPR004827	NA	GO:0003700;GO:0006355	NA	NA	cd14688	PS00036	NA	SSF57959	NA	NA	NA	NA	NA	NA	NA
EGR46884.1	NA	IPR036291	NA	NA	PR00081	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	PF00106	NA	NA	NA	NA	NA	NA
EGR46792.1	mobidb-lite	IPR012677	NA	NA	NA	G3DSA:3.30.70.330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47594.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR45817.1	mobidb-lite	IPR017870	NA	GO:0005198;GO:0051536;GO:0097428	NA	G3DSA:2.60.300.12	NA	PS01152	NA	SSF89360	PF01521	NA	NA	Reactome: R-HSA-1362409	NA	TIGR00049	NA
EGR49358.1	mobidb-lite	IPR018303	NA	GO:0016021;GO:0000166;GO:0000287;GO:0005524;GO:0015914;GO:0140326	PR00119	G3DSA:1.20.1110.10;G3DSA:2.70.150.10;G3DSA:3.40.50.1000;G3DSA:2.70.150.20;G3DSA:3.40.1110.10	cd02073	PS00154	NA	SSF81665;SSF81653;SSF56784;SSF81660	PF16212;PF13246;PF16209;PF00122	NA	NA	Reactome: R-HSA-936837	NA	TIGR01494;TIGR01652	SFLDG00002;SFLDF00027
EGR52934.1	NA	IPR002740	NA	NA	NA	G3DSA:3.10.590.10	NA	NA	NA	SSF88697	PF01878	NA	NA	NA	NA	NA	NA
EGR45397.1	NA	IPR005850	NA	GO:0006012;GO:0008108;GO:0008270;GO:0033499	NA	G3DSA:3.30.428.10	cd00608	PS00117	NA	SSF54197	PF02744;PF01087	NA	PIRSF000808	KEGG: 00052+2.7.7.12|KEGG: 00520+2.7.7.12|MetaCyc: PWY-6317|MetaCyc: PWY-6527|Reactome: R-HSA-5609978|Reactome: R-HSA-70370	NA	TIGR00209	NA
EGR46454.1	NA	IPR001063	NA	GO:0003735;GO:0005840;GO:0006412;GO:0015934	NA	G3DSA:3.90.470.10	cd00336	PS00464	NA	SSF54843	PF00237	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	TIGR01038	NA
EGR50569.1	NA	IPR035991	SM01085	GO:0005956;GO:0019887	PR00472	G3DSA:1.10.1820.10;G3DSA:2.20.25.20	NA	PS01101	NA	SSF57798	PF01214	NA	NA	Reactome: R-HSA-1483191|Reactome: R-HSA-201688|Reactome: R-HSA-2514853|Reactome: R-HSA-445144|Reactome: R-HSA-6798695|Reactome: R-HSA-6804756|Reactome: R-HSA-6814122|Reactome: R-HSA-8934903|Reactome: R-HSA-8939243|Reactome: R-HSA-8948751	NA	NA	NA
EGR45576.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48173.1	NA	IPR007274	NA	GO:0005375;GO:0016021;GO:0035434	NA	NA	NA	NA	NA	NA	PF04145	NA	NA	NA	NA	NA	NA
EGR49099.1	mobidb-lite	IPR018130	NA	GO:0003735;GO:0005840;GO:0006412;GO:0015935	PR00395	G3DSA:3.40.50.10490	cd01425	PS00962	NA	SSF52313	PF00318	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	MF_00291_B	TIGR01011	NA
EGR49464.1	mobidb-lite	IPR007219	SM00906	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	cd14654;cd12148	NA	NA	NA	PF04082	Coil	NA	NA	NA	NA	NA
EGR44990.1	NA	IPR021276	NA	NA	NA	NA	NA	NA	NA	NA	PF11017	NA	NA	NA	NA	NA	NA
EGR45642.1	NA	IPR004871	NA	GO:0003676;GO:0005634;GO:0005515	NA	G3DSA:2.130.10.10	NA	NA	NA	NA	PF10433;PF03178	NA	NA	NA	NA	NA	NA
EGR48313.1	mobidb-lite	IPR024324	NA	GO:0000278;GO:0005634;GO:0030261	NA	G3DSA:1.25.10.10	NA	NA	NA	SSF48371	PF12922;PF12717	NA	PIRSF017127	Reactome: R-HSA-2514853	NA	NA	NA
EGR52065.1	mobidb-lite	IPR039481	NA		NA	NA	NA	NA	NA	NA	PF15469	Coil	NA	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	NA	NA	NA
EGR50212.1	NA	IPR003953	NA	GO:0016491;GO:0055114;GO:0006099;GO:0016627;GO:0050660;GO:0022900	NA	G3DSA:3.50.50.60;G3DSA:4.10.80.40;G3DSA:3.90.700.10;G3DSA:1.20.58.100	NA	PS00504	NA	SSF51905;SSF56425;SSF46977	PF00890;PF02910	NA	PIRSF000171	Reactome: R-HSA-611105|Reactome: R-HSA-71403	NA	TIGR01816;TIGR01812	NA
EGR51163.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR47972.1	mobidb-lite	IPR001965	SM00249;SM00545;SM00558		NA	G3DSA:3.30.40.10;G3DSA:2.60.120.650	cd15571	NA	PS51184;PS51805;PS51183	SSF51197	PF02375;PF02373;PF13832	Coil	NA	Reactome: R-HSA-3214842	NA	NA	NA
EGR45793.1	NA	IPR036291	NA	NA	PR00081;PR00080	G3DSA:3.40.50.720	cd05374	NA	NA	SSF51735	PF00106	Coil	NA	NA	NA	NA	NA
EGR45004.1	NA	IPR012990	NA	GO:0030127;GO:0090114;GO:0006886;GO:0006888;GO:0008270	NA	G3DSA:3.40.20.10;G3DSA:1.20.120.730;G3DSA:2.30.30.380;G3DSA:2.60.40.1670;G3DSA:3.40.50.410	cd11287;cd01478	NA	NA	SSF81995;SSF81811;SSF82754;SSF53300;SSF82919	PF08033;PF04810;PF04811;PF04815;PF00626	NA	NA	Reactome: R-HSA-1655829|Reactome: R-HSA-204005|Reactome: R-HSA-2132295|Reactome: R-HSA-5694530|Reactome: R-HSA-983170	NA	NA	NA
EGR46447.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49807.1	NA	IPR036612	NA	GO:0003723	NA	G3DSA:2.40.50.140;G3DSA:3.30.1370.10	NA	NA	NA	SSF54791;SSF50249	PF15985;PF18311	NA	NA	NA	NA	NA	NA
EGR49820.1	NA	IPR011032	SM00883	GO:0006457;GO:0005524	PR00297	G3DSA:2.30.33.40	cd00320	PS00681	NA	SSF50129	PF00166	NA	NA	NA	MF_00580	NA	NA
EGR45338.1	NA	IPR006411	NA	GO:0004332;GO:0006096;GO:0005975;GO:0008270;GO:0016832;GO:0003824	NA	G3DSA:3.20.20.70	cd00946	PS00806;PS00602	NA	SSF51569	PF01116	NA	PIRSF001359	KEGG: 00010+4.1.2.13|KEGG: 00030+4.1.2.13|KEGG: 00051+4.1.2.13|KEGG: 00680+4.1.2.13|KEGG: 00710+4.1.2.13|MetaCyc: PWY-1042|MetaCyc: PWY-1861|MetaCyc: PWY-5484|MetaCyc: PWY-6142|MetaCyc: PWY-7385	NA	TIGR01520;TIGR00167	NA
EGR45677.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR44612.1	mobidb-lite	IPR016636	NA	GO:0003865;GO:0008202;GO:0016020;GO:0055114;GO:0006629;GO:0016627	NA	NA	NA	NA	PS50244	NA	PF02544	NA	PIRSF015596	KEGG: 00140+1.3.1.22|KEGG: 00905+1.3.1.22|MetaCyc: PWY-6032|MetaCyc: PWY-7455|Reactome: R-HSA-193048	NA	NA	NA
EGR48820.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR48031.1	mobidb-lite	IPR007219	SM00906	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	cd12148	NA	NA	NA	PF04082	NA	NA	NA	NA	NA	NA
EGR52346.1	mobidb-lite	IPR017877	SM00717	GO:0003677	NA	G3DSA:1.10.10.60	cd00167	NA	PS50090;PS51294	SSF46689	PF00249	NA	NA	NA	NA	NA	NA
EGR48049.1	mobidb-lite	IPR017853	NA	NA	NA	G3DSA:3.20.20.80	NA	NA	NA	SSF51445	NA	NA	NA	NA	NA	NA	NA
EGR51780.1	mobidb-lite	IPR001138	SM00066;SM00906	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	G3DSA:4.10.240.10	cd12148;cd00067	NA	PS50048	SSF57701	PF04082;PF00172	NA	NA	NA	NA	NA	NA
EGR51855.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR51152.1	NA	IPR011701	NA	GO:0055085	NA	NA	cd17323	NA	NA	SSF103473	PF07690	NA	NA	NA	NA	NA	NA
EGR53066.1	mobidb-lite	IPR001841	SM00184	GO:0008270	NA	G3DSA:3.30.40.10	NA	NA	PS50089	SSF57850	PF12678	NA	NA	Reactome: R-HSA-8951664|Reactome: R-HSA-983168	NA	NA	NA
EGR44512.1	mobidb-lite	IPR036866	NA	NA	NA	G3DSA:3.60.15.10	NA	NA	NA	SSF56281	PF12706	NA	NA	NA	NA	NA	NA
EGR44901.1	mobidb-lite	IPR037231	NA	GO:0005634;GO:0006334	NA	G3DSA:3.30.1120.90	NA	NA	NA	SSF143113	PF00956	Coil	NA	NA	NA	NA	NA
