Gene	interpro	GO	Pfam	SUPERFAMILY	Gene3D	ProSitePatterns	MobiDBLite	ProSiteProfiles	Coils	PRINTS	PATHWAY	CDD	Hamap	SMART	TIGRFAM	PIRSF	SFLD
RFU79430.1	IPR004886	NA	PF03198	SSF51445	G3DSA:3.20.20.80	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72840.1	IPR036638	GO:0046983	PF00010	SSF47459	G3DSA:4.10.280.10	NA	mobidb-lite	PS50888	Coil	NA	NA	cd00083	NA	SM00353	NA	NA	NA
RFU80683.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	G3DSA:4.10.240.10	NA	mobidb-lite	NA	Coil	NA	NA	cd12148	NA	NA	NA	NA	NA
RFU78227.1	IPR012319	GO:0003684;GO:0003906;GO:0006284;GO:0008270;GO:0016799;GO:0003676;GO:0006289	PF01149;PF06831	SSF46946;SSF81624	G3DSA:1.10.8.50;G3DSA:3.20.190.10	NA	mobidb-lite	PS51068	NA	NA	Reactome: R-HSA-110328|Reactome: R-HSA-110329	cd08972	NA	SM00898;SM01232	NA	NA	NA
RFU78328.1	IPR002293	GO:0016020;GO:0022857;GO:0055085;GO:0006865;GO:0016021	PF00324	NA	G3DSA:1.20.1740.10	PS00218	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF006060	NA
RFU73957.1	IPR014013	GO:0005524;GO:0003678;GO:0016818;GO:0003676;GO:0004386;GO:0006139;GO:0003677	PF13307;PF06733	NA	G3DSA:3.40.50.300	NA	mobidb-lite	PS51193	Coil	NA	NA	cd17968;cd18788	NA	SM00488;SM00491	TIGR00604	NA	NA
RFU79390.1	IPR002347	GO:0016491	PF00106	SSF51735	G3DSA:3.40.50.720	PS00061	NA	NA	NA	PR00081	NA	cd05325	NA	NA	NA	NA	NA
RFU80528.1	IPR019183	NA	PF09797	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU79777.1	IPR004886	NA	PF03198	SSF51445	G3DSA:3.20.20.80	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73351.1	IPR022198	NA	PF12520	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81160.1	IPR004841	GO:0016020;GO:0055085;GO:0006865;GO:0016021;GO:0022857	PF00324	NA	G3DSA:1.20.1740.10	PS00218	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	PIRSF006060	NA
RFU73628.1	IPR013154	GO:0055114;GO:0016491;GO:0008270	PF08240;PF00107	SSF50129;SSF51735	G3DSA:3.40.50.720;G3DSA:3.90.180.10	PS00059	NA	NA	NA	NA	Reactome: R-HSA-71384	cd05285	NA	SM00829	NA	NA	NA
RFU81127.1	IPR008427	NA	PF05730	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72529.1	IPR007763	GO:0008137;GO:0009055;GO:0016020	PF05071	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-6799198	NA	NA	NA	NA	NA	NA
RFU76100.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81123.1	IPR002347	NA	PF00106	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA
RFU81265.1	IPR036291	NA	PF13561	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80309.1	IPR000467	GO:0003676	PF12457;PF01585;PF07842	NA	NA	NA	mobidb-lite	PS50174	Coil	NA	Reactome: R-HSA-72163	NA	NA	SM00443	NA	NA	NA
RFU81924.1	IPR000425	GO:0015267;GO:0016020;GO:0055085	PF00230	SSF81338	G3DSA:1.20.1080.10	PS00221	NA	NA	NA	PR00783	Reactome: R-HSA-432047	cd00333	NA	NA	TIGR00861	NA	NA
RFU79548.1	IPR016036	GO:0016740;GO:0031177;GO:0003824;GO:0009058;GO:0016788	PF00975;PF00550;PF16073;PF02801;PF14765;PF00698;PF00109	SSF55048;SSF52151;SSF47336;SSF53474;SSF53901	G3DSA:3.40.366.10;G3DSA:3.40.50.1820;G3DSA:3.40.47.10;G3DSA:1.10.1200.10;G3DSA:3.30.70.3290;G3DSA:3.30.70.250;G3DSA:3.10.129.110	PS00606;PS00012	mobidb-lite	PS50075	NA	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	cd00833	NA	SM00823;SM00827;SM00825	TIGR04532	NA	NA
RFU77679.1	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	PF00067	SSF48264	G3DSA:1.10.630.10	PS00086	NA	NA	NA	PR00463;PR00385	NA	NA	NA	NA	NA	NA	NA
RFU79037.1	IPR000530	GO:0003735;GO:0005840;GO:0006412	PF01248	SSF55315	G3DSA:3.30.1330.30	PS01189	mobidb-lite	NA	NA	PR00972	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA
RFU79896.1	IPR036241	GO:0005515	PF00789;PF14555;PF08059	SSF102848;SSF46934;SSF54236	G3DSA:1.10.8.10;G3DSA:3.30.420.210;G3DSA:3.10.20.90	NA	mobidb-lite	PS50033;PS51399	NA	NA	NA	cd01770	NA	SM00553	NA	NA	NA
RFU82151.1	IPR019791	GO:0004601;GO:0006979;GO:0020037;GO:0055114;GO:0016491;GO:0005506;GO:0016705	PF03098	SSF48113;SSF48264	G3DSA:1.10.640.10;G3DSA:1.10.630.10	NA	NA	PS50292	NA	PR00457	KEGG: 00591+1.13.11.60	cd09817	NA	NA	NA	NA	NA
RFU73127.1	IPR013786	GO:0016627;GO:0050660;GO:0055114	PF02771;PF00441;PF00173;PF02770	SSF47203;SSF56645;SSF55856	G3DSA:1.20.140.10;G3DSA:3.10.120.10;G3DSA:1.10.540.10;G3DSA:2.40.110.10	NA	mobidb-lite	PS50255	NA	PR00363	NA	NA	NA	SM01117	NA	NA	NA
RFU81768.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76785.1	IPR011701	GO:0055085	PF07690	SSF103473	G3DSA:1.20.1250.20	NA	mobidb-lite	PS50850	NA	NA	NA	cd17325	NA	NA	NA	NA	NA
RFU78444.1	IPR008928	GO:0003824;GO:0008496;GO:0016052	PF03663	SSF48208	G3DSA:1.50.10.20	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF016302	NA
RFU77291.1	IPR008030		PF05368	SSF51735	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA
RFU76454.1	IPR036291	NA	PF00106	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73060.1	IPR000467	GO:0003676;GO:0006397	PF07713;PF01585	SSF54695	NA	NA	mobidb-lite	PS50174	NA	NA	NA	cd18317	NA	SM00443	NA	NA	NA
RFU78529.1	IPR027417	GO:0004386;GO:0005524	PF02689	SSF52540	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	cd18809	NA	NA	NA	NA	NA
RFU75007.1	IPR006762	GO:0005525	PF04670	SSF52540	G3DSA:3.30.450.190;G3DSA:3.40.50.300	NA	NA	NA	NA	NA	Reactome: R-HSA-1632852|Reactome: R-HSA-165159|Reactome: R-HSA-166208|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-8943724|Reactome: R-HSA-9639288	cd11385	NA	NA	NA	NA	NA
RFU81081.1	IPR013085	GO:0008270;GO:0003676	PF06220	SSF57667	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	SM00451	NA	NA	NA
RFU72402.1	NA	NA	NA	SSF57850	G3DSA:1.20.120.1750	NA	NA	PS51873	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80154.1	IPR006094	GO:0016491;GO:0050660;GO:0055114;GO:0071949	PF01565	SSF56176	G3DSA:3.30.465.40	NA	NA	PS51387	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU77500.1	IPR006175	GO:0016491;GO:0055114	PF01042;PF01593	SSF51905;SSF54373;SSF55298	G3DSA:3.50.50.60;G3DSA:3.90.660.10;G3DSA:3.30.1330.40;G3DSA:1.10.405.10	NA	NA	NA	NA	PR00757	Reactome: R-HSA-8849175	cd00448	NA	NA	NA	NA	NA
RFU73704.1	NA	NA	NA	NA	G3DSA:3.30.160.60	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75359.1	IPR036291		PF04321	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	Reactome: R-HSA-156581|Reactome: R-HSA-5689880	cd05254	NA	NA	NA	NA	NA
RFU80689.1	IPR036188	GO:0009058;GO:0016742;GO:0016491;GO:0055114	PF01266;PF00551	SSF51905;SSF53328	G3DSA:3.50.50.60;G3DSA:3.30.9.10;G3DSA:3.40.50.12230	NA	NA	NA	NA	NA	KEGG: 00670+2.1.2.9|KEGG: 00970+2.1.2.9	cd08653	NA	NA	NA	NA	NA
RFU74731.1	IPR029752	GO:0051287;GO:0055114;GO:0016616	PF02826;PF00389	SSF52283;SSF51735	G3DSA:3.40.50.720	PS00065	NA	NA	NA	NA	NA	cd12168	NA	NA	NA	NA	NA
RFU78753.1	IPR005061	GO:0015031	PF03398	NA	G3DSA:1.20.1260.60	NA	mobidb-lite	NA	NA	NA	Reactome: R-HSA-6798695	NA	NA	NA	NA	NA	NA
RFU81847.1	IPR017927	GO:0016491;GO:0055114;GO:0048037;GO:0005887;GO:0015079;GO:0071805	PF16944	SSF63380;SSF52343	G3DSA:2.40.30.10;G3DSA:3.40.50.80;G3DSA:2.30.110.10	NA	mobidb-lite	PS51384	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76776.1	IPR036322	GO:0005515	PF00400	SSF50978	G3DSA:2.130.10.10	NA	mobidb-lite	PS50294;PS50082	NA	NA	NA	NA	NA	SM00320	NA	NA	NA
RFU75271.1	IPR011607	GO:0003937;GO:0004643;GO:0006164;GO:0003824	PF02142;PF01808	SSF52335;SSF53927	G3DSA:1.10.287.440;G3DSA:3.40.50.1380;G3DSA:3.40.140.20	NA	NA	PS51855	NA	NA	KEGG: 00230+3.5.4.10+2.1.2.3|KEGG: 00670+2.1.2.3|MetaCyc: PWY-6123|MetaCyc: PWY-6124|MetaCyc: PWY-7234|Reactome: R-HSA-73817	cd01421	MF_00139	SM00851;SM00798	TIGR00355	PIRSF000414	NA
RFU75300.1	IPR002347	NA	PF00106	SSF51735	G3DSA:3.40.50.720	NA	NA	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA
RFU78018.1	IPR000569	GO:0004842	PF00632;PF14377;PF06025;PF06012	SSF56204;SSF48371	G3DSA:3.90.1750.10;G3DSA:3.30.2160.10;G3DSA:3.30.2410.10	NA	mobidb-lite	PS50237	Coil	NA	MetaCyc: PWY-7511|Reactome: R-HSA-983168	cd00078	NA	SM00119	NA	NA	NA
RFU74739.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78108.1	IPR036188	GO:0016614;GO:0055114;GO:0050660	PF05199;PF00732	SSF51905;SSF54373	G3DSA:3.30.560.10;G3DSA:3.50.50.60	PS00624	NA	NA	NA	NA	Reactome: R-HSA-6798163	NA	NA	NA	NA	PIRSF000137	NA
RFU81244.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73603.1	IPR007230	GO:0005643;GO:0006913;GO:0017056	PF04096;PF12110;PF13634	SSF82215	G3DSA:1.25.40.690;G3DSA:3.30.1610.10	NA	mobidb-lite	PS51434	Coil	NA	Reactome: R-HSA-1169408|Reactome: R-HSA-141444|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5619107|Reactome: R-HSA-5663220|Reactome: R-HSA-6784531|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA
RFU74577.1	IPR002891	GO:0000103;GO:0004020;GO:0005524;GO:0000096;GO:0004781	PF01747;PF01583;PF14306	SSF52374;SSF88697;SSF52540	G3DSA:3.40.50.620;G3DSA:3.10.400.10;G3DSA:3.40.50.300	NA	NA	NA	NA	NA	KEGG: 00230+2.7.1.25|KEGG: 00920+2.7.1.25|MetaCyc: PWY-5340|Reactome: R-HSA-174362|Reactome: R-HSA-2408550	cd02027;cd00517	MF_03106	NA	TIGR00455;TIGR00339	NA	NA
RFU78373.1	IPR036514	NA	PF13472;PF13517	SSF52266;SSF69318	G3DSA:3.40.50.1110	NA	mobidb-lite	NA	NA	NA	NA	cd01833	NA	NA	NA	NA	NA
RFU73751.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU72719.1	IPR000089	GO:0016746;GO:0004149;GO:0006099;GO:0045252	PF00364;PF00198	SSF51230;SSF52777	G3DSA:3.30.559.10;G3DSA:2.40.50.100	PS00189	mobidb-lite	PS50968	NA	NA	Reactome: R-HSA-389661	cd06849	NA	NA	TIGR01347	NA	NA
RFU77485.1	IPR001650	GO:0003676;GO:0005524	PF00271;PF00270	SSF52540	G3DSA:3.40.50.300	PS00039	mobidb-lite	PS51195;PS51192;PS51194	Coil	NA	NA	cd17966;cd18787	NA	SM00487;SM00490	NA	NA	NA
RFU78053.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU81389.1	IPR014752	NA	PF13002	NA	G3DSA:2.60.40.640	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU71978.1	IPR022036	NA	PF12239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78697.1	IPR029063	NA	PF13847	SSF53335	G3DSA:3.40.50.150	NA	NA	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA
RFU81087.1	IPR001841	NA	NA	SSF57850;SSF53300	G3DSA:3.30.40.10;G3DSA:1.20.120.1750	NA	NA	PS51873;PS50089	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU74233.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU82161.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78162.1	IPR027417	GO:0003855;GO:0003824;GO:0004764;GO:0055114	PF18317;PF01488;PF01202;PF01487;PF08501	SSF52540;SSF53223;SSF51735;SSF51569	G3DSA:3.40.50.720;G3DSA:3.40.50.300;G3DSA:3.40.50.10860;G3DSA:3.20.20.70	NA	NA	NA	NA	NA	KEGG: 00400+1.1.1.25|MetaCyc: PWY-6163	cd01065;cd00502	NA	NA	NA	NA	NA
RFU72774.1	IPR013845	GO:0003723;GO:0003735;GO:0005840;GO:0006412	PF00900;PF16121;PF08071;PF00467	NA	G3DSA:2.30.30.30;G3DSA:3.10.290.40;G3DSA:2.40.50.740	PS00528	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	cd00165;cd06087	MF_00485	NA	NA	PIRSF002116	NA
RFU74062.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF00172;PF04082	SSF57701	G3DSA:4.10.240.10	PS00463	mobidb-lite	PS50048	Coil	NA	NA	cd00067;cd12148;cd15485	NA	SM00066;SM00906	NA	NA	NA
RFU77626.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	G3DSA:4.10.240.10	PS00463	mobidb-lite	NA	Coil	NA	NA	cd12148	NA	NA	NA	NA	NA
RFU74075.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79515.1	IPR037103	GO:0005200;GO:0005525;GO:0005874;GO:0007017;GO:0003924	PF00091;PF03953	SSF55307;SSF52490	G3DSA:3.30.1330.20;G3DSA:1.10.287.600;G3DSA:3.40.50.1440	PS00227	NA	NA	Coil	PR01162;PR01161	Reactome: R-HSA-1445148|Reactome: R-HSA-190840|Reactome: R-HSA-190861|Reactome: R-HSA-2132295|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3371497|Reactome: R-HSA-380320|Reactome: R-HSA-437239|Reactome: R-HSA-5617833|Reactome: R-HSA-5626467|Reactome: R-HSA-5663220|Reactome: R-HSA-6807878|Reactome: R-HSA-6811434|Reactome: R-HSA-6811436|Reactome: R-HSA-68877|Reactome: R-HSA-8852276|Reactome: R-HSA-8955332|Reactome: R-HSA-9609736|Reactome: R-HSA-9619483|Reactome: R-HSA-983189	cd02186	NA	SM00865;SM00864	NA	NA	NA
RFU77683.1	IPR006638	GO:0003824;GO:0051536;GO:0004076;GO:0009102	PF04055;PF06968	SSF102114	G3DSA:3.20.20.70	NA	mobidb-lite	NA	NA	NA	KEGG: 00780+2.8.1.6|MetaCyc: PWY-7380	cd01335	MF_01694	SM00729;SM00876	TIGR00433	PIRSF001619	SFLDF00272;SFLDG01278
RFU79093.1	IPR035587	GO:0003824;GO:0008033;GO:0017150;GO:0050660;GO:0055114	PF01207	SSF51395	G3DSA:3.20.20.70	PS01136	mobidb-lite	NA	NA	NA	NA	cd02801	NA	NA	NA	NA	NA
RFU81741.1	IPR020471	GO:0016491;GO:0055114	PF00248	SSF51430	G3DSA:3.20.20.100	PS00062	NA	NA	NA	PR00069	NA	cd06660	NA	NA	NA	PIRSF000097	NA
RFU80256.1	IPR001670	GO:0016491;GO:0046872;GO:0055114	PF00465	SSF56796	G3DSA:1.20.1090.10;G3DSA:3.40.50.1970	NA	NA	NA	Coil	NA	Reactome: R-HSA-880009	cd08190	NA	NA	NA	NA	NA
RFU73146.1	IPR004431	GO:0003861;GO:0009098;GO:0009316;GO:0051539	PF00694;PF00330	SSF53732;SSF52016	G3DSA:3.20.19.10;G3DSA:3.30.499.10;G3DSA:3.30.499.20	PS01244;PS00450	mobidb-lite	NA	NA	PR00415	KEGG: 00290+4.2.1.33	cd01577;cd01583	MF_01026;MF_01031	NA	TIGR00171;TIGR00170	PIRSF001418	NA
RFU75717.1	IPR006680	GO:0016787;GO:0016810	PF01979	SSF51338;SSF51556	G3DSA:3.20.20.140;G3DSA:2.30.40.10	NA	NA	NA	NA	NA	NA	cd01299	NA	NA	NA	NA	NA
RFU73913.1	IPR036259	GO:0055085	PF07690	SSF103473	NA	NA	mobidb-lite	PS50850	NA	NA	NA	cd17325	NA	NA	NA	NA	NA
RFU81444.1	IPR022450	GO:0002949;GO:0004222	PF00814	SSF53067	G3DSA:3.30.420.40	PS01016	NA	NA	NA	NA	Reactome: R-HSA-6782315	NA	MF_01445	NA	NA	NA	NA
RFU75044.1	IPR023442	NA	PF01246	SSF57716	G3DSA:3.30.160.440;G3DSA:2.30.170.20	PS01073	mobidb-lite	NA	NA	NA	NA	cd00472	NA	NA	NA	NA	NA
RFU80610.1	IPR008701	NA	PF05630	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80477.1	IPR001388	GO:0016021;GO:0016192	PF00957	SSF58038	G3DSA:1.20.5.110	NA	mobidb-lite	PS50892	NA	PR00219	NA	cd15874	NA	NA	NA	PIRSF005409	NA
RFU77530.1	IPR017926	NA	PF00117	SSF52317	G3DSA:3.40.50.880	NA	NA	PS51273	NA	NA	NA	cd01741	NA	NA	NA	NA	NA
RFU73872.1	IPR036249	NA	PF02114	SSF52833	G3DSA:3.40.30.10	NA	mobidb-lite	NA	NA	NA	NA	cd02987	NA	NA	NA	NA	NA
RFU79851.1	IPR023696		PF00850;PF09757	SSF52768	G3DSA:3.40.800.20	NA	mobidb-lite	NA	NA	PR01270	Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862|Reactome: R-HSA-350054	NA	NA	NA	NA	PIRSF037919	NA
RFU71825.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78576.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73206.1	IPR013922	GO:0000079;GO:0019901	PF08613	NA	G3DSA:1.10.472.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75238.1	IPR036155		PF03441;PF00875	SSF52425;SSF48173	G3DSA:1.10.579.10;G3DSA:1.25.40.80;G3DSA:3.40.50.620	NA	mobidb-lite	PS51645	NA	PR00147	Reactome: R-HSA-400253	NA	NA	NA	NA	NA	NA
RFU79801.1	IPR003140	GO:0016787	PF02230	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75269.1	IPR023601	GO:0000139;GO:0005801;GO:0006888;GO:0016021	PF12352	NA	NA	NA	NA	NA	Coil	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438	NA	NA	NA	NA	PIRSF027109	NA
RFU76067.1	IPR031727	GO:0003824;GO:0005975;GO:0030246;GO:0004553	PF16863;PF13802;PF01055	SSF74650;SSF51445;SSF51011	G3DSA:2.60.40.1760;G3DSA:3.20.20.80;G3DSA:2.60.40.1180	NA	NA	NA	NA	NA	NA	cd14752;cd06602	NA	NA	NA	NA	NA
RFU81615.1	IPR012423	GO:0005634;GO:0006355;GO:0043189	PF07904	NA	NA	NA	mobidb-lite	NA	Coil	NA	Reactome: R-HSA-3214847	NA	NA	NA	NA	NA	NA
RFU72311.1	IPR003108	GO:0008017	PF02187	SSF143575	G3DSA:3.30.920.20	NA	mobidb-lite	PS51460	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU81451.1	IPR000073	NA	PF12146	SSF53474	G3DSA:3.40.50.1820	NA	mobidb-lite	NA	NA	PR00111	NA	NA	NA	NA	NA	NA	NA
RFU76702.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79447.1	IPR024660	NA	PF11701	SSF48371	G3DSA:1.25.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU81275.1	IPR026992	GO:0016491;GO:0055114	PF14226;PF03171	SSF51197	G3DSA:2.60.120.330	NA	NA	NA	NA	PR00682	NA	NA	NA	NA	NA	NA	NA
RFU77694.1	IPR027417	GO:0003676;GO:0005524	PF00271;PF00270	SSF52540;SSF158702	G3DSA:3.40.50.300;G3DSA:1.10.3380.30	NA	mobidb-lite	PS51194;PS51192	NA	NA	NA	cd18795;cd18026	NA	SM00490;SM00487	NA	NA	NA
RFU78318.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	SSF57701;SSF51120	G3DSA:4.10.240.10	NA	mobidb-lite	PS50048	NA	NA	NA	cd00067	NA	SM00066	NA	NA	NA
RFU72909.1	IPR007197	GO:0003824;GO:0051536;GO:0009107;GO:0016992;GO:0051539	PF04055;PF16881	SSF102114	G3DSA:3.20.20.70	NA	mobidb-lite	NA	Coil	NA	KEGG: 00785+2.8.1.8|MetaCyc: PWY-6987|MetaCyc: PWY-7382|Reactome: R-HSA-389661	cd01335	MF_00206	SM00729	TIGR00510	NA	SFLDG01058;SFLDF00271
RFU79452.1	IPR006121	GO:0030001;GO:0046872	PF00403	SSF55008	G3DSA:3.30.70.100	NA	NA	PS50846	NA	NA	NA	cd00371	NA	NA	NA	NA	NA
RFU77721.1	IPR008271	GO:0004672;GO:0006468;GO:0005524	PF00069	SSF56112	G3DSA:1.10.510.10	PS00108;PS00107	mobidb-lite	PS50011	NA	NA	NA	NA	NA	SM00220	NA	NA	NA
RFU81827.1	IPR018830	NA	PF10361	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	cd15035	NA	NA	NA	NA	NA
RFU71870.1	IPR002347	NA	PF00106	SSF51735	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU78580.1	IPR002213	GO:0016758	PF00201	SSF53756	G3DSA:3.40.50.2000	NA	NA	NA	NA	NA	Reactome: R-HSA-156588	cd03784	NA	NA	NA	NA	NA
RFU78440.1	IPR000594	GO:0008641;GO:0005737;GO:0006914	PF00899;PF16420	SSF69572	G3DSA:3.40.50.720;G3DSA:3.40.140.70;G3DSA:3.40.140.100	NA	mobidb-lite	NA	Coil	NA	Reactome: R-HSA-1632852|Reactome: R-HSA-6798695|Reactome: R-HSA-6802952|Reactome: R-HSA-983168	NA	NA	NA	TIGR01381	NA	NA
RFU79495.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU79925.1	IPR023267	GO:0008168	PF01189	SSF53335	G3DSA:3.30.70.1170	NA	mobidb-lite	PS51686	NA	PR02008	NA	NA	NA	NA	NA	NA	NA
RFU80609.1	IPR000334	GO:0005975;GO:0008810	PF02015	SSF50685	G3DSA:2.40.40.10	PS01140	NA	NA	NA	NA	KEGG: 00500+3.2.1.4|MetaCyc: PWY-6788	NA	NA	NA	NA	NA	NA
RFU77062.1	IPR011118		PF07519	SSF53474	NA	NA	NA	NA	NA	NA	MetaCyc: PWY-6784	NA	NA	NA	NA	NA	NA
RFU80317.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79343.1	IPR032805	NA	PF13813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU71881.1	IPR005198	GO:0003824	PF03663	SSF48208	G3DSA:1.50.10.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73063.1	IPR000086	GO:0016787;GO:0004725;GO:0016311	PF00293;PF13350	SSF55811;SSF52799	G3DSA:3.90.190.10;G3DSA:3.90.79.10	PS00893;PS00383	NA	PS51462	NA	PR00502	Reactome: R-HSA-2393930	cd14529	NA	NA	NA	NA	NA
