Gene	interpro	GO	SUPERFAMILY	PATHWAY	SMART	Pfam	Gene3D	MobiDBLite	Coils	CDD	ProSiteProfiles	PIRSF	ProSitePatterns	PRINTS	Hamap	TIGRFAM	SFLD
PTB75345.1	IPR042099	NA	SSF56801	NA	NA	NA	G3DSA:3.40.50.12780	NA	NA	cd05913	NA	NA	NA	NA	NA	NA	NA
PTB73335.1	IPR002347	NA	SSF51735	NA	NA	PF00106	G3DSA:3.40.50.720	NA	NA	cd05374	NA	NA	NA	PR00081;PR00080	NA	NA	NA
PTB81960.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0016712	SSF48264	NA	NA	PF00067	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	PS00086	PR01239	NA	NA	NA
PTB74036.1	IPR022031		NA	Reactome: R-HSA-5693571	NA	PF12231	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB72478.1	IPR019734	GO:0005515;GO:0043531	SSF52540;SSF48452	Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-6798695|Reactome: R-HSA-6803207|Reactome: R-HSA-8953750|Reactome: R-HSA-9627069	SM00028	PF13374;PF13424;PF00931	G3DSA:3.40.50.300;G3DSA:1.25.40.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79473.1	IPR000530	GO:0003735;GO:0005840;GO:0006412	SSF55315	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PF01248	G3DSA:3.30.1330.30	mobidb-lite	NA	NA	NA	NA	PS01189	PR00972	NA	NA	NA
PTB71238.1	IPR019473	GO:0046982	NA	Reactome: R-HSA-6807505	NA	PF10406;PF07524	G3DSA:1.10.20.10	mobidb-lite	NA	cd08049	NA	NA	NA	NA	NA	NA	NA
PTB78340.1	IPR020846	GO:0055085	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20	mobidb-lite	NA	cd17316	PS50850	NA	NA	NA	NA	NA	NA
PTB76701.1	IPR036291	GO:0048037	SSF51735	NA	SM00881	PF13380	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72782.1	IPR027534	GO:0003735;GO:0005840;GO:0006414	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PF00428	G3DSA:1.10.10.1410	mobidb-lite	Coil	cd05833	NA	NA	NA	NA	MF_01478	NA	NA
PTB74869.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76987.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76988.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77742.1	IPR040632	NA	SSF52540	NA	NA	PF17784	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78370.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76229.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78584.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB77380.1	IPR002889	NA	NA	NA	SM00321	PF01822	NA	mobidb-lite	NA	NA	PS51212	NA	NA	NA	NA	NA	NA
PTB80627.1	IPR036915	NA	SSF47954	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74939.1	IPR005139	GO:0006415;GO:0003747	SSF75620	NA	SM00937	PF00472;PF03462	G3DSA:3.30.70.1660;G3DSA:3.30.160.20	NA	Coil	NA	NA	NA	PS00745	NA	NA	NA	NA
PTB73865.1	IPR023395	NA	SSF103506	NA	NA	PF00153	G3DSA:1.50.40.10	NA	NA	NA	PS50920	NA	NA	NA	NA	NA	NA
PTB79661.1	IPR012677	GO:0003735;GO:0005840;GO:0006412	SSF54189	NA	NA	PF00276	G3DSA:3.30.70.330	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71958.1	IPR007369	GO:0004190;GO:0016021	NA	NA	SM00730	PF04258	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80118.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79649.1	IPR007955		NA	Reactome: R-HSA-6791226	NA	PF05291	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78248.1	IPR031167	GO:0005525	SSF52540	NA	NA	PF08438;PF01926	G3DSA:3.10.20.30;G3DSA:1.10.8.470	NA	NA	cd04938;cd01899	PS51710	NA	NA	PR00326	NA	NA	NA
PTB72977.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	SSF48264	NA	NA	PF00067	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	PS00086	PR00463;PR00385	NA	NA	NA
PTB71089.1	IPR029062	GO:0006508;GO:0008236	SSF52317	NA	NA	PF03575	G3DSA:3.40.50.880	NA	NA	cd03145	NA	NA	NA	NA	NA	NA	NA
PTB72209.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74397.1	IPR004001	NA	SSF53067	NA	SM00268	PF00022	G3DSA:3.90.640.10;G3DSA:3.30.420.40	NA	NA	cd00012	NA	NA	PS00432;PS01132;PS00406	PR00190	NA	NA	NA
PTB71708.1	IPR010158	GO:0016813;GO:0016787	SSF55031;SSF53187	NA	NA	PF01546;PF07687	G3DSA:3.40.630.10;G3DSA:3.30.70.360	NA	NA	cd03884	NA	PIRSF001235	NA	NA	NA	TIGR01879	NA
PTB79513.1	IPR002347	GO:0016491	SSF51735	NA	SM00822	PF00106	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	PS00061	PR00080;PR00081	NA	NA	NA
PTB76963.1	IPR023210	NA	SSF51430	NA	NA	PF00248	G3DSA:3.20.20.100	NA	NA	cd06660	NA	NA	NA	NA	NA	NA	NA
PTB80384.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	cd18707	NA	NA	NA	NA	NA	NA	NA
PTB74125.1	IPR027417	GO:0003924;GO:0005525	SSF52540	NA	SM00173;SM00175;SM00174;SM00176	PF00071	G3DSA:3.40.50.300	NA	NA	cd01868	PS51419	NA	NA	PR00449	NA	TIGR00231	NA
PTB79387.1	IPR001841	NA	SSF57850	NA	SM00184	PF13639	G3DSA:3.30.40.10	mobidb-lite	NA	cd16454	PS50089	NA	NA	NA	NA	NA	NA
PTB72292.1	IPR042098	GO:0016491;GO:0055114	SSF51197	Reactome: R-HSA-71262	NA	PF02668	G3DSA:3.60.130.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75480.1	IPR004099	GO:0045454;GO:0055114;GO:0016491;GO:0050660;GO:0009055	SSF55424;SSF51905	NA	NA	PF02852;PF07992	G3DSA:3.30.390.30;G3DSA:3.50.50.60	NA	NA	NA	NA	PIRSF000350	NA	PR00411;PR00368	NA	NA	NA
PTB80648.1	IPR000878	GO:0008168;GO:0004164;GO:0017183	SSF53790	Reactome: R-HSA-5358493	NA	PF00590	G3DSA:3.40.1010.10;G3DSA:3.30.950.10	NA	NA	cd11647	NA	PIRSF036432	NA	NA	MF_01084	TIGR00522	NA
PTB77005.1	IPR001757	GO:0016021;GO:0000166;GO:0006812;GO:0019829	SSF81665;SSF81660;SSF81653;SSF56784	Reactome: R-HSA-936837	SM00831	PF00122;PF00702;PF00689;PF00690	G3DSA:1.20.1110.10;G3DSA:3.40.50.1000;G3DSA:3.40.1110.10;G3DSA:2.70.150.10	mobidb-lite	Coil	NA	NA	NA	PS00154	PR00119;PR00120	NA	TIGR01494;TIGR01523	SFLDF00027;SFLDG00002
PTB75782.1	IPR006689	GO:0005525;GO:0006886	SSF52540	NA	SM00178;SM00177	PF00025	G3DSA:3.40.50.300	NA	NA	cd00879	PS51422	NA	NA	PR00328	NA	TIGR00231	NA
PTB78228.1	IPR019794	GO:0004601;GO:0055114;GO:0006979;GO:0020037	SSF48113	Reactome: R-HSA-2408557	NA	PF00141	G3DSA:1.10.420.10;G3DSA:1.10.520.10	NA	NA	cd00691	PS50873	NA	PS00436;PS00435	PR00459;PR00458	NA	NA	NA
PTB74961.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	NA	NA	G3DSA:4.10.240.10	NA	NA	cd00067	PS50048	NA	PS00463	NA	NA	NA	NA
PTB74031.1	IPR038922	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	cd14361	NA	NA	NA	NA	NA	NA	NA
PTB73926.1	IPR002938	GO:0071949	SSF51905	NA	NA	PF01494	G3DSA:3.50.50.60	NA	NA	NA	NA	NA	NA	PR00420	NA	NA	NA
PTB76846.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77641.1	IPR013786	GO:0016627;GO:0050660;GO:0055114	SSF56645	NA	NA	PF02771	G3DSA:1.10.540.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78743.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SSF57701	NA	SM00066	PF04082;PF00172	G3DSA:4.10.240.10	mobidb-lite	NA	cd00067;cd12148	PS50048	NA	PS00463	PR00755	NA	NA	NA
PTB80640.1	IPR036388	GO:0006511;GO:0031461;GO:0031625	SSF75632;SSF74788;SSF46785	Reactome: R-HSA-8951664	SM00182;SM00884	PF00888;PF10557	G3DSA:1.10.10.10;G3DSA:1.10.10.2620;G3DSA:1.20.1310.10	NA	Coil	NA	PS50069	NA	PS01256	NA	NA	NA	NA
PTB73525.1	IPR007484	NA	SSF52025;SSF53187;SSF47672	NA	NA	PF04389;PF02225;PF04253	G3DSA:1.20.930.40;G3DSA:3.40.630.10;G3DSA:3.50.30.30	mobidb-lite	Coil	cd08022;cd02121	NA	NA	NA	NA	NA	NA	NA
PTB75663.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79294.1	IPR042080	GO:0006388;GO:0016772	SSF56399	NA	NA	PF01885	G3DSA:1.10.10.970;G3DSA:3.20.170.30	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80348.1	IPR027417	GO:0003676;GO:0005524	SSF52540	NA	SM00490;SM00487	PF00270;PF00271	G3DSA:3.40.50.300	mobidb-lite	NA	cd17964;cd18787	PS51192;PS51194;PS51195	NA	PS00039	NA	NA	NA	NA
PTB75523.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71791.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	SM00066	PF11951;PF00172	G3DSA:4.10.240.10	NA	NA	cd00067	PS50048	NA	PS00463	NA	NA	NA	NA
PTB76097.1	IPR011547	GO:0008272;GO:0015116;GO:0016021	SSF51206;SSF52091	NA	SM00100	PF00916;PF00027;PF01740	G3DSA:2.60.120.10;G3DSA:3.30.750.24	mobidb-lite	NA	cd00038;cd07042;cd17473	PS50042;PS50801	NA	NA	NA	NA	NA	NA
PTB71531.1	IPR033464	NA	NA	NA	NA	PF10075	G3DSA:1.25.40.990	NA	NA	NA	PS50250	NA	NA	NA	NA	NA	NA
PTB78019.1	IPR020845	GO:0003824	SSF56801	NA	NA	PF13193;PF00501	G3DSA:3.30.300.30;G3DSA:3.40.50.12780	NA	NA	cd05911	NA	NA	PS00455	NA	NA	NA	NA
PTB72678.1	IPR002372	GO:0005515	SSF50998	NA	NA	PF13360;PF07774	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72592.1	IPR020846	GO:0055085	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20	mobidb-lite	NA	cd17323	PS50850	NA	NA	NA	NA	NA	NA
PTB75809.1	IPR000504	GO:0003676	SSF54427;SSF54928	NA	SM00360	PF02136;PF00076	G3DSA:3.10.450.50;G3DSA:3.30.70.330	mobidb-lite	NA	cd00780	PS50177;PS50102	NA	NA	NA	NA	NA	NA
PTB72009.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	SM00066	PF00172	G3DSA:4.10.240.10	mobidb-lite	NA	cd00067	PS50048	NA	PS00463	NA	NA	NA	NA
PTB73444.1	IPR029044	NA	SSF53448	NA	NA	PF13641	G3DSA:3.90.550.10	mobidb-lite	NA	cd06434	NA	NA	NA	NA	NA	NA	NA
PTB78941.1	IPR012677	GO:0003676	SSF54928	NA	NA	NA	G3DSA:3.30.70.330	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78926.1	IPR017871	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	SSF90123;SSF52540	NA	SM00382	PF00005;PF00664	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	NA	NA	cd18579;cd18580	PS50929;PS50893	NA	PS00211	NA	NA	NA	NA
PTB72840.1	IPR014347	NA	SSF55331	NA	NA	PF01187	G3DSA:3.30.429.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73096.1	IPR007557	NA	NA	NA	NA	PF04468	NA	mobidb-lite	Coil	NA	PS51411	NA	NA	NA	NA	NA	NA
PTB74694.1	IPR001932	GO:0003824;GO:0043169	SSF81606	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16|KEGG: 05235+3.1.3.16	SM00332;SM00331	PF00481	G3DSA:3.60.40.10	mobidb-lite	NA	cd00143	PS51746	NA	PS01032	NA	NA	NA	NA
PTB79403.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB73290.1	IPR020683	GO:0005515	SSF48403	NA	SM00248	PF12796	G3DSA:1.25.40.20	mobidb-lite	NA	NA	PS50297;PS50088	NA	NA	NA	NA	NA	NA
PTB73081.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81801.1	IPR003737		SSF102588	Reactome: R-HSA-162710	NA	PF02585	G3DSA:3.40.50.10320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80599.1	IPR036428	GO:0006729;GO:0008124	SSF55248	KEGG: 00790+4.2.1.96|MetaCyc: PWY-7158	NA	PF01329	G3DSA:3.30.1360.20	NA	NA	cd00488	NA	NA	NA	NA	NA	NA	NA
PTB74482.1	IPR027417	GO:0005524	SSF52540	NA	NA	PF03969	G3DSA:3.40.50.300	NA	NA	cd00009	NA	NA	NA	NA	NA	NA	NA
PTB72100.1	IPR035904	GO:0004107;GO:0009073	SSF103263	KEGG: 00400+4.2.3.5|MetaCyc: PWY-6163	NA	PF01264	G3DSA:3.60.150.10	NA	NA	NA	NA	NA	PS00789	NA	NA	NA	NA
PTB77408.1	IPR001830	GO:0003824;GO:0005992	SSF53756	KEGG: 00500+2.4.1.15	NA	PF00982	G3DSA:3.40.50.2000	mobidb-lite	NA	cd03788	NA	NA	NA	NA	NA	NA	NA
PTB76915.1	IPR003607	NA	SSF109604	NA	SM00471	PF13023	G3DSA:1.10.3210.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73321.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75219.1	IPR029044	GO:0016021;GO:0016757	NA	NA	NA	PF05637	G3DSA:3.90.550.10	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80243.1	IPR004813	GO:0055085	NA	NA	NA	PF03169	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00728;TIGR00727	NA
PTB71573.1	IPR004838	GO:0003824;GO:0009058;GO:0030170;GO:0006520;GO:0008483	SSF53383	KEGG: 00220+2.6.1.1|KEGG: 00250+2.6.1.1|KEGG: 00270+2.6.1.1|KEGG: 00330+2.6.1.1|KEGG: 00350+2.6.1.1|KEGG: 00360+2.6.1.1|KEGG: 00400+2.6.1.1|KEGG: 00401+2.6.1.1|KEGG: 00710+2.6.1.1|KEGG: 00950+2.6.1.1|KEGG: 00960+2.6.1.1|MetaCyc: PWY-5913|MetaCyc: PWY-6638|MetaCyc: PWY-6642|MetaCyc: PWY-6643|MetaCyc: PWY-7115|MetaCyc: PWY-7117|MetaCyc: PWY-7383	NA	PF00155	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	cd00609	NA	NA	PS00105	PR00799	NA	NA	NA
PTB79695.1	IPR036052	GO:0006520;GO:0030170	SSF53686	NA	NA	PF00291	G3DSA:3.40.50.1100	NA	NA	NA	NA	NA	PS00165	NA	NA	NA	NA
PTB81154.1	IPR018612	NA	NA	NA	NA	PF09745	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB75737.1	IPR001623	GO:0005515	SSF48452;SSF46565	NA	SM00028;SM00271	PF00226;PF13432;PF13181	G3DSA:1.10.287.110;G3DSA:1.25.40.10	NA	Coil	cd06257	PS50005;PS50076;PS50293	NA	PS00636	PR00625	NA	NA	NA
PTB72785.1	IPR004328	NA	NA	NA	SM01041	NA	NA	mobidb-lite	NA	cd09245	PS51180	NA	NA	NA	NA	NA	NA
PTB71496.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81952.1	IPR003819	GO:0016491;GO:0055114	SSF51197	Reactome: R-HSA-71262	NA	PF02668	G3DSA:3.60.130.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72064.1	IPR035969	NA	SSF47923	NA	SM00164	PF00566	G3DSA:1.10.472.80;G3DSA:1.10.8.270	NA	NA	NA	PS50086	NA	NA	NA	NA	NA	NA
PTB79533.1	IPR029058	NA	SSF53474	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB80570.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71729.1	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB76018.1	IPR001806	GO:0003924;GO:0005525;GO:0006913	SSF52540	Reactome: R-HSA-165054|Reactome: R-HSA-1655829|Reactome: R-HSA-168333|Reactome: R-HSA-180746|Reactome: R-HSA-203927|Reactome: R-HSA-5578749|Reactome: R-HSA-6784531	SM00176;SM00173;SM00174;SM00175	PF00071	G3DSA:3.40.50.300	NA	NA	cd00877	PS51418	NA	NA	PR00627	NA	TIGR00231	NA
PTB72204.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76037.1	IPR000730	GO:0003677;GO:0006275;GO:0030337	SSF55979	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-1362277|Reactome: R-HSA-174411|Reactome: R-HSA-174414|Reactome: R-HSA-174417|Reactome: R-HSA-174437|Reactome: R-HSA-4615885|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6804114|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183|Reactome: R-HSA-69205|Reactome: R-HSA-8866654	NA	PF02747;PF00705	G3DSA:3.10.150.10;G3DSA:3.10.150.20	NA	NA	cd00577	NA	NA	PS01251;PS00293	PR00339	MF_00317	TIGR00590	NA
PTB75551.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76929.1	IPR001753	GO:0003824	SSF52096	NA	NA	PF00378	G3DSA:1.10.12.10;G3DSA:3.90.226.10	NA	NA	cd06558	NA	NA	PS00166	NA	NA	NA	NA
PTB81754.1	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114	SSF48264	NA	NA	PF00067	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	PS00086	PR00463;PR00385	NA	NA	NA
PTB75745.1	IPR028012	NA	NA	NA	NA	PF14616	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80845.1	IPR005556	NA	NA	NA	NA	PF03856	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72737.1	IPR006813	GO:0003830;GO:0006487;GO:0016020	NA	KEGG: 00510+2.4.1.144|MetaCyc: PWY-7426|Reactome: R-HSA-975574	NA	PF04724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81556.1	IPR000719	GO:0004672;GO:0005524;GO:0006468	SSF56112	NA	SM00220	PF00069	G3DSA:1.10.510.10	NA	NA	cd05117	PS50011	PIRSF000654	PS00108;PS00107	NA	NA	NA	NA
PTB74631.1	IPR003323	NA	SSF54001	NA	NA	PF02338	G3DSA:3.90.70.80	mobidb-lite	Coil	NA	PS50802	NA	NA	NA	NA	NA	NA
PTB79505.1	IPR024771	NA	NA	NA	NA	PF12752	NA	mobidb-lite	Coil	NA	PS51673	NA	NA	NA	NA	NA	NA
PTB76952.1	IPR027815	GO:0016020	NA	NA	NA	PF14703;PF13967;PF02714;PF12621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77998.1	IPR035892	GO:0004609;GO:0008654;GO:0005509	SSF47473;SSF49562	KEGG: 00564+4.1.1.65|MetaCyc: PWY-5669|Reactome: R-HSA-1483213	SM00239	PF00168;PF02666	G3DSA:2.60.40.150;G3DSA:1.10.238.10	mobidb-lite	NA	cd04039	PS50004;PS50222	NA	PS00018	NA	MF_00663	TIGR00163	NA
PTB79022.1	NA	NA	SSF56300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76172.1	IPR001270	GO:0005524;GO:0016887	SSF48403;SSF52540	NA	SM00382	PF07728	G3DSA:3.40.50.300;G3DSA:1.25.40.20	mobidb-lite	NA	cd00009	PS50297	NA	NA	PR00300	NA	NA	NA
PTB77757.1	IPR029063	NA	SSF53335	NA	NA	PF13489	G3DSA:3.40.50.150	mobidb-lite	NA	cd02440	NA	NA	NA	NA	NA	NA	NA
PTB75490.1	IPR000073	NA	SSF53474	NA	NA	PF12697	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80198.1	IPR010636	GO:0005576	SSF101751	NA	NA	PF06766	G3DSA:3.20.120.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB73240.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76413.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA
PTB76684.1	IPR036431	GO:0003677	SSF46774;SSF46689	Reactome: R-HSA-110328|Reactome: R-HSA-110329|Reactome: R-HSA-110330|Reactome: R-HSA-110331|Reactome: R-HSA-1221632|Reactome: R-HSA-171306|Reactome: R-HSA-2559586	SM00501;SM01014	PF11626;PF16589;PF01388;PF08914	G3DSA:1.10.150.60;G3DSA:1.10.10.60;G3DSA:1.10.10.2170	mobidb-lite	Coil	cd11655;cd16100	PS51011	NA	NA	NA	NA	NA	NA
PTB78215.1	IPR013860	NA	NA	NA	NA	PF08550	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75462.1	IPR001300	GO:0004198;GO:0006508	SSF49758;SSF54001	Reactome: R-HSA-1474228	SM00720;SM00230	PF01067;PF00648	G3DSA:3.90.70.10;G3DSA:2.60.120.380	mobidb-lite	Coil	cd00044	PS50203	NA	NA	NA	NA	NA	NA
PTB73287.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75127.1	IPR008947	GO:0016788;GO:0003676;GO:0004519;GO:0006308	SSF48537	NA	NA	PF02265	G3DSA:1.10.575.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79096.1	IPR023198	GO:0016787	SSF56784	NA	NA	PF13419	G3DSA:1.10.150.240;G3DSA:3.40.50.1000	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01509	NA
PTB81548.1	IPR001790	GO:0042254	SSF160369	NA	NA	PF00466;PF00428;PF17777	G3DSA:3.90.105.20	mobidb-lite	NA	cd05795	NA	NA	NA	NA	NA	NA	NA
PTB74995.1	IPR042104	GO:0003824;GO:0031177;GO:0055114;GO:0016740;GO:0016491	SSF53901;SSF53335;SSF47336;SSF55048;SSF50129;SSF51735;SSF52151	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	SM00823;SM00826;SM00827;SM00825;SM00829;SM00822	PF00107;PF08240;PF00109;PF08659;PF16197;PF02801;PF08242;PF00698;PF00550;PF14765	G3DSA:3.10.129.110;G3DSA:3.40.50.150;G3DSA:3.40.47.10;G3DSA:3.40.366.10;G3DSA:3.30.70.3290;G3DSA:1.10.1200.10;G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	NA	cd02440;cd05195;cd00833	PS50075	NA	PS00606	NA	NA	NA	NA
PTB76079.1	IPR036236	GO:0003676	SSF57667	NA	SM00355	PF00096	G3DSA:3.30.160.60	mobidb-lite	NA	NA	PS50157	NA	PS00028	NA	NA	NA	NA
PTB74897.1	IPR000253	GO:0005515	SSF49879	NA	NA	PF00498	G3DSA:2.60.200.20	NA	NA	cd00060	PS50006	NA	NA	NA	NA	NA	NA
PTB75920.1	IPR036465	GO:0006281;GO:0008270;GO:0000439;GO:0006289;GO:0006351;GO:0003676	SSF53300;SSF57889	NA	SM00327;SM01047	PF07975;PF04056	G3DSA:3.40.50.410;G3DSA:3.30.40.10	mobidb-lite	NA	cd01453	PS50234	PIRSF015919	PS00028	NA	NA	TIGR00622	NA
PTB75857.1	IPR024169	GO:0003824	SSF53383	KEGG: 00440+2.6.1.37|MetaCyc: PWY-6832|Reactome: R-HSA-389661|Reactome: R-HSA-9033241	NA	PF00266	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	NA	NA	PIRSF000524	NA	NA	NA	NA	NA
PTB79156.1	IPR004827	GO:0003700;GO:0006355	SSF57959	NA	SM00338	NA	G3DSA:1.20.5.170	NA	NA	cd14688	NA	NA	NA	NA	NA	NA	NA
