Gene	Gene3D	interpro	GO	ProSiteProfiles	SUPERFAMILY	Pfam	SMART	MobiDBLite	PATHWAY	ProSitePatterns	CDD	Coils	PRINTS	TIGRFAM	Hamap	PIRSF	SFLD
PNP46531.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45560.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd12148	NA	NA	NA	NA	NA	NA
PNP37014.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd18118	NA	NA	NA	NA	NA	NA
PNP45481.1	G3DSA:3.40.50.720	IPR008030		NA	SSF51735	PF05368	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA	NA	NA	NA
PNP48082.1	G3DSA:3.30.450.20;G3DSA:1.10.287.130;G3DSA:3.40.50.2300;G3DSA:3.30.565.10	IPR001789	GO:0000160;GO:0016310;GO:0016772;GO:0000155;GO:0007165;GO:0005515	PS50109;PS50112;PS50110	SSF52172;SSF55785;SSF55874;SSF47384	PF00072;PF02518;PF13188;PF00512;PF08447	SM00448;SM00388;SM00086;SM00387;SM00091	mobidb-lite	Reactome: R-HSA-70895	NA	cd00130;cd00156;cd00082;cd16922	NA	PR00344	TIGR00229	NA	NA	NA
PNP42836.1	G3DSA:2.60.120.260	IPR005164	GO:0000256;GO:0004037	NA	SSF49785	PF03561	NA	NA	KEGG: 00230+3.5.3.4|MetaCyc: PWY-5697	NA	NA	NA	NA	TIGR02961	MF_00813	PIRSF016516	NA
PNP44795.1	G3DSA:3.30.450.20;G3DSA:1.10.287.130;G3DSA:3.30.565.10;G3DSA:3.40.50.2300	IPR003594	GO:0000155;GO:0007165;GO:0016310;GO:0016772;GO:0000160	PS50109;PS50110	SSF55874;SSF47384;SSF55785;SSF52172	PF02518;PF00512;PF00072	SM00388;SM00387;SM00448	mobidb-lite	Reactome: R-HSA-70895	NA	cd00082;cd18359;cd00130;cd00156;cd16922	Coil	PR00344	NA	NA	NA	NA
PNP45471.1	G3DSA:3.60.110.10	IPR036526	GO:0006807	PS50263	SSF56317	PF00795	NA	mobidb-lite	NA	NA	cd07564	NA	NA	NA	NA	NA	NA
PNP40467.1	G3DSA:1.25.10.10	IPR016024	NA	NA	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38252.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38823.1	G3DSA:3.50.50.60	IPR000960	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	SSF51905	PF00743	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF000332	NA
PNP42684.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42912.1	G3DSA:2.130.10.10	IPR001680	GO:0005515	PS50082;PS50294	SSF50998	PF00400	SM00320	NA	NA	PS00678	cd00200	NA	PR00320	NA	NA	NA	NA
PNP48536.1	G3DSA:3.30.1540.10;G3DSA:3.40.50.10540	IPR003673	GO:0008410	NA	SSF89796	PF02515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP47820.1	G3DSA:3.60.130.10	IPR003819	GO:0016491;GO:0055114	NA	SSF51197	PF02668	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA	NA	NA	NA	NA
PNP38509.1	NA	IPR027417	GO:0005524	NA	SSF52540	PF00004	NA	mobidb-lite	NA	NA	cd00009	NA	NA	NA	NA	NA	NA
PNP39505.1	G3DSA:2.30.30.800;G3DSA:3.20.20.140	IPR032466	GO:0003876;GO:0032264;GO:0019239;GO:0009168	NA	SSF51556	PF00962	NA	mobidb-lite	KEGG: 00230+3.5.4.6|MetaCyc: PWY-6596|Reactome: R-HSA-74217	PS00485	cd01319;cd17022	NA	NA	TIGR01429	NA	PIRSF001251	NA
PNP45070.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40749.1	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	IPR004839	GO:0009058;GO:0030170;GO:0003824	NA	SSF53383	PF00155	NA	NA	NA	NA	cd00609	NA	NA	NA	NA	NA	NA
PNP40998.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38323.1	NA	IPR006598	NA	NA	NA	PF05686	SM00672	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP40530.1	NA	IPR021858	NA	NA	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP39280.1	G3DSA:2.40.50.140;G3DSA:3.30.1370.10	IPR036612	GO:0003723	NA	SSF50249;SSF54791	PF18311;PF15985	NA	NA	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	NA	cd05790	NA	NA	NA	NA	NA	NA
PNP48745.1	G3DSA:3.30.420.40;G3DSA:3.90.640.60	IPR004000	NA	NA	SSF53067	PF00022	SM00268	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40042.1	NA	NA	NA	NA	NA	PF13233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38867.1	NA	IPR001680	GO:0005515	NA	SSF50978	NA	SM00320	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP37171.1	G3DSA:2.60.40.1670;G3DSA:2.30.30.380;G3DSA:1.20.120.730;G3DSA:3.40.50.410;G3DSA:3.40.20.10	IPR006896	GO:0006886;GO:0006888;GO:0030127;GO:0008270	NA	SSF53300;SSF82919;SSF81995;SSF81811;SSF82754	PF04811;PF08033;PF04810;PF00626;PF04815	NA	mobidb-lite	Reactome: R-HSA-1655829|Reactome: R-HSA-204005|Reactome: R-HSA-2132295|Reactome: R-HSA-5694530|Reactome: R-HSA-983170	NA	cd01479	NA	NA	NA	NA	NA	NA
PNP40912.1	G3DSA:2.20.25.20;G3DSA:1.10.1820.10	IPR000704	GO:0005956;GO:0019887	NA	SSF57798	PF01214	SM01085	mobidb-lite	Reactome: R-HSA-1483191|Reactome: R-HSA-201688|Reactome: R-HSA-2514853|Reactome: R-HSA-445144|Reactome: R-HSA-6798695|Reactome: R-HSA-6804756|Reactome: R-HSA-6814122|Reactome: R-HSA-8934903|Reactome: R-HSA-8939243|Reactome: R-HSA-8948751	PS01101	NA	NA	PR00472	NA	NA	NA	NA
PNP47694.1	G3DSA:3.30.530.20	IPR023393	NA	NA	SSF55961	PF11274	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP37294.1	G3DSA:3.40.47.10	IPR010122	GO:0004421;GO:0008299;GO:0003824	NA	SSF53901	PF08540;PF01154	NA	NA	KEGG: 00072+2.3.3.10|KEGG: 00280+2.3.3.10|KEGG: 00650+2.3.3.10|KEGG: 00900+2.3.3.10|MetaCyc: PWY-6174|MetaCyc: PWY-7391|MetaCyc: PWY-7524|MetaCyc: PWY-7571|MetaCyc: PWY-922|Reactome: R-HSA-1989781	PS01226	cd00827	NA	NA	TIGR01833	NA	NA	NA
PNP44554.1	G3DSA:3.10.280.10	IPR036561	GO:0005759	NA	SSF54529	PF02330	NA	mobidb-lite	Reactome: R-HSA-111471|Reactome: R-HSA-140837|Reactome: R-HSA-9645722	NA	NA	NA	NA	NA	NA	NA	NA
PNP40766.1	NA	IPR033749	GO:0008299	NA	SSF48576	PF00348	NA	NA	NA	PS00444;PS00723	cd00685	NA	NA	NA	NA	NA	SFLDS00005
PNP41087.1	G3DSA:1.25.40.20;G3DSA:3.40.50.300	IPR035994	GO:0003824;GO:0009116;GO:0005515	PS50088;PS50297	SSF53167;SSF52540;SSF48403	PF12796;PF01048;PF05729	SM00248	NA	NA	NA	cd09008	NA	NA	NA	NA	NA	NA
PNP42100.1	G3DSA:3.40.50.970;G3DSA:3.40.50.920	IPR009014	GO:0003824	NA	SSF52518;SSF52922	PF02779;PF02780	SM00861	NA	NA	NA	cd07036	NA	NA	NA	NA	NA	NA
PNP37938.1	G3DSA:3.40.630.30	IPR016181	NA	NA	SSF55729	PF13523	SM01006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP37583.1	G3DSA:3.30.1360.10	IPR036603	GO:0006351;GO:0046983;GO:0001055;GO:0005665;GO:0006366;GO:0003677;GO:0003899	NA	SSF55257	PF13656	NA	NA	NA	PS01154	cd06926	NA	NA	NA	NA	NA	NA
PNP43694.1	G3DSA:3.20.10.10;G3DSA:3.30.470.10	IPR001544	GO:0003824	NA	SSF56752	PF01063	NA	NA	Reactome: R-HSA-70895	NA	NA	NA	NA	NA	NA	NA	NA
PNP45791.1	G3DSA:1.10.20.10	IPR009072	GO:0046982;GO:0003677	NA	SSF47113	NA	NA	NA	NA	NA	NA	NA	PR00623	NA	NA	NA	NA
PNP48729.1	G3DSA:1.20.120.1900	IPR040457	GO:0043015	NA	NA	PF04130;PF17681	NA	mobidb-lite	Reactome: R-HSA-380270|Reactome: R-HSA-380320	NA	NA	NA	NA	NA	NA	NA	NA
PNP42544.1	NA	IPR018466	NA	NA	NA	PF10342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP37195.1	G3DSA:1.20.120.720;G3DSA:1.10.10.820;G3DSA:3.90.550.10;G3DSA:3.10.120.10	IPR027417	GO:0003774;GO:0005524;GO:0016459	PS50255	SSF52540;SSF55856;SSF109715;SSF53448	PF08766;PF03142;PF00173	SM00242;SM01117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46921.1	NA	IPR019190	GO:0045145	NA	NA	PF09810	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP47416.1	G3DSA:2.60.40.790	IPR008978	NA	PS01031	SSF49764	PF00011	NA	mobidb-lite	NA	NA	cd06464	NA	NA	NA	NA	NA	NA
PNP45282.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP37220.1	NA	IPR011107	GO:0004865;GO:0032515	NA	NA	PF07491	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41871.1	G3DSA:2.40.40.20;G3DSA:1.20.120.1280;G3DSA:1.10.274.100;G3DSA:3.30.1490.180;G3DSA:2.20.25.410;G3DSA:1.10.132.30;G3DSA:1.10.150.390	IPR007083	GO:0003677;GO:0003899;GO:0006351	NA	SSF64484	PF05000;PF04983;PF00623;PF04998;PF04997	SM00663	NA	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	cd02736;cd02583	NA	NA	NA	NA	NA	NA
PNP37223.1	G3DSA:1.50.10.10;G3DSA:2.60.40.10	IPR012341	GO:0003824;GO:0030246;GO:2001070;GO:0004339;GO:0005976;GO:0000272	PS51166	SSF49452;SSF48208	PF00686;PF00723	SM01065	NA	KEGG: 00500+3.2.1.3|MetaCyc: PWY-5941	PS00820	cd05811	NA	PR00736	NA	NA	PIRSF001031	NA
PNP38898.1	G3DSA:3.10.180.80	IPR009770	NA	NA	NA	PF07063	SM01150	NA	NA	NA	cd16348	NA	NA	NA	NA	NA	NA
PNP43572.1	G3DSA:1.20.1720.10	IPR020846	GO:0055085	PS50850	SSF103473	PF07690	NA	mobidb-lite	NA	NA	cd17502	NA	PR01036	NA	NA	NA	NA
PNP44424.1	G3DSA:3.30.710.10	IPR000210	GO:0005515	NA	SSF54695	PF00651	NA	NA	NA	NA	cd18186	NA	NA	NA	NA	NA	NA
PNP47567.1	NA	IPR006786	NA	NA	NA	PF04696	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP48302.1	G3DSA:3.40.850.10	IPR019821	GO:0003777;GO:0005524;GO:0007018;GO:0008017	PS50067	SSF52540	PF00225	SM00129	mobidb-lite	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	PS00411	cd01365	Coil	PR00380	NA	NA	NA	NA
PNP39668.1	G3DSA:2.60.120.590	IPR027450	NA	NA	SSF51197	PF13532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP44900.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP48167.1	NA	IPR026899	GO:0000148;GO:0003843;GO:0006075;GO:0016020	NA	NA	PF14288;PF02364	SM01205	mobidb-lite	KEGG: 00500+2.4.1.34|MetaCyc: PWY-6773	NA	NA	NA	NA	NA	NA	NA	NA
PNP46272.1	G3DSA:3.40.50.2020	IPR000836	GO:0009116;GO:0003999;GO:0005737;GO:0006168	NA	SSF53271	PF00156	NA	mobidb-lite	KEGG: 00230+2.4.2.7|MetaCyc: PWY-6605|MetaCyc: PWY-6610|MetaCyc: PWY-7805|MetaCyc: PWY-7807|Reactome: R-HSA-6798695|Reactome: R-HSA-74217	NA	cd06223	NA	NA	NA	MF_00004	NA	NA
PNP48139.1	G3DSA:2.60.120.10	IPR011051	GO:0045735;GO:0033609	NA	SSF51182	PF00190	SM00835	mobidb-lite	KEGG: 00630+4.1.1.2|MetaCyc: PWY-6698	NA	NA	NA	NA	TIGR03404	NA	NA	NA
PNP38028.1	NA	IPR003689	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	NA	PF02535	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46701.1	NA	IPR013087	GO:0003676	NA	NA	NA	SM00355	mobidb-lite	NA	PS00028	NA	NA	NA	NA	NA	NA	NA
PNP48971.1	NA	IPR029069	NA	NA	SSF54637	PF13622	NA	mobidb-lite	NA	NA	cd03445;cd03444	NA	NA	NA	NA	NA	NA
PNP38128.1	G3DSA:3.30.300.90	IPR002634	NA	NA	SSF82657	PF01722	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP48159.1	NA	IPR019465	GO:0006891;GO:0017119	NA	NA	PF10392	NA	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	NA	NA	Coil	NA	NA	NA	NA	NA
PNP41273.1	NA	IPR008493		NA	NA	PF05603	NA	NA	Reactome: R-HSA-3371453	NA	NA	NA	NA	NA	NA	NA	NA
PNP46528.1	G3DSA:1.20.1050.10;G3DSA:3.40.30.10	IPR036249	GO:0005515	PS50405;PS50404	SSF47616;SSF52833	PF02798;PF14497	NA	NA	NA	NA	cd03048	NA	NA	NA	NA	NA	SFLDG00358;SFLDG01151
PNP38066.1	NA	IPR009772	NA	NA	NA	PF07065	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38873.1	NA	IPR032880	GO:0016020	NA	NA	PF13967;PF14703;PF02714	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP47451.1	NA	IPR007527	GO:0008270	PS50966	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP39601.1	G3DSA:3.30.559.10;G3DSA:3.40.50.12780;G3DSA:3.30.300.30;G3DSA:3.30.559.30;G3DSA:1.10.1200.10;G3DSA:2.30.38.10;G3DSA:3.40.50.720	IPR023213	GO:0003824;GO:0031177	PS50075	SSF47336;SSF52777;SSF51735;SSF56801	PF00501;PF07993;PF00668;PF00550	SM00823	NA	Reactome: R-HSA-389661	PS00012;PS00455	cd05918	NA	NA	TIGR01746;TIGR01733	NA	NA	NA
PNP42086.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP37798.1	G3DSA:4.10.240.10	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PS50048	SSF57701	PF04082;PF00172	SM00066	NA	NA	PS00463	cd00067;cd12148	NA	NA	NA	NA	NA	NA
PNP42869.1	G3DSA:2.60.40.420	IPR008972	NA	NA	SSF49503	NA	NA	mobidb-lite	NA	NA	cd00920	NA	NA	NA	NA	NA	NA
PNP47346.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP44304.1	G3DSA:3.10.490.10	IPR013024	NA	NA	SSF110857	PF06094	NA	NA	NA	NA	cd06661	NA	NA	NA	NA	NA	NA
PNP45434.1	G3DSA:3.40.50.80;G3DSA:3.90.420.10;G3DSA:2.40.30.10;G3DSA:3.10.120.10;G3DSA:2.60.40.650	IPR000572	GO:0042128;GO:0020037;GO:0043546;GO:0055114;GO:0016491;GO:0030151	PS50255;PS51384	SSF63380;SSF56524;SSF81296;SSF52343;SSF55856	PF00174;PF00175;PF03404;PF00970;PF00173	SM01117	mobidb-lite	Reactome: R-HSA-1614517	PS00191;PS00559	cd06183	NA	PR00363;PR00407;PR00371;PR00406	NA	NA	NA	NA
PNP39963.1	G3DSA:3.40.50.2020	IPR029057	GO:0009116	NA	SSF53271	PF14681	NA	NA	NA	NA	cd06223	NA	NA	NA	NA	NA	NA
PNP39569.1	G3DSA:3.20.20.80	IPR000254	GO:0005576;GO:0005975;GO:0030248;GO:0004553	PS51164	SSF51445;SSF57180	PF00150;PF00734	SM00236	mobidb-lite	NA	PS00562;PS00659	NA	NA	NA	NA	NA	NA	NA
PNP45639.1	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	IPR002129	GO:0016831;GO:0019752;GO:0030170;GO:0003824	NA	SSF53383	PF00282	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP41088.1	NA	IPR025574	GO:0005643;GO:0017056	NA	NA	PF13634;PF04097	NA	mobidb-lite	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5619107|Reactome: R-HSA-6784531	NA	NA	NA	NA	NA	NA	NA	NA
PNP45788.1	G3DSA:3.30.470.100;G3DSA:3.40.50.1240;G3DSA:3.40.50.11950	IPR029033		NA	SSF53254;SSF56059	PF18086;PF00328;PF08443	NA	mobidb-lite	KEGG: 04070+2.7.4.24+2.7.4.21|MetaCyc: PWY-6369|Reactome: R-HSA-1855167	NA	NA	Coil	NA	NA	NA	NA	NA
PNP43816.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP47875.1	G3DSA:1.20.1250.20	IPR020846	GO:0055085	PS50850	SSF103473	PF07690	NA	NA	NA	NA	cd17327	Coil	NA	NA	NA	NA	NA
PNP48540.1	G3DSA:3.30.70.1240	IPR023389	NA	NA	SSF143410	PF08883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP39709.1	NA	IPR017853	NA	NA	SSF51445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP39049.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45870.1	NA	IPR009072	GO:0046982;GO:0006366	NA	SSF47113	PF02269	NA	mobidb-lite	NA	NA	cd07978	NA	NA	NA	NA	NA	NA
PNP48444.1	NA	IPR021858	NA	NA	NA	PF11951	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP38657.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40786.1	G3DSA:3.40.50.1820	IPR013595	NA	NA	SSF53474	PF08386;PF00561	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP37322.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41720.1	G3DSA:1.10.20.10	IPR003958	GO:0046982	NA	SSF47113	PF00808	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42429.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP48892.1	G3DSA:2.130.10.10	IPR001680	GO:0005515	PS50082;PS50294	SSF50978	PF00400	SM00320	mobidb-lite	NA	PS00678	NA	NA	NA	NA	NA	NA	NA
PNP39757.1	NA	IPR007345	NA	NA	NA	PF04230	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46279.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP48013.1	G3DSA:3.90.180.10;G3DSA:3.40.50.720	IPR002328	GO:0008270;GO:0016491;GO:0055114	NA	SSF50129;SSF51735	PF08240	NA	NA	Reactome: R-HSA-71384	PS00059	NA	NA	NA	NA	NA	NA	NA
PNP44147.1	NA	IPR021514	NA	NA	NA	PF11374	NA	mobidb-lite	NA	NA	cd17461	NA	NA	NA	NA	NA	NA
PNP39577.1	G3DSA:3.20.20.40	IPR000254	GO:0005576;GO:0005975;GO:0030248;GO:0004553;GO:0030245	PS51164	SSF57180;SSF51989	PF00734;PF01341	SM00236	mobidb-lite	NA	PS00562;PS00655;PS00656	NA	NA	PR00733	NA	NA	PIRSF001100	NA
PNP37438.1	G3DSA:1.20.1250.20	IPR020846	GO:0055085	PS50850	SSF103473	PF07690	NA	mobidb-lite	NA	NA	cd17323	NA	NA	NA	NA	NA	NA
PNP43038.1	G3DSA:3.40.250.10	IPR001763	NA	PS50206	SSF52821	PF00581	SM00450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45111.1	G3DSA:3.40.50.720	IPR002347	GO:0016491	NA	SSF51735	PF13561	NA	NA	NA	PS00061	cd05233	NA	PR00081;PR00080	NA	NA	NA	NA
PNP38121.1	G3DSA:3.50.50.60	IPR036188	NA	NA	SSF51905	PF13738	NA	NA	NA	NA	NA	NA	PR00469	NA	NA	NA	NA
PNP48298.1	NA	IPR007174	GO:0004519;GO:0006364;GO:0090730	NA	NA	PF04031	NA	mobidb-lite	Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA
PNP39437.1	G3DSA:3.50.50.60	IPR002938	GO:0071949	NA	SSF51905	PF01494	NA	NA	NA	NA	NA	NA	PR00420	NA	NA	NA	NA
PNP40236.1	NA	IPR011671	GO:0008168	NA	NA	PF07757	NA	mobidb-lite	MetaCyc: PWY-6829|Reactome: R-HSA-6782315	NA	NA	NA	NA	NA	NA	NA	NA
PNP43805.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42104.1	G3DSA:3.40.30.10	IPR001853	GO:0015035	NA	SSF52833	PF01323	NA	mobidb-lite	Reactome: R-HSA-156590|Reactome: R-HSA-9033241	NA	cd03024	NA	NA	NA	NA	NA	NA
PNP46062.1	G3DSA:2.130.10.10	IPR017986	GO:0005515	PS50294;PS50082	SSF50978	PF00400	SM00320	mobidb-lite	NA	PS00678	NA	NA	NA	NA	NA	NA	NA
PNP46938.1	G3DSA:1.25.40.10;G3DSA:3.30.40.10	IPR003613	GO:0004842;GO:0016567;GO:0005515	PS51698;PS50293	SSF48452;SSF57850	PF04564	SM00504;SM00028	NA	MetaCyc: PWY-7511	NA	NA	Coil	NA	NA	NA	NA	NA
PNP39119.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP37562.1	NA	IPR007653	GO:0005787;GO:0006465;GO:0008233;GO:0016021	NA	NA	PF04573	NA	mobidb-lite	Reactome: R-HSA-1799339|Reactome: R-HSA-381771|Reactome: R-HSA-400511|Reactome: R-HSA-422085	NA	NA	NA	NA	NA	NA	PIRSF016089	NA
PNP42022.1	G3DSA:4.10.240.10	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	SSF57701	PF00172	NA	mobidb-lite	NA	NA	cd00067	NA	NA	NA	NA	NA	NA
PNP48337.1	G3DSA:3.40.50.300	IPR016491	GO:0005525	PS51719	SSF52540	PF00735	NA	NA	NA	NA	cd01850	Coil	NA	NA	NA	PIRSF006698	NA
PNP38739.1	G3DSA:3.20.20.100	IPR023210	GO:0016491;GO:0055114	NA	SSF51430	PF00248	NA	NA	NA	NA	cd06660	NA	PR00069	NA	NA	NA	NA
PNP41820.1	NA	IPR013920	NA	NA	NA	PF08611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP46150.1	G3DSA:1.20.1250.20	IPR036259	GO:0055085	NA	SSF103473	PF07690	NA	mobidb-lite	NA	NA	cd17322	NA	NA	NA	NA	NA	NA
PNP46566.1	G3DSA:1.10.240.10;G3DSA:3.40.50.620	IPR023617	GO:0004831;GO:0000166;GO:0005524;GO:0006437;GO:0004812;GO:0006418	NA	SSF52374	PF00579	NA	mobidb-lite	KEGG: 00970+6.1.1.1	NA	NA	NA	PR01040	TIGR00234	NA	PIRSF006588	NA
PNP40218.1	G3DSA:1.10.8.140	IPR002836	GO:0003677	NA	SSF46950	PF01984	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	PIRSF015730	NA
PNP45877.1	G3DSA:2.40.10.120;G3DSA:2.30.42.10	IPR036034	GO:0005515;GO:0004252;GO:0006508	NA	SSF50156;SSF50494	PF13365;PF12812	NA	mobidb-lite	NA	NA	cd00987	NA	PR00834	NA	NA	NA	NA
PNP44293.1	G3DSA:3.30.565.10	IPR022155	NA	NA	SSF55874	PF12449	NA	mobidb-lite	NA	NA	cd16927	Coil	NA	NA	NA	NA	NA
PNP41954.1	NA	IPR004841	GO:0016020;GO:0055085	NA	NA	PF00324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP40579.1	G3DSA:2.130.10.10;G3DSA:3.40.50.300;G3DSA:3.40.50.1820	IPR001680	GO:0005515	PS50082	SSF50978	PF00400	SM00320	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP43101.1	G3DSA:3.40.50.150	IPR017804	GO:0008168	NA	NA	PF10017	NA	mobidb-lite	NA	NA	NA	NA	NA	TIGR03439	NA	PIRSF018005	NA
PNP41350.1	G3DSA:3.40.630.30;G3DSA:3.40.1160.10	IPR006855		PS51731	SSF53633	PF04768;PF00696	NA	NA	KEGG: 00220+2.3.1.1|MetaCyc: PWY-5154|Reactome: R-HSA-70635	NA	cd04263	NA	NA	NA	NA	NA	NA
PNP38670.1	G3DSA:3.40.50.300	IPR027417	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41551.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45068.1	G3DSA:3.30.410.40;G3DSA:3.50.50.60	IPR000172	GO:0016614;GO:0050660;GO:0055114	NA	SSF51905;SSF54373	PF05199;PF00732	NA	NA	Reactome: R-HSA-6798163	PS00624	NA	NA	NA	NA	NA	PIRSF000137	NA
PNP41593.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
